,what,is,another,word,for,cryptophytes,?
cryptophytes,0.25447502732276917,0.2806173264980316,0.2626282870769501,0.2328113168478012,0.2184772789478302,0.9999999403953552,0.20016558468341827
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.24605005979537964,0.4464869201183319,0.22682742774486542,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.4401204288005829,0.39034852385520935,0.4111599624156952,0.33525630831718445,0.32389625906944275
cryptomonads,0.22801515460014343,0.3087659776210785,0.2609296143054962,0.24981707334518433,0.2716456949710846,0.8020464777946472,0.16012276709079742
are,0.29724663496017456,0.5330929756164551,0.23159852623939514,0.2003016620874405,0.3895993232727051,0.3913438320159912,0.24591213464736938
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3246598243713379,0.44038116931915283,0.23039482533931732,0.23916715383529663
group,0.2114069163799286,0.22153858840465546,0.278802752494812,0.1454300433397293,0.24519909918308258,0.30187851190567017,0.13827809691429138
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.23799116909503937,0.4185989499092102,0.2353418618440628,0.1826142966747284
algae,0.1909741312265396,0.20872966945171356,0.20938988029956818,0.14518368244171143,0.18570446968078613,0.5894618630409241,0.15479309856891632
that,0.6297725439071655,0.3995479643344879,0.5273378491401672,0.31071701645851135,0.4137635827064514,0.3083709478378296,0.32716336846351624
contain,0.1832355558872223,0.31030410528182983,0.20364579558372498,0.18951837718486786,0.30063194036483765,0.3619997203350067,0.18853069841861725
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3246598243713379,0.44038116931915283,0.23039482533931732,0.23916715383529663
red-algal,0.2599911689758301,0.3019280433654785,0.23716889321804047,0.217368483543396,0.23652085661888123,0.4473329186439514,0.24995052814483643
derived,0.20143714547157288,0.2666328251361847,0.24872951209545135,0.4719426929950714,0.20121073722839355,0.34028199315071106,0.1241099163889885
chloroplast,0.23505516350269318,0.20798198878765106,0.29059329628944397,0.13460828363895416,0.20160506665706635,0.5950047969818115,0.12532055377960205
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.13155406713485718,0.4726039469242096,0.24155569076538086,0.4130953550338745
