,what,is,the,enrollment,of,undergraduates,at,harvard,?
harvard,0.2177114188671112,0.15387701988220215,0.24496200680732727,0.3394574224948883,0.25842633843421936,0.44903212785720825,0.2837338149547577,1.0,0.11685016006231308
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.04147358611226082,-0.03817026689648628,0.013842313550412655,-0.08481216430664062,-0.06887804716825485,-0.023395681753754616
"2,400",0.37551960349082947,0.1359592080116272,0.11509591341018677,0.08728240430355072,0.048194751143455505,0.03601176291704178,0.1308782994747162,0.049857042729854584,0.5070164203643799
professors,0.22102440893650055,0.17092788219451904,0.19479714334011078,0.3776960074901581,0.25740572810173035,0.5549293756484985,0.24208836257457733,0.4594172239303589,0.14217308163642883
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2662583291530609,0.4946078956127167,0.22169508039951324,0.38314947485923767,0.2719281017780304,0.31091248989105225
lecturers,0.1991581916809082,0.10009043663740158,0.22288693487644196,0.3329979479312897,0.20241105556488037,0.40290409326553345,0.25058090686798096,0.34639206528663635,0.12270024418830872
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2662583291530609,0.4946078956127167,0.22169508039951324,0.38314947485923767,0.2719281017780304,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2659323513507843,0.5116966962814331,0.28725674748420715,0.3571503460407257,0.2453373372554779,0.20544172823429108
instructors,0.25257185101509094,0.14403685927391052,0.23405973613262177,0.4151962101459503,0.19770705699920654,0.4275188148021698,0.18926063179969788,0.30319181084632874,0.1729445457458496
instruct,0.34282732009887695,0.17816121876239777,0.19295045733451843,0.31614354252815247,0.18130062520503998,0.29299336671829224,0.11799916625022888,0.25238946080207825,0.19105303287506104
"7,200",0.17975500226020813,0.17793749272823334,0.2072421908378601,0.058314625173807144,0.17097708582878113,0.03531975299119949,0.11042962968349457,-0.14684095978736877,0.009943346492946148
undergraduates,0.1987558901309967,0.21730858087539673,0.23465903103351593,0.6356399059295654,0.2865331470966339,1.0000001192092896,0.2578049600124359,0.44903212785720825,0.14489197731018066
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2659323513507843,0.5116966962814331,0.28725674748420715,0.3571503460407257,0.2453373372554779,0.20544172823429108
"14,000",-0.03676655888557434,0.006820845417678356,0.08103297650814056,0.11748907715082169,0.10694579780101776,0.07234781980514526,0.030863337218761444,0.12302351742982864,-0.030015114694833755
graduate,0.19785571098327637,0.19379109144210815,0.1983441710472107,0.553741991519928,0.21445734798908234,0.8058207631111145,0.25927627086639404,0.47444552183151245,0.13230688869953156
students,0.2380729615688324,0.2124544233083725,0.25268980860710144,0.5965980887413025,0.25513339042663574,0.6883468627929688,0.26965975761413574,0.33647945523262024,0.18017297983169556
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.25121399760246277,0.5352458953857422,0.20834945142269135,0.4549728035926819,0.254516065120697,0.4130953550338745
