,what,is,the,name,of,one,type,of,computing,method,that,is,used,to,find,prime,numbers,?
some,0.4491020441055298,0.3038453459739685,0.4566698372364044,0.18756690621376038,0.4300730526447296,0.4537518322467804,0.2761056125164032,0.4300730526447296,0.15352179110050201,0.27299171686172485,0.6049469113349915,0.3038453459739685,0.43712347745895386,0.4636894166469574,0.3569534718990326,0.12270823866128922,0.32205066084861755,0.2562315762042999
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.4999135136604309,0.18112817406654358,1.0,0.21062244474887848,0.22896558046340942,0.41498205065727234,0.4854315221309662,0.3075267970561981,0.41548454761505127,0.2276865392923355,0.23935265839099884,0.228018656373024,0.1826142966747284
these,0.4164220690727234,0.2498808652162552,0.49086877703666687,0.14334434270858765,0.42684608697891235,0.41197383403778076,0.26445475220680237,0.42684608697891235,0.17976507544517517,0.22255472838878632,0.5512621402740479,0.2498808652162552,0.43212080001831055,0.46852558851242065,0.26576027274131775,0.13393478095531464,0.4013325273990631,0.2571668326854706
primes,0.2505246102809906,0.2382466346025467,0.22359657287597656,0.17554329335689545,0.22199293971061707,0.2931256592273712,0.14125247299671173,0.22199293971061707,0.2946290075778961,0.2809801697731018,0.30276167392730713,0.2382466346025467,0.2170487493276596,0.22901344299316406,0.24747192859649658,0.7104739546775818,0.47689586877822876,0.18851876258850098
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.19985003769397736,0.3802283704280853,0.4507926106452942,0.242574080824852,0.3802283704280853,0.135003462433815,0.17321377992630005,0.6182622313499451,0.3613572418689728,0.3086531162261963,0.4544740617275238,0.3999665379524231,0.1710582673549652,0.31616076827049255,0.32991164922714233
been,0.2567804455757141,0.39566612243652344,0.3563927710056305,0.1697598248720169,0.31685134768486023,0.3407197892665863,0.19062602519989014,0.31685134768486023,0.17487938702106476,0.1885906457901001,0.4152003228664398,0.39566612243652344,0.2855360507965088,0.34945759177207947,0.22436971962451935,0.13680292665958405,0.21510174870491028,0.24354910850524902
found,0.1796332150697708,0.3526395261287689,0.3452354073524475,0.175145223736763,0.2982911467552185,0.21342429518699646,0.17831085622310638,0.2982911467552185,0.13199573755264282,0.17498011887073517,0.29063743352890015,0.3526395261287689,0.31508201360702515,0.25225648283958435,0.411496639251709,0.11974391341209412,0.1933557093143463,0.16790300607681274
using,0.27984681725502014,0.26543745398521423,0.28364112973213196,0.19703111052513123,0.24298200011253357,0.28867876529693604,0.26539579033851624,0.24298200011253357,0.3335891366004944,0.5243812203407288,0.4372335970401764,0.26543745398521423,0.6102309226989746,0.3678804934024811,0.3003087341785431,0.11161793023347855,0.3178364634513855,0.2804589569568634
distributed,0.12753748893737793,0.2017366737127304,0.28740596771240234,0.07925543189048767,0.239964559674263,0.22663439810276031,0.13325752317905426,0.239964559674263,0.33171457052230835,0.19124267995357513,0.2667987644672394,0.2017366737127304,0.3058460056781769,0.21244101226329803,0.22185128927230835,0.19016781449317932,0.3051774501800537,0.08428370952606201
computing,0.22399358451366425,0.22068741917610168,0.20952925086021423,0.13984784483909607,0.21062244474887848,0.21530213952064514,0.16839872300624847,0.21062244474887848,1.0,0.31914597749710083,0.23305626213550568,0.22068741917610168,0.2710096836090088,0.24152100086212158,0.2613212466239929,0.17900057137012482,0.3451325297355652,0.1869615614414215
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.4123194217681885,0.23195341229438782,0.5352458953857422,0.15927328169345856,0.18224337697029114,0.4460422694683075,0.4569662809371948,0.33111312985420227,0.4645031690597534,0.3133861720561981,0.17658381164073944,0.2591777741909027,0.4130953550338745
