,what,station,did,the,20th,anniversary,special,show,before,being,shown,on,bbc,?
the,0.42745697498321533,0.23609806597232819,0.34736719727516174,1.0,0.3097512125968933,0.29318708181381226,0.3027077615261078,0.319829523563385,0.45900648832321167,0.419739305973053,0.3387985825538635,0.5107308030128479,0.2735401690006256,0.22068053483963013
1983,0.025786560028791428,-0.022986531257629395,0.04747678339481354,-0.019107989966869354,0.024738717824220657,-0.024536024779081345,-0.0032942963298410177,-0.01880471594631672,-0.13545085489749908,-0.059220101684331894,0.024090105667710304,-0.03687480464577675,0.01288500614464283,0.09926492720842361
20th,0.1850772649049759,0.14652009308338165,0.12900345027446747,0.3097512125968933,1.0,0.31932532787323,0.14550115168094635,0.24894770979881287,0.2337626963853836,0.21190319955348969,0.21231085062026978,0.21332970261573792,0.21732129156589508,0.14985637366771698
anniversary,0.15616674721240997,0.18141575157642365,0.21896307170391083,0.29318708181381226,0.31932532787323,1.0,0.3297252953052521,0.20774516463279724,0.3283902704715729,0.11609296500682831,0.22001150250434875,0.26800811290740967,0.2554336488246918,0.1981802135705948
special,0.24134232103824615,0.13033710420131683,0.20785176753997803,0.3027077615261078,0.14550115168094635,0.3297252953052521,1.0000001192092896,0.2602277398109436,0.19884830713272095,0.17487645149230957,0.21883828938007355,0.23108302056789398,0.21692971885204315,0.29623302817344666
the,0.42745697498321533,0.23609806597232819,0.34736719727516174,1.0,0.3097512125968933,0.29318708181381226,0.3027077615261078,0.319829523563385,0.45900648832321167,0.419739305973053,0.3387985825538635,0.5107308030128479,0.2735401690006256,0.22068053483963013
five,0.18688078224658966,0.18082423508167267,0.1999429613351822,0.41977158188819885,0.1854521483182907,0.2505345642566681,0.17902345955371857,0.20115233957767487,0.2998449206352234,0.2622634470462799,0.21898368000984192,0.2724660038948059,0.13811171054840088,0.18342848122119904
doctors,0.28694474697113037,0.14527086913585663,0.28996434807777405,0.24499839544296265,0.1520397663116455,0.13385212421417236,0.2336871474981308,0.2387276291847229,0.19456152617931366,0.22372987866401672,0.210747629404068,0.1926962286233902,0.26781314611434937,0.19305896759033203
had,0.23849567770957947,0.1625390350818634,0.540525496006012,0.3875846862792969,0.12361744791269302,0.25495320558547974,0.20414842665195465,0.2552371621131897,0.3737051784992218,0.42718788981437683,0.20259423553943634,0.36692994832992554,0.2117813676595688,0.20728366076946259
its,0.30393704771995544,0.26112502813339233,0.19922670722007751,0.559237003326416,0.2017490714788437,0.22839702665805817,0.20760555565357208,0.2273027002811432,0.2706633508205414,0.3381310999393463,0.22537820041179657,0.34331920742988586,0.20280002057552338,0.15103481709957123
début,0.2145145982503891,0.26533323526382446,0.28003084659576416,0.42758578062057495,0.287244588136673,0.3480481207370758,0.17844055593013763,0.25097042322158813,0.2893116772174835,0.23399858176708221,0.23563696444034576,0.35241788625717163,0.24379149079322815,0.18430818617343903
on,0.34226128458976746,0.29022887349128723,0.2670976221561432,0.5107308030128479,0.21332970261573792,0.26800811290740967,0.23108302056789398,0.3708709180355072,0.3903424143791199,0.3119087219238281,0.33996689319610596,0.9999999403953552,0.2646632492542267,0.2714994251728058
23,0.036675017327070236,-0.01580469310283661,-0.015436539426445961,-0.04008803516626358,-0.06515208631753922,0.013838776387274265,-0.08336420357227325,-0.05987812206149101,-0.06507916003465652,-0.0677919089794159,-0.0646219402551651,-0.11098738014698029,0.02952936291694641,0.012076443061232567
november,0.23963461816310883,0.19570179283618927,0.27178457379341125,0.25734350085258484,0.17764882743358612,0.2854503393173218,0.10777370631694794,0.20691171288490295,0.31125110387802124,0.208986297249794,0.1350475549697876,0.3681331276893616,0.21225117146968842,0.3159552216529846
(,0.2411840260028839,0.15589678287506104,0.18979617953300476,0.33289089798927307,0.24042166769504547,0.17414133250713348,0.1810780167579651,0.21963447332382202,0.2336025983095169,0.1815166026353836,0.17931321263313293,0.28656116127967834,0.1058402881026268,0.40561532974243164
the,0.42745697498321533,0.23609806597232819,0.34736719727516174,1.0,0.3097512125968933,0.29318708181381226,0.3027077615261078,0.319829523563385,0.45900648832321167,0.419739305973053,0.3387985825538635,0.5107308030128479,0.2735401690006256,0.22068053483963013
actual,0.43790674209594727,0.16411733627319336,0.26781168580055237,0.40616878867149353,0.245655357837677,0.22949519753456116,0.21309831738471985,0.2694318890571594,0.30888351798057556,0.2979138195514679,0.2573748230934143,0.3058660328388214,0.14826126396656036,0.20405827462673187
date,0.20141606032848358,0.10398772358894348,0.1875259429216385,0.25333094596862793,0.24614815413951874,0.2586544454097748,0.10356631129980087,0.1436663717031479,0.3249364197254181,0.18340110778808594,0.1534043699502945,0.21806180477142334,0.1105324923992157,0.2698357403278351
of,0.33290785551071167,0.17394597828388214,0.2513895630836487,0.733189046382904,0.21726468205451965,0.2393128126859665,0.27998968958854675,0.21383242309093475,0.3282964527606964,0.34885138273239136,0.24332952499389648,0.3966929316520691,0.1797877550125122,0.1826142966747284
the,0.42745697498321533,0.23609806597232819,0.34736719727516174,1.0,0.3097512125968933,0.29318708181381226,0.3027077615261078,0.319829523563385,0.45900648832321167,0.419739305973053,0.3387985825538635,0.5107308030128479,0.2735401690006256,0.22068053483963013
anniversary,0.15616674721240997,0.18141575157642365,0.21896307170391083,0.29318708181381226,0.31932532787323,1.0,0.3297252953052521,0.20774516463279724,0.3283902704715729,0.11609296500682831,0.22001150250434875,0.26800811290740967,0.2554336488246918,0.1981802135705948
),0.26259949803352356,0.16818374395370483,0.18584993481636047,0.3456730246543884,0.2530856132507324,0.17845061421394348,0.207723930478096,0.22110877931118011,0.2639012038707733,0.2020954042673111,0.20446927845478058,0.29937487840652466,0.10228727757930756,0.42300865054130554
on,0.34226128458976746,0.29022887349128723,0.2670976221561432,0.5107308030128479,0.21332970261573792,0.26800811290740967,0.23108302056789398,0.3708709180355072,0.3903424143791199,0.3119087219238281,0.33996689319610596,0.9999999403953552,0.2646632492542267,0.2714994251728058
a,0.3320399522781372,0.21760036051273346,0.2552328109741211,0.5829201340675354,0.24495378136634827,0.1787421703338623,0.31333932280540466,0.24886544048786163,0.3583870828151703,0.3727131485939026,0.2581788897514343,0.3848365545272827,0.199848011136055,0.23916715383529663
number,0.23046229779720306,0.12289048731327057,0.19046731293201447,0.35145696997642517,0.27403581142425537,0.16383099555969238,0.23163312673568726,0.2180454581975937,0.2141694277524948,0.26345863938331604,0.18899334967136383,0.2978411018848419,0.14054079353809357,0.19256845116615295
