,were,tesla,'s,experiments,high-voltage,or,low-voltage,?
tesla,0.1222306564450264,0.9999999403953552,0.06449045985937119,0.29793205857276917,0.38331884145736694,0.1529218554496765,0.35413238406181335,0.10250775516033173
went,0.3797573149204254,0.028210537508130074,0.0411166250705719,0.1950710117816925,0.19792884588241577,0.185577854514122,0.17535683512687683,0.12109432369470596
on,0.2774328887462616,0.16159376502037048,0.0026888418942689896,0.2562560439109802,0.26131734251976013,0.2897229492664337,0.2367963343858719,0.2714994251728058
to,0.31913647055625916,0.17548894882202148,0.03782717138528824,0.273220032453537,0.3075418472290039,0.38921234011650085,0.2812346816062927,0.29463258385658264
pursue,0.14320829510688782,0.022205647081136703,0.06272278726100922,0.15736275911331177,0.16563506424427032,0.15911217033863068,0.12270597368478775,0.1284760683774948
his,0.3142043352127075,0.1580733060836792,0.047556519508361816,0.2605794072151184,0.18607503175735474,0.2118215411901474,0.15804262459278107,0.18075084686279297
ideas,0.26104360818862915,0.21804659068584442,0.054914966225624084,0.4409981071949005,0.14323051273822784,0.22573982179164886,0.13299423456192017,0.2857283353805542
of,0.34038281440734863,0.18837453424930573,-0.03817026689648628,0.16935081779956818,0.2520264685153961,0.3792596757411957,0.20462189614772797,0.1826142966747284
wireless,0.16222113370895386,0.3652113080024719,0.0574338398873806,0.21982169151306152,0.40414321422576904,0.187891885638237,0.37163203954696655,0.08461163192987442
lighting,0.20502902567386627,0.23439070582389832,0.02080150507390499,0.3063136637210846,0.4016496241092682,0.2609306871891022,0.3963836431503296,0.13502714037895203
and,0.42175528407096863,0.19560420513153076,0.06895173341035843,0.3053898811340332,0.27714571356773376,0.4713204801082611,0.2495146244764328,0.20544172823429108
electricity,0.18795761466026306,0.37243616580963135,0.04452890530228615,0.2895781993865967,0.5677581429481506,0.2717914879322052,0.5737344026565552,0.17856204509735107
distribution,0.14866988360881805,0.20561231672763824,0.049042776226997375,0.2638620436191559,0.32530784606933594,0.2069147527217865,0.3171577453613281,0.0929616317152977
in,0.3815755248069763,0.17097744345664978,-0.037580832839012146,0.21977302432060242,0.2587648034095764,0.3586423695087433,0.22366267442703247,0.20430970191955566
his,0.3142043352127075,0.1580733060836792,0.047556519508361816,0.2605794072151184,0.18607503175735474,0.2118215411901474,0.15804262459278107,0.18075084686279297
high-voltage,0.19764789938926697,0.38331884145736694,-0.05845511704683304,0.25412487983703613,1.0,0.27238211035728455,0.9419641494750977,0.23572029173374176
",",0.36755475401878357,0.20599327981472015,-0.0016132977325469255,0.22640827298164368,0.301887571811676,0.3769497275352478,0.2497226446866989,0.31091248989105225
high-frequency,0.12494741380214691,0.26202645897865295,-0.0357787199318409,0.2981349527835846,0.6476444602012634,0.29532790184020996,0.5943189859390259,0.22459599375724792
power,0.18395109474658966,0.27547121047973633,0.05344679579138756,0.17855815589427948,0.38746047019958496,0.23362433910369873,0.3621276319026947,0.15304024517536163
experiments,0.27732375264167786,0.29793205857276917,-0.0008199171279557049,0.9999998807907104,0.25412487983703613,0.27079659700393677,0.26295608282089233,0.14564716815948486
in,0.3815755248069763,0.17097744345664978,-0.037580832839012146,0.21977302432060242,0.2587648034095764,0.3586423695087433,0.22366267442703247,0.20430970191955566
new,0.21711495518684387,0.15999311208724976,-0.008355522528290749,0.1966729760169983,0.20563733577728271,0.1627417951822281,0.17670129239559174,0.14782847464084625
york,0.18790318071842194,0.15629629790782928,-0.02817569300532341,0.13819757103919983,0.20072807371616364,0.12770146131515503,0.1564634144306183,0.15262620151042938
and,0.42175528407096863,0.19560420513153076,0.06895173341035843,0.3053898811340332,0.27714571356773376,0.4713204801082611,0.2495146244764328,0.20544172823429108
colorado,0.16998526453971863,0.17255069315433502,0.0016019933391362429,0.15858805179595947,0.26528143882751465,0.1585903912782669,0.24478508532047272,0.15461322665214539
springs,0.1608244776725769,0.18937155604362488,0.0013089408166706562,0.23199160397052765,0.2547406256198883,0.23795868456363678,0.20174023509025574,0.0950024425983429
",",0.36755475401878357,0.20599327981472015,-0.0016132977325469255,0.22640827298164368,0.301887571811676,0.3769497275352478,0.2497226446866989,0.31091248989105225
and,0.42175528407096863,0.19560420513153076,0.06895173341035843,0.3053898811340332,0.27714571356773376,0.4713204801082611,0.2495146244764328,0.20544172823429108
made,0.32412371039390564,0.1893712431192398,0.08483956009149551,0.25052741169929504,0.19195598363876343,0.3264006972312927,0.17584404349327087,0.17218779027462006
early,0.39198037981987,0.10564569383859634,0.03384959325194359,0.2604406177997589,0.17920252680778503,0.16014154255390167,0.16755986213684082,0.15272949635982513
(,0.14743882417678833,0.2156914919614792,0.0012731997994706035,0.15060357749462128,0.28599676489830017,0.3582012951374054,0.22641806304454803,0.40561532974243164
1893,0.11257769912481308,0.030090492218732834,0.08551017194986343,0.11730798333883286,0.00934570748358965,0.15474018454551697,-0.01486380398273468,0.0544506311416626
),0.1566188633441925,0.22692398726940155,0.021107977256178856,0.12416966259479523,0.2753247916698456,0.3706604242324829,0.20935112237930298,0.42300865054130554
pronouncements,0.22235268354415894,0.12222201377153397,0.06057912856340408,0.20364896953105927,0.2001957893371582,0.3009258210659027,0.19350379705429077,0.2776719629764557
on,0.2774328887462616,0.16159376502037048,0.0026888418942689896,0.2562560439109802,0.26131734251976013,0.2897229492664337,0.2367963343858719,0.2714994251728058
the,0.3906462490558624,0.1324402391910553,-0.01540423184633255,0.21008943021297455,0.3004293739795685,0.4174870550632477,0.28079232573509216,0.22068053483963013
possibility,0.17693698406219482,0.18081195652484894,-0.0037947550881654024,0.27897918224334717,0.28153687715530396,0.3802693486213684,0.2750317454338074,0.2723599076271057
of,0.34038281440734863,0.18837453424930573,-0.03817026689648628,0.16935081779956818,0.2520264685153961,0.3792596757411957,0.20462189614772797,0.1826142966747284
wireless,0.16222113370895386,0.3652113080024719,0.0574338398873806,0.21982169151306152,0.40414321422576904,0.187891885638237,0.37163203954696655,0.08461163192987442
communication,0.1700640320777893,0.25979727506637573,0.05429903045296669,0.291357159614563,0.2988896369934082,0.3230949938297272,0.2955944538116455,0.1517418920993805
with,0.3179011940956116,0.16424812376499176,-0.04624466598033905,0.23139363527297974,0.19374632835388184,0.38158315420150757,0.16959071159362793,0.2433311939239502
his,0.3142043352127075,0.1580733060836792,0.047556519508361816,0.2605794072151184,0.18607503175735474,0.2118215411901474,0.15804262459278107,0.18075084686279297
devices,0.21995721757411957,0.4021223783493042,0.04254931956529617,0.36843517422676086,0.47564277052879333,0.36600807309150696,0.4680759310722351,0.10574188083410263
.,0.3378238379955292,0.17949827015399933,-0.003708066651597619,0.261809378862381,0.3074392080307007,0.36683785915374756,0.2748514413833618,0.4130953550338745
