,what,are,the,two,official,languages,?
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.3133983910083771,0.25516149401664734,0.22068053483963013
two,0.23363454639911652,0.46276170015335083,0.43858039379119873,1.0000001192092896,0.12692031264305115,0.19018059968948364,0.19645625352859497
official,0.18967986106872559,0.12171322852373123,0.3133983910083771,0.12692031264305115,1.0,0.3136538863182068,0.18097688257694244
languages,0.21771854162216187,0.2853507399559021,0.25516149401664734,0.19018059968948364,0.3136538863182068,1.0,0.22599908709526062
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.35859420895576477,0.2088543325662613,0.27252396941185,0.31091248989105225
english,0.25060737133026123,0.20190079510211945,0.23982001841068268,0.18342989683151245,0.2640875577926636,0.39200136065483093,0.23251567780971527
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.4671151638031006,0.15831619501113892,0.24802106618881226,0.20544172823429108
swahili,0.2536727488040924,0.17934435606002808,0.22777055203914642,0.08893819898366928,0.2640766203403473,0.4973609149456024,0.20549607276916504
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.35859420895576477,0.2088543325662613,0.27252396941185,0.31091248989105225
are,0.29724663496017456,1.0,0.40399202704429626,0.46276170015335083,0.12171322852373123,0.2853507399559021,0.24591213464736938
used,0.27546408772468567,0.3322218656539917,0.3718377649784088,0.226744145154953,0.20022165775299072,0.23353742063045502,0.22430120408535004
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.36463531851768494,0.25180214643478394,0.18883031606674194,0.20430970191955566
varying,0.2707297205924988,0.3945391774177551,0.28133442997932434,0.2689996063709259,0.07949688285589218,0.20167949795722961,0.14919932186603546
degrees,0.2201736718416214,0.24791596829891205,0.22473014891147614,0.22394558787345886,0.16758102178573608,0.23845283687114716,0.1299446076154709
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.37726253271102905,0.2864961326122284,0.2423715889453888,0.1826142966747284
fluency,0.24065817892551422,0.10319332033395767,0.1656181812286377,0.07414360344409943,0.14081117510795593,0.3845563232898712,0.1400539129972458
for,0.3017193675041199,0.3895993232727051,0.4739971458911896,0.34734001755714417,0.2504976987838745,0.20537924766540527,0.264628142118454
communication,0.283955842256546,0.27097564935684204,0.2984345257282257,0.2191714346408844,0.15159715712070465,0.3629204332828522,0.1517418920993805
with,0.2464839518070221,0.38996943831443787,0.4223487675189972,0.4333336651325226,0.1332864612340927,0.17066501080989838,0.2433311939239502
other,0.341873437166214,0.5932393670082092,0.44152235984802246,0.46609029173851013,0.19726383686065674,0.3277234435081482,0.24682199954986572
populations,0.19647875428199768,0.3499637246131897,0.2796059846878052,0.2108340710401535,0.13253752887248993,0.2691628038883209,0.17519071698188782
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.3524959683418274,0.2367454320192337,0.2219928503036499,0.4130953550338745
