,in,what,compound,is,oxygen,found,in,small,amounts,in,the,atmosphere,?
oxygen,0.1672476977109909,0.16781960427761078,0.4097926914691925,0.21825239062309265,0.9999999403953552,0.1673429310321808,0.1672476977109909,0.1999582052230835,0.4038058817386627,0.1672476977109909,0.20428593456745148,0.48839667439460754,0.16786395013332367
is,0.5394441485404968,0.28837618231773376,0.26978302001953125,1.0,0.21825239062309265,0.3526395261287689,0.5394441485404968,0.32085540890693665,0.2747427523136139,0.5394441485404968,0.5823672413825989,0.1850086748600006,0.22961433231830597
present,0.23905439674854279,0.30940163135528564,0.18489401042461395,0.1967432200908661,0.1954377293586731,0.19324500858783722,0.23905439674854279,0.1579301357269287,0.17898182570934296,0.23905439674854279,0.2829846143722534,0.11919814348220825,0.21759982407093048
in,1.0,0.30808621644973755,0.20910684764385223,0.5394441485404968,0.1672476977109909,0.39141854643821716,1.0,0.3722202181816101,0.2579386234283447,1.0,0.6662389636039734,0.20898397266864777,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.18848907947540283,0.5823672413825989,0.20428593456745148,0.3452354073524475,0.6662389636039734,0.39655908942222595,0.2816965878009796,0.6662389636039734,1.0,0.24429655075073242,0.22068053483963013
atmosphere,0.20898397266864777,0.2530241310596466,0.2544550895690918,0.1850086748600006,0.48839667439460754,0.14264117181301117,0.20898397266864777,0.20727194845676422,0.3728660047054291,0.20898397266864777,0.24429655075073242,1.0,0.15636961162090302
in,1.0,0.30808621644973755,0.20910684764385223,0.5394441485404968,0.1672476977109909,0.39141854643821716,1.0,0.3722202181816101,0.2579386234283447,1.0,0.6662389636039734,0.20898397266864777,0.20430970191955566
trace,0.16592667996883392,0.2132062166929245,0.22906126081943512,0.20081879198551178,0.2631644606590271,0.2719346284866333,0.16592667996883392,0.20430602133274078,0.3163568377494812,0.16592667996883392,0.2563123106956482,0.21405887603759766,0.15792298316955566
quantities,0.22513185441493988,0.22645783424377441,0.3464701175689697,0.28369030356407166,0.30358952283859253,0.2286071479320526,0.22513185441493988,0.30347031354904175,0.5582375526428223,0.22513185441493988,0.2321729063987732,0.34473535418510437,0.18230070173740387
in,1.0,0.30808621644973755,0.20910684764385223,0.5394441485404968,0.1672476977109909,0.39141854643821716,1.0,0.3722202181816101,0.2579386234283447,1.0,0.6662389636039734,0.20898397266864777,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.18848907947540283,0.5823672413825989,0.20428593456745148,0.3452354073524475,0.6662389636039734,0.39655908942222595,0.2816965878009796,0.6662389636039734,1.0,0.24429655075073242,0.22068053483963013
form,0.2815987169742584,0.15868011116981506,0.2752642333507538,0.3218395411968231,0.22106200456619263,0.2106456607580185,0.2815987169742584,0.2498980015516281,0.30923992395401,0.2815987169742584,0.29286009073257446,0.1448398381471634,0.1463010311126709
of,0.5696388483047485,0.33290785551071167,0.23397859930992126,0.4854315221309662,0.16848602890968323,0.2982911467552185,0.5696388483047485,0.353353351354599,0.25878721475601196,0.5696388483047485,0.733189046382904,0.1981431096792221,0.1826142966747284
carbon,0.1857566386461258,0.22238978743553162,0.46365734934806824,0.2770232558250427,0.6396464109420776,0.21776793897151947,0.1857566386461258,0.19045883417129517,0.4343205988407135,0.1857566386461258,0.23183570802211761,0.47969678044319153,0.19040444493293762
dioxide,0.16380831599235535,0.2206297367811203,0.5007088780403137,0.2507719099521637,0.6974000334739685,0.19427570700645447,0.16380831599235535,0.2200779914855957,0.4308083951473236,0.16380831599235535,0.21460992097854614,0.533619225025177,0.19322559237480164
(,0.3087427020072937,0.2411840260028839,0.20945166051387787,0.35393038392066956,0.189798504114151,0.1583331823348999,0.3087427020072937,0.19026362895965576,0.1719791442155838,0.3087427020072937,0.33289089798927307,0.15048934519290924,0.40561532974243164
co,0.14873084425926208,0.1456490308046341,0.12971438467502594,0.12997739017009735,0.18465393781661987,0.08773061633110046,0.14873084425926208,0.14427199959754944,0.11106904596090317,0.14873084425926208,0.19341111183166504,0.2381647378206253,0.1823645681142807
2,0.01447046548128128,-0.049862053245306015,0.07367424666881561,-0.07940074801445007,0.04063820466399193,-0.03191415220499039,0.01447046548128128,-0.009388536214828491,-0.057393722236156464,0.01447046548128128,-0.019434669986367226,-0.024640195071697235,0.001977203879505396
),0.3326910734176636,0.26259949803352356,0.21834416687488556,0.37732169032096863,0.19541971385478973,0.16750772297382355,0.3326910734176636,0.2108360379934311,0.17091886699199677,0.3326910734176636,0.3456730246543884,0.14808179438114166,0.42300865054130554
.,0.5591574311256409,0.3567904531955719,0.20561864972114563,0.4569662809371948,0.2554275095462799,0.3618174195289612,0.5591574311256409,0.3130834400653839,0.2320205122232437,0.5591574311256409,0.5934505462646484,0.202870711684227,0.4130953550338745
