,who,was,the,broadcaster,for,super,bowl,50,in,the,united,states,?
cbs,0.16542650759220123,0.26256829500198364,0.2283918708562851,0.5402384400367737,0.20941372215747833,0.23111854493618011,0.2528696060180664,-0.030295440927147865,0.17584392428398132,0.2283918708562851,0.24136792123317719,0.24428288638591766,0.14594407379627228
broadcast,0.18632595241069794,0.24068336188793182,0.2713715434074402,0.7665559649467468,0.2546502649784088,0.1449931412935257,0.18237876892089844,-0.01586120016872883,0.26723843812942505,0.2713715434074402,0.2690603733062744,0.2695137560367584,0.15760008990764618
super,0.1819351613521576,0.21420986950397491,0.21959073841571808,0.12302890419960022,0.22938419878482819,1.0000001192092896,0.4848237931728363,0.0833745002746582,0.18576006591320038,0.21959073841571808,0.19838912785053253,0.16831240057945251,0.166326642036438
bowl,0.09189514070749283,0.21915455162525177,0.21576224267482758,0.20628823339939117,0.24430087208747864,0.4848237931728363,1.0,0.005446359980851412,0.17236235737800598,0.21576224267482758,0.20208074152469635,0.1989538073539734,0.21118052303791046
50,0.0322180911898613,-0.0011744623770937324,0.03602437674999237,-0.07450509816408157,0.029183456674218178,0.0833745002746582,0.005446359980851412,0.9999999403953552,0.021892361342906952,0.03602437674999237,-0.036304131150245667,-0.08667702972888947,0.030512850731611252
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.21398968994617462,0.4322226941585541,0.18576006591320038,0.17236235737800598,0.021892361342906952,1.0,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,1.0,0.1970033198595047,0.4739971458911896,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
u.s.,0.19341465830802917,0.06837434321641922,0.06592652946710587,0.05706028267741203,0.11615988612174988,0.18026593327522278,0.1647888869047165,-0.02133081667125225,-0.003064807504415512,0.06592652946710587,-0.016844162717461586,-0.013163301162421703,0.07886100560426712
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.3012560307979584,0.4464869201183319,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.2619543969631195,0.5064792633056641,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.4954058527946472,0.5171257257461548,0.28213179111480713,0.2974761426448822,0.20544172823429108
charged,0.23286627233028412,0.2394018918275833,0.2047804892063141,0.1396457850933075,0.17613565921783447,0.1307750940322876,0.13330021500587463,0.052119180560112,0.20106644928455353,0.2047804892063141,0.15304939448833466,0.16753514111042023,0.1305682212114334
an,0.2848317325115204,0.3694365322589874,0.4207492768764496,0.20787757635116577,0.3236706852912903,0.09755856543779373,0.13908697664737701,0.02188069000840187,0.2605783939361572,0.4207492768764496,0.15972375869750977,0.2041347622871399,0.19793890416622162
average,0.1699700504541397,0.18843130767345428,0.27058175206184387,0.180171936750412,0.20724235475063324,0.127910777926445,0.1515442579984665,0.03536339849233627,0.23465414345264435,0.27058175206184387,0.15646378695964813,0.15653255581855774,0.21764592826366425
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.15151214599609375,0.4185989499092102,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.1826142966747284
$,0.14688296616077423,0.23838669061660767,0.23367542028427124,0.10871398448944092,0.22711659967899323,0.14851532876491547,0.24415016174316406,-0.044484999030828476,0.21616753935813904,0.23367542028427124,0.24067075550556183,0.25376713275909424,0.2786129117012024
5,0.05488086864352226,-0.020029501989483833,0.09255307912826538,0.008645485155284405,0.06971735507249832,0.024198191240429878,0.052770476788282394,0.0577104315161705,0.0862177163362503,0.09255307912826538,0.07590769976377487,0.06689280271530151,0.06222071498632431
million,0.20240086317062378,0.24203833937644958,0.277012437582016,0.1735784411430359,0.18660776317119598,0.15958677232265472,0.18768401443958282,-0.07849453389644623,0.2596224844455719,0.277012437582016,0.24605627357959747,0.23362824320793152,0.23092924058437347
for,0.37110671401023865,0.3863949179649353,0.4739971458911896,0.26700419187545776,0.9999999403953552,0.22938419878482819,0.24430087208747864,0.029183456674218178,0.4322226941585541,0.4739971458911896,0.30487096309661865,0.2496437132358551,0.264628142118454
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.18827944993972778,0.44038116931915283,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.539380669593811,0.5829201340675354,0.2732578217983246,0.24708621203899384,0.23916715383529663
30-second,0.1135486513376236,0.27058619260787964,0.3721327483654022,0.13654744625091553,0.20732535421848297,0.2004479467868805,0.19167320430278778,0.033071182668209076,0.2856306731700897,0.3721327483654022,0.23085826635360718,0.19491279125213623,0.18454498052597046
commercial,0.05230569466948509,0.22333669662475586,0.23051398992538452,0.17009912431240082,0.25690725445747375,0.20105868577957153,0.16026756167411804,0.04720782861113548,0.2615188956260681,0.23051398992538452,0.2950090765953064,0.29620620608329773,0.04216946288943291
