,to,what,level,would,the,polynomial,time,hierarchy,collapse,if,graph,isomorphism,is,np-complete,?
if,0.4559597074985504,0.5277165174484253,0.301246702671051,0.5543612837791443,0.33724796772003174,0.4140531122684479,0.36530032753944397,0.20283299684524536,0.23575423657894135,1.0,0.28144025802612305,0.268629789352417,0.30927813053131104,0.31617626547813416,0.4441644251346588
graph,0.19438183307647705,0.2775743007659912,0.22168096899986267,0.23719072341918945,0.26083993911743164,0.5340177416801453,0.2577567398548126,0.28436920046806335,0.2102675884962082,0.28144025802612305,0.9999999403953552,0.3808310031890869,0.2441651076078415,0.2744949162006378,0.20263607800006866
isomorphism,0.18489499390125275,0.24923816323280334,0.14598989486694336,0.1497204601764679,0.20008665323257446,0.5181857943534851,0.14067485928535461,0.3294728696346283,0.18992747366428375,0.268629789352417,0.3808310031890869,1.0000001192092896,0.26257652044296265,0.32109490036964417,0.18148627877235413
is,0.42745086550712585,0.28837618231773376,0.24803997576236725,0.33626067638397217,0.5823672413825989,0.2560946047306061,0.25187405943870544,0.1292576938867569,0.13968347012996674,0.30927813053131104,0.2441651076078415,0.26257652044296265,1.0,0.22069956362247467,0.22961433231830597
np-complete,0.24762758612632751,0.28050094842910767,0.12654493749141693,0.2811274230480194,0.27450188994407654,0.34853091835975647,0.27780264616012573,0.16338039934635162,0.2808930277824402,0.31617626547813416,0.2744949162006378,0.32109490036964417,0.22069956362247467,1.0,0.16391170024871826
",",0.44245919585227966,0.3087472915649414,0.23317520320415497,0.32586824893951416,0.4933079481124878,0.21592853963375092,0.3029961884021759,0.15345069766044617,0.192181795835495,0.257730096578598,0.21839329600334167,0.15876521170139313,0.4691906273365021,0.21401260793209076,0.31091248989105225
the,0.535392165184021,0.42745697498321533,0.31442487239837646,0.4133751392364502,1.0,0.1902180016040802,0.43061500787734985,0.22604632377624512,0.31475353240966797,0.33724796772003174,0.26083993911743164,0.20008665323257446,0.5823672413825989,0.27450188994407654,0.22068053483963013
polynomial,0.22792209684848785,0.265341192483902,0.23078693449497223,0.2684350311756134,0.1902180016040802,1.0000001192092896,0.28301435708999634,0.3054923415184021,0.13074873387813568,0.4140531122684479,0.5340177416801453,0.5181857943534851,0.2560946047306061,0.34853091835975647,0.255467027425766
time,0.3679993152618408,0.36319252848625183,0.24327416718006134,0.3781263828277588,0.43061500787734985,0.28301435708999634,0.9999998807907104,0.20482023060321808,0.25081613659858704,0.36530032753944397,0.2577567398548126,0.14067485928535461,0.25187405943870544,0.27780264616012573,0.27391523122787476
hierarchy,0.19228041172027588,0.2107066512107849,0.3384910523891449,0.21593813598155975,0.22604632377624512,0.3054923415184021,0.20482023060321808,1.0000001192092896,0.10650848597288132,0.20283299684524536,0.28436920046806335,0.3294728696346283,0.1292576938867569,0.16338039934635162,0.23208312690258026
collapses,0.18283098936080933,0.19013358652591705,0.12232915312051773,0.20327125489711761,0.2895450294017792,0.07249704003334045,0.20779086649417877,0.04415908455848694,0.8609559535980225,0.19853049516677856,0.16399410367012024,0.08998964726924896,0.17379765212535858,0.22159038484096527,0.09034790843725204
to,1.0,0.455847829580307,0.2976585030555725,0.5965728163719177,0.535392165184021,0.22792209684848785,0.3679993152618408,0.19228041172027588,0.1598730832338333,0.4559597074985504,0.19438183307647705,0.18489499390125275,0.42745086550712585,0.24762758612632751,0.29463258385658264
its,0.3691340684890747,0.30393704771995544,0.23149365186691284,0.27556702494621277,0.559237003326416,0.2389216125011444,0.2819722294807434,0.1487543284893036,0.2295764535665512,0.23600205779075623,0.19506748020648956,0.22186797857284546,0.4447362422943115,0.2388295978307724,0.15103481709957123
second,0.3098561465740204,0.19948028028011322,0.19305673241615295,0.25778821110725403,0.4620301127433777,0.215070441365242,0.35794535279273987,0.06741251051425934,0.15617774426937103,0.260090172290802,0.16530294716358185,0.14414538443088531,0.3161451518535614,0.2331528663635254,0.17239587008953094
level,0.2976585030555725,0.27376922965049744,0.9999998807907104,0.24920408427715302,0.31442487239837646,0.23078693449497223,0.24327416718006134,0.3384910523891449,0.1356959342956543,0.301246702671051,0.22168096899986267,0.14598989486694336,0.24803997576236725,0.12654493749141693,0.20528386533260345
.,0.4645031690597534,0.3567904531955719,0.26056769490242004,0.35067233443260193,0.5934505462646484,0.2530868649482727,0.371569961309433,0.20138424634933472,0.20924827456474304,0.421799898147583,0.2842925190925598,0.20319531857967377,0.4569662809371948,0.2602795362472534,0.4130953550338745
