,other,than,the,ijssel,",",where,does,the,water,from,the,pannerdens,kanaal,redsitrubute,?
the,0.44152235984802246,0.3227543234825134,1.0,0.2897469401359558,0.4933079481124878,0.5003893971443176,0.35928019881248474,1.0,0.297396719455719,0.40150508284568787,1.0,0.280071884393692,0.18932488560676575,0.39531734585762024,0.22068053483963013
other,0.9999999403953552,0.5105555653572083,0.44152235984802246,0.1779414564371109,0.4446498453617096,0.3730994164943695,0.2947014272212982,0.44152235984802246,0.2921212315559387,0.30141791701316833,0.44152235984802246,0.1618623286485672,0.10194490849971771,0.4015035629272461,0.24682199954986572
third,0.200852170586586,0.22376805543899536,0.4229298532009125,0.1162368431687355,0.283071368932724,0.23761779069900513,0.16555646061897278,0.4229298532009125,0.1922961324453354,0.19577939808368683,0.4229298532009125,0.2071792036294937,0.08818857371807098,0.2858225405216217,0.15394791960716248
of,0.38583824038505554,0.33036211133003235,0.733189046382904,0.25134557485580444,0.4946078956127167,0.38066378235816956,0.3119818866252899,0.733189046382904,0.2741255462169647,0.4249346852302551,0.733189046382904,0.28731927275657654,0.15538085997104645,0.3600523769855499,0.1826142966747284
the,0.44152235984802246,0.3227543234825134,1.0,0.2897469401359558,0.4933079481124878,0.5003893971443176,0.35928019881248474,1.0,0.297396719455719,0.40150508284568787,1.0,0.280071884393692,0.18932488560676575,0.39531734585762024,0.22068053483963013
water,0.2921212315559387,0.26151132583618164,0.297396719455719,0.2900756001472473,0.26706066727638245,0.2081080675125122,0.29202038049697876,0.297396719455719,0.9999998807907104,0.197988361120224,0.297396719455719,0.30572643876075745,0.19454167783260345,0.3837284445762634,0.14731885492801666
flows,0.1795012354850769,0.09939764440059662,0.32405155897140503,0.32639259099960327,0.2638954818248749,0.23452386260032654,0.23165354132652283,0.32405155897140503,0.39950031042099,0.247153639793396,0.32405155897140503,0.1689608097076416,0.29794660210609436,0.26658380031585693,0.11636040359735489
through,0.261025607585907,0.18151995539665222,0.44071322679519653,0.2427019476890564,0.3060276508331299,0.331196665763855,0.21495459973812103,0.44071322679519653,0.3048591613769531,0.4291878044605255,0.44071322679519653,0.12913250923156738,0.1142781600356102,0.26154714822769165,0.16913433372974396
the,0.44152235984802246,0.3227543234825134,1.0,0.2897469401359558,0.4933079481124878,0.5003893971443176,0.35928019881248474,1.0,0.297396719455719,0.40150508284568787,1.0,0.280071884393692,0.18932488560676575,0.39531734585762024,0.22068053483963013
pannerdens,0.1618623286485672,0.23644642531871796,0.280071884393692,0.3980560898780823,0.29709041118621826,0.2039089798927307,0.1983363777399063,0.280071884393692,0.30572643876075745,0.17172208428382874,0.280071884393692,1.0,0.37345150113105774,0.3694482445716858,0.1864292174577713
kanaal,0.10194490849971771,0.0587085597217083,0.18932488560676575,0.5308628678321838,0.2529076933860779,0.22624990344047546,0.08532165735960007,0.18932488560676575,0.19454167783260345,0.16727572679519653,0.18932488560676575,0.37345150113105774,1.0000001192092896,0.28019365668296814,0.12247966974973679
and,0.5504306554794312,0.39361441135406494,0.5171257257461548,0.21239511668682098,0.6633074283599854,0.43859338760375977,0.3461615741252899,0.5171257257461548,0.3054247498512268,0.3601827025413513,0.5171257257461548,0.30147531628608704,0.18162032961845398,0.3706168830394745,0.20544172823429108
redistributes,0.31744083762168884,0.28360864520072937,0.31868210434913635,0.2348158210515976,0.2016652673482895,0.21454787254333496,0.2737725079059601,0.31868210434913635,0.20908242464065552,0.18700966238975525,0.31868210434913635,0.24028585851192474,0.10612264275550842,0.39341121912002563,0.11713492125272751
in,0.39989137649536133,0.3270052373409271,0.6662389636039734,0.23714964091777802,0.5201468467712402,0.5344807505607605,0.214483380317688,0.6662389636039734,0.23966141045093536,0.4274188280105591,0.6662389636039734,0.24819837510585785,0.1922244429588318,0.3524097502231598,0.20430970191955566
the,0.44152235984802246,0.3227543234825134,1.0,0.2897469401359558,0.4933079481124878,0.5003893971443176,0.35928019881248474,1.0,0.297396719455719,0.40150508284568787,1.0,0.280071884393692,0.18932488560676575,0.39531734585762024,0.22068053483963013
ijssel,0.1779414564371109,0.13974133133888245,0.2897469401359558,1.0,0.1813112050294876,0.21124860644340515,0.10766929388046265,0.2897469401359558,0.2900756001472473,0.2065451294183731,0.2897469401359558,0.3980560898780823,0.5308628678321838,0.34070292115211487,0.10587967932224274
and,0.5504306554794312,0.39361441135406494,0.5171257257461548,0.21239511668682098,0.6633074283599854,0.43859338760375977,0.3461615741252899,0.5171257257461548,0.3054247498512268,0.3601827025413513,0.5171257257461548,0.30147531628608704,0.18162032961845398,0.3706168830394745,0.20544172823429108
nederrijn,0.1442549079656601,0.16309943795204163,0.1956699937582016,0.5485771894454956,0.3337106704711914,0.13245168328285217,0.11752732843160629,0.1956699937582016,0.10810140520334244,0.18259811401367188,0.1956699937582016,0.40586626529693604,0.5196739435195923,0.3988483250141144,0.254536509513855
.,0.41511186957359314,0.3594527542591095,0.5934505462646484,0.2116578221321106,0.6812511086463928,0.41390106081962585,0.3022993505001068,0.5934505462646484,0.26634910702705383,0.41536515951156616,0.5934505462646484,0.2842385172843933,0.1543445736169815,0.4301012456417084,0.4130953550338745
