,who,did,abercrombie,replace,as,commander,in,chief,?
he,0.5500732064247131,0.3292143940925598,0.2120870053768158,0.10620240122079849,0.33787044882774353,0.26432809233665466,0.41690486669540405,0.27648431062698364,0.2089974731206894
embarked,0.1487167477607727,0.22820432484149933,0.22553934156894684,0.1990281641483307,0.20723916590213776,0.1906915307044983,0.23548465967178345,0.168714240193367,0.1276444047689438
on,0.2340552806854248,0.2670976221561432,0.22835934162139893,0.2115083932876587,0.36047765612602234,0.20666152238845825,0.46853652596473694,0.12780416011810303,0.2714994251728058
a,0.36608949303627014,0.2552328109741211,0.26596394181251526,0.20985214412212372,0.39550232887268066,0.14694449305534363,0.539380669593811,0.14642393589019775,0.23916715383529663
plan,0.2951151430606842,0.3030991554260254,0.14423637092113495,0.2713052034378052,0.22160357236862183,0.2751581072807312,0.23924663662910461,0.18956637382507324,0.1961054503917694
for,0.37110671401023865,0.318512886762619,0.23412787914276123,0.2531587481498718,0.44774648547172546,0.13348925113677979,0.4322226941585541,0.12645672261714935,0.264628142118454
the,0.3733934462070465,0.34736719727516174,0.2878928482532501,0.21257810294628143,0.48381632566452026,0.24218903481960297,0.6662389636039734,0.2586921751499176,0.22068053483963013
1758,0.11964626610279083,0.13104599714279175,0.28432121872901917,0.20069216191768646,0.1103004664182663,0.2236872762441635,0.13127636909484863,0.22955980896949768,0.16363275051116943
campaign,0.18840548396110535,0.18201768398284912,0.26204708218574524,0.12318003922700882,0.22211018204689026,0.24496790766716003,0.2438942790031433,0.19248798489570618,0.162482351064682
that,0.45444270968437195,0.47518548369407654,0.20517434179782867,0.27462881803512573,0.4735107421875,0.1698683649301529,0.435920387506485,0.17569105327129364,0.32716336846351624
was,0.3318818509578705,0.41399896144866943,0.24433477222919464,0.1948053240776062,0.3677520453929901,0.23336075246334076,0.45514053106307983,0.2651097774505615,0.18412111699581146
largely,0.17741906642913818,0.16484405100345612,0.08195234090089798,0.17300616204738617,0.24124473333358765,0.12537474930286407,0.2371911108493805,0.10902202129364014,0.08185246586799622
developed,0.1288115680217743,0.24445466697216034,0.1058945283293724,0.09880640357732773,0.21440666913986206,0.08434219658374786,0.2498214840888977,0.10958857089281082,0.10763012617826462
