,would,word,means,burn,in,the,anglo-saxon,language,?
other,0.37565508484840393,0.244954451918602,0.2498726099729538,0.22663234174251556,0.39989137649536133,0.44152235984802246,0.20619218051433563,0.2782444357872009,0.24682199954986572
geordie,0.15915627777576447,0.15025581419467926,0.06070784479379654,0.2189618945121765,0.23486275970935822,0.24672424793243408,0.22874368727207184,0.14443644881248474,0.0974646806716919
words,0.34391021728515625,0.6706412434577942,0.44054779410362244,0.15010158717632294,0.20740897953510284,0.29205581545829773,0.25987908244132996,0.447384238243103,0.27074310183525085
with,0.38372042775154114,0.15935911238193512,0.18411244451999664,0.19305162131786346,0.4080928862094879,0.4223487675189972,0.15587344765663147,0.18017911911010742,0.2433311939239502
anglo-saxon,0.13854753971099854,0.32821792364120483,0.22581598162651062,0.14138561487197876,0.2107788622379303,0.30313578248023987,1.0000001192092896,0.3383752107620239,0.1810905784368515
origins,0.1473173201084137,0.3055146038532257,0.21266086399555206,0.06508783996105194,0.21701936423778534,0.2890577018260956,0.3406236171722412,0.2830616235733032,0.1275135576725006
include,0.13150931894779205,0.14212960004806519,0.26245489716529846,0.1590185910463333,0.28694382309913635,0.2951717972755432,0.1021745353937149,0.1601848155260086,0.14925788342952728
:,-0.09726555645465851,-0.07810953259468079,-0.08013136684894562,-0.11608710885047913,0.020521078258752823,-0.03403344005346298,-0.09227968752384186,-0.030401721596717834,-0.07156077772378922
``,0.08063928782939911,0.12403237819671631,0.09677895158529282,-0.08437345921993256,0.04765888676047325,0.029072100296616554,0.08943797647953033,0.13820524513721466,0.0685480609536171
larn,0.12931601703166962,0.1413564532995224,0.1523415446281433,0.2606596350669861,0.2769051790237427,0.29503700137138367,0.24226517975330353,0.1750764697790146,0.19670800864696503
'',0.02574172429740429,0.05225009098649025,-0.012570749968290329,0.02932101860642433,0.07432962208986282,0.041273195296525955,0.1465407907962799,0.05074836686253548,0.018684765323996544
(,0.21630488336086273,0.19737806916236877,0.2372412383556366,0.1723693162202835,0.3087427020072937,0.33289089798927307,0.1195409744977951,0.19353517889976501,0.40561532974243164
from,0.26231399178504944,0.2524685263633728,0.24772962927818298,0.1454489380121231,0.4274188280105591,0.40150508284568787,0.19281862676143646,0.19669853150844574,0.19969791173934937
the,0.4133751392364502,0.2835540175437927,0.32225894927978516,0.2292972207069397,0.6662389636039734,1.0,0.30313578248023987,0.30198320746421814,0.22068053483963013
anglo-saxon,0.13854753971099854,0.32821792364120483,0.22581598162651062,0.14138561487197876,0.2107788622379303,0.30313578248023987,1.0000001192092896,0.3383752107620239,0.1810905784368515
``,0.08063928782939911,0.12403237819671631,0.09677895158529282,-0.08437345921993256,0.04765888676047325,0.029072100296616554,0.08943797647953033,0.13820524513721466,0.0685480609536171
