,what,do,chloroplasts,in,mesophyll,cells,lack,?
in,0.30808621644973755,0.23402775824069977,0.21141497790813446,1.0,0.25911617279052734,0.1711641103029251,0.18643079698085785,0.20430970191955566
mesophyll,0.30341872572898865,0.2789044678211212,0.5719059109687805,0.25911617279052734,1.0,0.41817760467529297,0.2728453278541565,0.19982145726680756
cells,0.1758001297712326,0.2676107585430145,0.6158713102340698,0.1711641103029251,0.41817760467529297,1.0,0.22068817913532257,0.1898086667060852
",",0.3087472915649414,0.3283645510673523,0.20794041454792023,0.5201468467712402,0.28956174850463867,0.20582014322280884,0.27166152000427246,0.31091248989105225
chloroplasts,0.2524593770503998,0.2621478736400604,0.9999999403953552,0.21141497790813446,0.5719059109687805,0.6158713102340698,0.27657729387283325,0.13049766421318054
are,0.29724663496017456,0.41111594438552856,0.3103833794593811,0.3841303884983063,0.2885928153991699,0.2908284366130829,0.32981225848197937,0.24591213464736938
specialized,0.1963823437690735,0.3128805458545685,0.3050636351108551,0.27194300293922424,0.3435616195201874,0.2915448844432831,0.29227641224861145,0.14791558682918549
for,0.3017193675041199,0.29510271549224854,0.22036349773406982,0.4322226941585541,0.20509585738182068,0.18419811129570007,0.3265889286994934,0.264628142118454
the,0.42745697498321533,0.30239659547805786,0.23062430322170258,0.6662389636039734,0.28114423155784607,0.19095487892627716,0.2674623131752014,0.22068053483963013
light,0.22953972220420837,0.16024693846702576,0.35485613346099854,0.1819845736026764,0.2857521176338196,0.2544333338737488,0.1702408790588379,0.17429810762405396
reactions,0.3074890077114105,0.29080408811569214,0.49385276436805725,0.22656582295894623,0.36160120368003845,0.39122405648231506,0.2649911046028137,0.20989809930324554
",",0.3087472915649414,0.3283645510673523,0.20794041454792023,0.5201468467712402,0.28956174850463867,0.20582014322280884,0.27166152000427246,0.31091248989105225
so,0.539469838142395,0.4966239333152771,0.3120802044868469,0.31275880336761475,0.2789875566959381,0.30749693512916565,0.3699231743812561,0.43163934350013733
they,0.4431931674480438,0.4667694866657257,0.37369829416275024,0.4330179989337921,0.331913024187088,0.3539968729019165,0.34102916717529297,0.2753053903579712
lack,0.28247135877609253,0.3394893705844879,0.27657729387283325,0.18643079698085785,0.2728453278541565,0.22068817913532257,0.9999998807907104,0.16953514516353607
rubisco,0.18222950398921967,0.1936156153678894,0.4362456798553467,0.2248697280883789,0.3401055932044983,0.320189893245697,0.21617254614830017,0.14757676422595978
