,what,will,have,a,direct,impact,of,inequality,in,a,system,that,uses,a,progressive,tax,?
in,0.30808621644973755,0.2580665349960327,0.36843645572662354,0.539380669593811,0.1965816169977188,0.18933768570423126,0.5696388483047485,0.19402410089969635,1.0,0.539380669593811,0.21978288888931274,0.435920387506485,0.2516363263130188,0.539380669593811,0.21065156161785126,0.20513993501663208,0.20430970191955566
a,0.3320399522781372,0.3401327431201935,0.338716596364975,1.0,0.27544090151786804,0.24985632300376892,0.5052502155303955,0.1783585250377655,0.539380669593811,1.0,0.2589043080806732,0.47537946701049805,0.35566505789756775,1.0,0.2718779742717743,0.23702840507030487,0.23916715383529663
progressive,0.20924389362335205,0.19447460770606995,0.2311737984418869,0.2718779742717743,0.19906306266784668,0.252417653799057,0.27990299463272095,0.35330379009246826,0.21065156161785126,0.2718779742717743,0.19448617100715637,0.22278852760791779,0.181752011179924,0.2718779742717743,1.0,0.26907187700271606,0.12022990733385086
tax,0.21278929710388184,0.21885080635547638,0.2380584478378296,0.23702840507030487,0.2701147794723511,0.25085070729255676,0.2403477430343628,0.3682924807071686,0.20513993501663208,0.23702840507030487,0.20841825008392334,0.26179835200309753,0.09552168101072311,0.23702840507030487,0.26907187700271606,0.9999999403953552,0.2097984105348587
system,0.23557309806346893,0.21854417026042938,0.27033093571662903,0.2589043080806732,0.2532082200050354,0.1949118822813034,0.25597915053367615,0.23671649396419525,0.21978288888931274,0.2589043080806732,1.0000001192092896,0.3088737428188324,0.296671062707901,0.2589043080806732,0.19448617100715637,0.20841825008392334,0.15556083619594574
",",0.3087472915649414,0.29706671833992004,0.3541618287563324,0.427140474319458,0.20868940651416779,0.2012101411819458,0.4946078956127167,0.21822890639305115,0.5201468467712402,0.427140474319458,0.18439900875091553,0.4137537479400635,0.28387847542762756,0.427140474319458,0.18273064494132996,0.140306293964386,0.31091248989105225
the,0.42745697498321533,0.3635469079017639,0.40389683842658997,0.5829201340675354,0.3262479901313782,0.22336715459823608,0.733189046382904,0.23508106172084808,0.6662389636039734,0.5829201340675354,0.3233085572719574,0.5473989248275757,0.2830192744731903,0.5829201340675354,0.2495650351047516,0.19507044553756714,0.22068053483963013
level,0.27376922965049744,0.2680976092815399,0.28482067584991455,0.21346178650856018,0.11581585556268692,0.1882595419883728,0.23504668474197388,0.24342113733291626,0.279204785823822,0.21346178650856018,0.3221368193626404,0.25154611468315125,0.11238807439804077,0.21346178650856018,0.1845153123140335,0.25494831800460815,0.20528386533260345
of,0.33290785551071167,0.2473582625389099,0.3802283704280853,0.5052502155303955,0.2533726394176483,0.21139270067214966,1.0,0.27910974621772766,0.5696388483047485,0.5052502155303955,0.25597915053367615,0.41498205065727234,0.2738003432750702,0.5052502155303955,0.27990299463272095,0.2403477430343628,0.1826142966747284
the,0.42745697498321533,0.3635469079017639,0.40389683842658997,0.5829201340675354,0.3262479901313782,0.22336715459823608,0.733189046382904,0.23508106172084808,0.6662389636039734,0.5829201340675354,0.3233085572719574,0.5473989248275757,0.2830192744731903,0.5829201340675354,0.2495650351047516,0.19507044553756714,0.22068053483963013
