,what,is,another,term,for,shortening,the,admission,event,?
most,0.3219912350177765,0.41165053844451904,0.3596593141555786,0.2088012844324112,0.3906237483024597,0.2631566822528839,0.47635307908058167,0.15757904946804047,0.1644613891839981,0.2107497900724411
however,0.4480680823326111,0.33769986033439636,0.41271689534187317,0.3404300808906555,0.44511833786964417,0.2686391770839691,0.49814513325691223,0.28726401925086975,0.2793826162815094,0.2152075469493866
have,0.39808809757232666,0.3613572418689728,0.3633967638015747,0.24443839490413666,0.41175219416618347,0.21289363503456116,0.40389683842658997,0.2321995496749878,0.23173485696315765,0.32991164922714233
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3080509603023529,0.44038116931915283,0.2955878973007202,0.5829201340675354,0.28397107124328613,0.2635729908943176,0.23916715383529663
reversing,0.3290737271308899,0.22651566565036774,0.37619146704673767,0.1408674120903015,0.3002898395061493,0.33190375566482544,0.33674561977386475,0.33015409111976624,0.1973397433757782,0.22878237068653107
mechanism,0.2635997533798218,0.21533295512199402,0.27606499195098877,0.23810933530330658,0.2507864236831665,0.3397432863712311,0.24941077828407288,0.2014777660369873,0.1505720615386963,0.1732848435640335
which,0.5261979103088379,0.4457404911518097,0.5561438798904419,0.3138839900493622,0.44095608592033386,0.38860800862312317,0.6521818041801453,0.27853330969810486,0.37649205327033997,0.25814583897590637
additionally,0.27606531977653503,0.31744685769081116,0.3096524775028229,0.23587386310100555,0.40722236037254333,0.2716611623764038,0.34359288215637207,0.24358956515789032,0.19052621722221375,0.24129506945610046
can,0.34502777457237244,0.44256699085235596,0.3920363187789917,0.23030756413936615,0.35690054297447205,0.36038756370544434,0.312528520822525,0.2540760934352875,0.13369938731193542,0.3226337134838104
provide,0.27049049735069275,0.23050084710121155,0.2918959856033325,0.20668573677539825,0.42299434542655945,0.3003447651863098,0.26373472809791565,0.2570284903049469,0.15710994601249695,0.22704634070396423
means,0.2553325295448303,0.4087343215942383,0.3136116564273834,0.37229159474372864,0.3294552266597748,0.3027953803539276,0.32225894927978516,0.18570785224437714,0.15985889732837677,0.21233566105365753
for,0.3017193675041199,0.43268078565597534,0.36770403385162354,0.2766548991203308,0.9999999403953552,0.29885467886924744,0.4739971458911896,0.27035728096961975,0.21648059785366058,0.264628142118454
saving,0.20941711962223053,0.17026041448116302,0.21187135577201843,0.10781776905059814,0.3180788457393646,0.25910210609436035,0.2992076575756073,0.20645974576473236,0.14345063269138336,0.1187475398182869
steam,0.15672586858272552,0.13029660284519196,0.18421155214309692,0.10872190445661545,0.19393667578697205,0.23324289917945862,0.23105813562870026,0.14226579666137695,0.12764935195446014,0.113324373960495
as,0.31749409437179565,0.43216490745544434,0.3282026946544647,0.3224089443683624,0.44774648547172546,0.25572139024734497,0.48381632566452026,0.24469693005084991,0.21454742550849915,0.27043893933296204
speed,0.23285695910453796,0.21955357491970062,0.17875432968139648,0.12282130122184753,0.2231474667787552,0.2719372808933258,0.2310667634010315,0.22309090197086334,0.22947688400745392,0.17392314970493317
and,0.31309178471565247,0.3859752118587494,0.3214244842529297,0.22272127866744995,0.5064792633056641,0.21221846342086792,0.5171257257461548,0.20120634138584137,0.17869816720485687,0.20544172823429108
momentum,0.2866780757904053,0.17100326716899872,0.3080054521560669,0.1766776740550995,0.16635693609714508,0.2203092724084854,0.25104424357414246,0.2142205685377121,0.2684142291545868,0.1894138902425766
are,0.29724663496017456,0.5330929756164551,0.23159852623939514,0.1909082531929016,0.3895993232727051,0.25045573711395264,0.40399202704429626,0.17487461864948273,0.1376582384109497,0.24591213464736938
