,rather,than,taxation,",",what,are,private,schools,largely,funded,by,?
private,0.14991822838783264,0.13248130679130554,0.3166259825229645,0.1899166703224182,0.16778090596199036,0.1694057136774063,1.0,0.4158569872379303,0.18915681540966034,0.37384557723999023,0.18554414808750153,0.14389030635356903
schools,0.14261603355407715,0.16902634501457214,0.2641906440258026,0.2760516405105591,0.1820785105228424,0.30816179513931274,0.4158569872379303,1.0,0.19322611391544342,0.39287659525871277,0.1415957361459732,0.18349280953407288
",",0.276650071144104,0.3371901512145996,0.20654340088367462,1.0000001192092896,0.3087472915649414,0.4062570035457611,0.1899166703224182,0.2760516405105591,0.24212822318077087,0.18915624916553497,0.3680937886238098,0.31091248989105225
also,0.3060348927974701,0.3524617850780487,0.2273758351802826,0.4717654287815094,0.42747777700424194,0.4565894305706024,0.23910270631313324,0.3129073679447174,0.2864066958427429,0.16824060678482056,0.3824189305305481,0.21848613023757935
known,0.18398405611515045,0.21790020167827606,0.1297556757926941,0.3604377806186676,0.20381177961826324,0.26720109581947327,0.13440756499767303,0.11933183670043945,0.18178726732730865,0.1657048910856247,0.24461808800697327,0.18314571678638458
as,0.38414403796195984,0.40532299876213074,0.24398571252822876,0.48816442489624023,0.31749409437179565,0.3826591968536377,0.22101859748363495,0.21233005821704865,0.24124473333358765,0.2071475088596344,0.3815547823905945,0.27043893933296204
independent,0.17380377650260925,0.17305275797843933,0.2695853114128113,0.24115799367427826,0.28752967715263367,0.1716575026512146,0.21767279505729675,0.22231550514698029,0.21077704429626465,0.2317287027835846,0.20215941965579987,0.11902587860822678
schools,0.14261603355407715,0.16902634501457214,0.2641906440258026,0.2760516405105591,0.1820785105228424,0.30816179513931274,0.4158569872379303,1.0,0.19322611391544342,0.39287659525871277,0.1415957361459732,0.18349280953407288
",",0.276650071144104,0.3371901512145996,0.20654340088367462,1.0000001192092896,0.3087472915649414,0.4062570035457611,0.1899166703224182,0.2760516405105591,0.24212822318077087,0.18915624916553497,0.3680937886238098,0.31091248989105225
non-governmental,0.21577824652194977,0.1769375503063202,0.5490967035293579,0.28734540939331055,0.22915460169315338,0.24904043972492218,0.32090720534324646,0.3469877243041992,0.2745031714439392,0.5001830458641052,0.2542456090450287,0.2302026003599167
",",0.276650071144104,0.3371901512145996,0.20654340088367462,1.0000001192092896,0.3087472915649414,0.4062570035457611,0.1899166703224182,0.2760516405105591,0.24212822318077087,0.18915624916553497,0.3680937886238098,0.31091248989105225
or,0.5221653580665588,0.5002588033676147,0.30086174607276917,0.3769497275352478,0.33867141604423523,0.5374364256858826,0.21888144314289093,0.23524631559848785,0.25473925471305847,0.17304039001464844,0.30274316668510437,0.32389625906944275
nonstate,0.23160572350025177,0.15080897510051727,0.3409729599952698,0.3134083151817322,0.22288276255130768,0.22405754029750824,0.2977983057498932,0.2588921785354614,0.21494707465171814,0.3004622459411621,0.21828272938728333,0.2595658004283905
schools,0.14261603355407715,0.16902634501457214,0.2641906440258026,0.2760516405105591,0.1820785105228424,0.30816179513931274,0.4158569872379303,1.0,0.19322611391544342,0.39287659525871277,0.1415957361459732,0.18349280953407288
",",0.276650071144104,0.3371901512145996,0.20654340088367462,1.0000001192092896,0.3087472915649414,0.4062570035457611,0.1899166703224182,0.2760516405105591,0.24212822318077087,0.18915624916553497,0.3680937886238098,0.31091248989105225
are,0.325596421957016,0.39206281304359436,0.2124989628791809,0.4062570035457611,0.29724663496017456,1.0,0.1694057136774063,0.30816179513931274,0.2932984232902527,0.18269871175289154,0.37842893600463867,0.24591213464736938
