,of,what,were,materials,that,left,little,residue,thought,to,contain,?
air,0.24196814000606537,0.10361403971910477,0.1481994241476059,0.2427978217601776,0.19720019400119781,0.15899161994457245,0.1483057737350464,0.22473272681236267,0.13627444207668304,0.24103909730911255,0.15128564834594727,0.1491677612066269
did,0.2513895630836487,0.4259131848812103,0.4162326455116272,0.1867644190788269,0.47518548369407654,0.27335280179977417,0.19468741118907928,0.08429853618144989,0.482954740524292,0.4452643394470215,0.16521911323070526,0.3023456633090973
not,0.3307090103626251,0.5449194312095642,0.33318549394607544,0.28202247619628906,0.6600887179374695,0.259565144777298,0.2422143667936325,0.28891685605049133,0.449548602104187,0.5149973034858704,0.39340853691101074,0.41942933201789856
play,0.15350224077701569,0.2180248498916626,0.21322371065616608,0.10793814063072205,0.25531938672065735,0.1785234957933426,0.16320295631885529,0.04548253118991852,0.200993150472641,0.272149920463562,0.19494785368442535,0.11059518158435822
a,0.5052502155303955,0.3320399522781372,0.17203083634376526,0.21448606252670288,0.47537946701049805,0.19688890874385834,0.3029581904411316,0.29361438751220703,0.3342154324054718,0.45503583550453186,0.23510922491550446,0.23916715383529663
role,0.1797693818807602,0.22614215314388275,0.12640441954135895,0.073703832924366,0.23023544251918793,0.1115720346570015,0.15066471695899963,0.1248810812830925,0.25978249311447144,0.17841029167175293,0.0871342271566391,0.18676944077014923
in,0.5696388483047485,0.30808621644973755,0.3815755248069763,0.2393922507762909,0.435920387506485,0.21139952540397644,0.22515349090099335,0.23877045512199402,0.24524326622486115,0.45010748505592346,0.23975171148777008,0.20430970191955566
phlogiston,0.18006449937820435,0.23945403099060059,0.2234601378440857,0.2223179042339325,0.2565610408782959,0.14225700497627258,0.2220257967710495,0.30455344915390015,0.2175625115633011,0.22483126819133759,0.1922471672296524,0.230838805437088
theory,0.23506702482700348,0.297923743724823,0.1573960781097412,0.24198974668979645,0.36183905601501465,0.10591989010572433,0.16323374211788177,0.23596927523612976,0.33378612995147705,0.21947365999221802,0.2349500209093094,0.1387292891740799
",",0.4946078956127167,0.3087472915649414,0.36755475401878357,0.20380693674087524,0.4137537479400635,0.2448868453502655,0.32780832052230835,0.2166748195886612,0.2965437173843384,0.44245919585227966,0.24384500086307526,0.31091248989105225
nor,0.19705849885940552,0.33353856205940247,0.20416341722011566,0.19919374585151672,0.38310906291007996,0.052761830389499664,0.19136610627174377,0.18853139877319336,0.2321191430091858,0.29058706760406494,0.22802358865737915,0.2602383494377136
were,0.34038281440734863,0.22298263013362885,1.0000001192092896,0.2721776068210602,0.35517072677612305,0.2213863730430603,0.19139611721038818,0.1492072492837906,0.40236467123031616,0.31913647055625916,0.3160918951034546,0.17890112102031708
any,0.3769088089466095,0.43670421838760376,0.2646087408065796,0.32894620299339294,0.5484943389892578,0.21208980679512024,0.2624647617340088,0.31240954995155334,0.31233757734298706,0.46410247683525085,0.3519479036331177,0.4113408327102661
