,in,1735,",",where,did,john,and,charles,wesley,teach,the,gospel,in,america,?
in,1.0,0.1438913345336914,0.5201468467712402,0.5344807505607605,0.2593238651752472,0.22177861630916595,0.4954058527946472,0.21346928179264069,0.14970102906227112,0.23312166333198547,0.6662389636039734,0.1775401383638382,1.0,0.3098583221435547,0.20430970191955566
1735,0.1438913345336914,1.0,0.22754274308681488,0.06278669834136963,0.09082478284835815,0.08929149061441422,0.15721049904823303,0.13514533638954163,0.12202242761850357,0.10056070983409882,0.1201869398355484,0.08079791069030762,0.1438913345336914,-0.037716176360845566,0.2166009247303009
",",0.5201468467712402,0.22754274308681488,1.0000001192092896,0.3149496018886566,0.3015086054801941,0.23961079120635986,0.6633074283599854,0.24990057945251465,0.262672483921051,0.22192275524139404,0.4933079481124878,0.19893822073936462,0.5201468467712402,0.253568559885025,0.31091248989105225
john,0.22177861630916595,0.08929149061441422,0.23961079120635986,0.12403866648674011,0.18785913288593292,1.0000001192092896,0.21634717285633087,0.43168818950653076,0.43004438281059265,0.15221664309501648,0.2230520099401474,0.32815858721733093,0.22177861630916595,0.22025291621685028,0.13162356615066528
and,0.4954058527946472,0.15721049904823303,0.6633074283599854,0.43859338760375977,0.34479495882987976,0.21634717285633087,1.0,0.23640480637550354,0.19792525470256805,0.27376773953437805,0.5171257257461548,0.1558459848165512,0.4954058527946472,0.2647855281829834,0.20544172823429108
charles,0.21346928179264069,0.13514533638954163,0.24990057945251465,0.14790989458560944,0.11287324130535126,0.43168818950653076,0.23640480637550354,1.0000001192092896,0.32569611072540283,0.16131171584129333,0.20777860283851624,0.14034874737262726,0.21346928179264069,0.15900149941444397,0.17366734147071838
wesley,0.14970102906227112,0.12202242761850357,0.262672483921051,0.0827612578868866,0.13146962225437164,0.43004438281059265,0.19792525470256805,0.32569611072540283,0.9999999403953552,0.2060650885105133,0.1425647884607315,0.28412169218063354,0.14970102906227112,0.1133975014090538,0.1662333607673645
went,0.30470821261405945,0.08547182381153107,0.29013195633888245,0.34604400396347046,0.4810470640659332,0.1899385303258896,0.3419242799282074,0.1675105094909668,0.1719440370798111,0.28429678082466125,0.3345835506916046,0.11834108829498291,0.30470821261405945,0.1967214047908783,0.12109432369470596
to,0.45010748505592346,0.09699079394340515,0.44245919585227966,0.47735077142715454,0.4452643394470215,0.2070634365081787,0.48971283435821533,0.1563960611820221,0.18164515495300293,0.36650484800338745,0.535392165184021,0.22325627505779266,0.45010748505592346,0.2636699676513672,0.29463258385658264
america,0.3098583221435547,-0.037716176360845566,0.253568559885025,0.19169794023036957,0.2212076634168625,0.22025291621685028,0.2647855281829834,0.15900149941444397,0.1133975014090538,0.1775546818971634,0.37090015411376953,0.2070411890745163,0.3098583221435547,0.9999998807907104,0.19333907961845398
