,what,type,of,interpretation,of,islam,does,salafism,promote,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2766321003437042,0.733189046382904,0.2207694798707962,0.35928019881248474,0.21717160940170288,0.2408624291419983,0.22068053483963013
interpretation,0.37054285407066345,0.17781609296798706,0.25918829441070557,1.0,0.25918829441070557,0.33689969778060913,0.27845749258995056,0.38985002040863037,0.23305486142635345,0.2162649929523468
of,0.33290785551071167,0.18112817406654358,1.0,0.25918829441070557,1.0,0.21728332340717316,0.3119818866252899,0.26604437828063965,0.22270441055297852,0.1826142966747284
islam,0.23237212002277374,0.08514412492513657,0.21728332340717316,0.33689969778060913,0.21728332340717316,1.0000001192092896,0.1891104280948639,0.5317354798316956,0.15005837380886078,0.18358638882637024
promoted,0.18223430216312408,0.025281371548771858,0.1760295182466507,0.16937576234340668,0.1760295182466507,0.13771674036979675,0.15057748556137085,0.2043991982936859,0.6337306499481201,0.2079106867313385
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.1904151737689972,0.3646814823150635,0.15867580473423004,0.143477201461792,0.12789350748062134,0.2196826934814453,0.17966607213020325
this,0.5489566326141357,0.36936521530151367,0.45148900151252747,0.32917967438697815,0.45148900151252747,0.22152648866176605,0.4166489243507385,0.27039968967437744,0.26642367243766785,0.3155723512172699
funding,0.2725590467453003,0.1505785584449768,0.27515512704849243,0.22570955753326416,0.27515512704849243,0.18734608590602875,0.24926534295082092,0.28014424443244934,0.38264375925064087,0.1842934638261795
was,0.22111038863658905,0.14348182082176208,0.4069072902202606,0.21009790897369385,0.4069072902202606,0.15794138610363007,0.19302551448345184,0.18196751177310944,0.23078159987926483,0.18412111699581146
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2766321003437042,0.733189046382904,0.2207694798707962,0.35928019881248474,0.21717160940170288,0.2408624291419983,0.22068053483963013
strict,0.2741048336029053,0.11831087619066238,0.20961691439151764,0.37154391407966614,0.20961691439151764,0.24873514473438263,0.2909836769104004,0.28117138147354126,0.2383863925933838,0.18498127162456512
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2270279824733734,0.4946078956127167,0.23459285497665405,0.28617382049560547,0.2684647738933563,0.27121588587760925,0.31091248989105225
conservative,0.1886831820011139,0.09409841895103455,0.17898385226726532,0.20980536937713623,0.17898385226726532,0.30836716294288635,0.11287832260131836,0.36327672004699707,0.2832984924316406,0.1597563922405243
saudi-based,0.34685826301574707,0.27523404359817505,0.3878903388977051,0.32799363136291504,0.3878903388977051,0.4112241864204407,0.24873338639736176,0.3421178460121155,0.25910720229148865,0.24110420048236847
wahhabism,0.28942883014678955,0.17921943962574005,0.3058794438838959,0.39947304129600525,0.3058794438838959,0.6366843581199646,0.15446306765079498,0.7171607613563538,0.2279808223247528,0.1985596865415573
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.25949349999427795,0.3792596757411957,0.19456106424331665,0.4248845875263214,0.26611053943634033,0.21976232528686523,0.32389625906944275
salafism,0.2867230474948883,0.14013880491256714,0.26604437828063965,0.38985002040863037,0.26604437828063965,0.5317354798316956,0.18221698701381683,1.0,0.2599526643753052,0.22954337298870087
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.16179122030735016,0.5352458953857422,0.2825687527656555,0.3022993505001068,0.26421990990638733,0.2479933649301529,0.4130953550338745
