,where,was,victoria,first,set,to,be,located,in,australia,?
with,0.4142743945121765,0.27411898970603943,0.1835653930902481,0.2691199779510498,0.19515010714530945,0.4239959120750427,0.36101722717285156,0.12990716099739075,0.4080928862094879,0.1884058564901352,0.2433311939239502
great,0.17954127490520477,0.19652196764945984,0.23396070301532745,0.2416098713874817,0.15174292027950287,0.1880372017621994,0.17040422558784485,0.13506066799163818,0.23348836600780487,0.19248181581497192,0.13135133683681488
britain,0.17394061386585236,0.27792006731033325,0.3553982973098755,0.29001590609550476,0.1464916169643402,0.25324371457099915,0.2473866045475006,0.10082336515188217,0.26246872544288635,0.4283146560192108,0.1268460750579834
having,0.37131187319755554,0.2792723774909973,0.1505592167377472,0.2400989979505539,0.22938519716262817,0.3992697596549988,0.40528199076652527,0.12429138273000717,0.32022708654403687,0.167960986495018,0.22418256103992462
claimed,0.1889020800590515,0.32895320653915405,0.15407006442546844,0.24460621178150177,0.13299468159675598,0.2575981914997101,0.22778548300266266,0.20757126808166504,0.21382014453411102,0.203987255692482,0.2083493024110794
the,0.5003893971443176,0.48711544275283813,0.2204313427209854,0.49448907375335693,0.2927955985069275,0.535392165184021,0.4248143136501312,0.407527357339859,0.6662389636039734,0.26828548312187195,0.22068053483963013
entire,0.29618456959724426,0.2562327980995178,0.10932813584804535,0.27585896849632263,0.24001780152320862,0.37588366866111755,0.28462302684783936,0.2163580358028412,0.3347092568874359,0.1269603669643402,0.17068447172641754
australian,0.16993862390518188,0.2591390311717987,0.42558738589286804,0.2825000286102295,0.1807738095521927,0.15894444286823273,0.11816458404064178,0.07766979187726974,0.1796053647994995,0.7325041890144348,0.10848008096218109
continent,0.2528049051761627,0.19089169800281525,0.16591612994670868,0.26509958505630493,0.10525492578744888,0.21310271322727203,0.19963844120502472,0.18391743302345276,0.29258909821510315,0.32225003838539124,0.17592057585716248
east,0.28155818581581116,0.2747166156768799,0.26835596561431885,0.22082990407943726,0.12341858446598053,0.24717837572097778,0.1417342573404312,0.35773882269859314,0.32659441232681274,0.2622566521167755,0.10070597380399704
of,0.38066378235816956,0.4069072902202606,0.2505437433719635,0.3536086082458496,0.20671486854553223,0.41548454761505127,0.33904364705085754,0.32520920038223267,0.5696388483047485,0.2669609785079956,0.1826142966747284
the,0.5003893971443176,0.48711544275283813,0.2204313427209854,0.49448907375335693,0.2927955985069275,0.535392165184021,0.4248143136501312,0.407527357339859,0.6662389636039734,0.26828548312187195,0.22068053483963013
135th,0.15615668892860413,0.24067163467407227,0.10400797426700592,0.3096391558647156,0.11695040762424469,0.17417973279953003,0.1642346978187561,0.11676115542650223,0.16884514689445496,0.16569674015045166,0.03583397716283798
meridian,0.2378212958574295,0.22805143892765045,0.2705063819885254,0.22311654686927795,0.2088259905576706,0.2110879123210907,0.21603111922740936,0.31543847918510437,0.23735979199409485,0.23026897013187408,0.09583532810211182
east,0.28155818581581116,0.2747166156768799,0.26835596561431885,0.22082990407943726,0.12341858446598053,0.24717837572097778,0.1417342573404312,0.35773882269859314,0.32659441232681274,0.2622566521167755,0.10070597380399704
in,0.5344807505607605,0.45514053106307983,0.20823122560977936,0.4127444326877594,0.2663729190826416,0.45010748505592346,0.3481820821762085,0.35149815678596497,1.0,0.2697675824165344,0.20430970191955566
1788,0.03061550483107567,0.028817273676395416,0.047986727207899094,0.028750507161021233,0.04264932498335838,0.019751818850636482,0.03814785182476044,0.22305554151535034,0.09250704199075699,0.01996009238064289,0.10552866011857986
",",0.3149496018886566,0.45456063747406006,0.2279360294342041,0.34503069519996643,0.24912182986736298,0.44245919585227966,0.39254459738731384,0.2678719460964203,0.5201468467712402,0.22314006090164185,0.31091248989105225
victoria,0.1839742809534073,0.2550773620605469,1.0,0.25445491075515747,0.154679074883461,0.18328198790550232,0.18724843859672546,0.14530323445796967,0.20823122560977936,0.5548879504203796,0.12246892601251602
was,0.20731619000434875,1.0000001192092896,0.2550773620605469,0.5022147297859192,0.22985222935676575,0.3636345863342285,0.42228707671165466,0.20133289694786072,0.45514053106307983,0.2358046919107437,0.18412111699581146
included,0.18757428228855133,0.3148443400859833,0.16491380333900452,0.23475037515163422,0.25751274824142456,0.2322428971529007,0.24444355070590973,0.24634100496768951,0.32433560490608215,0.21016964316368103,0.14385655522346497
in,0.5344807505607605,0.45514053106307983,0.20823122560977936,0.4127444326877594,0.2663729190826416,0.45010748505592346,0.3481820821762085,0.35149815678596497,1.0,0.2697675824165344,0.20430970191955566
the,0.5003893971443176,0.48711544275283813,0.2204313427209854,0.49448907375335693,0.2927955985069275,0.535392165184021,0.4248143136501312,0.407527357339859,0.6662389636039734,0.26828548312187195,0.22068053483963013
wider,0.20484039187431335,0.11507634818553925,0.14498797059059143,0.18065430223941803,0.20308512449264526,0.3954014778137207,0.31838902831077576,0.22798395156860352,0.24510055780410767,0.20248037576675415,0.20532488822937012
colony,0.19736720621585846,0.25879696011543274,0.23235772550106049,0.27991995215415955,0.24885669350624084,0.27651169896125793,0.15906058251857758,0.17912200093269348,0.25087448954582214,0.23187807202339172,0.13831071555614471
