,what,did,tesla,claim,his,resonant,frequencies,could,do,in,the,world,today,article,?
a,0.3320399522781372,0.2552328109741211,0.2211925983428955,0.19074557721614838,0.3497250974178314,0.3069482743740082,0.26022985577583313,0.3736826181411743,0.26237669587135315,0.539380669593811,0.5829201340675354,0.22239887714385986,0.2396019846200943,0.30913418531417847,0.23916715383529663
continuation,0.30185413360595703,0.2656138241291046,0.13271969556808472,0.26416948437690735,0.3034825921058655,0.21625873446464539,0.19188019633293152,0.22540777921676636,0.19759021699428558,0.33535462617874146,0.41826045513153076,0.26585832238197327,0.24203167855739594,0.31758934259414673,0.14227430522441864
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,0.2833690047264099,0.38364991545677185,0.19674964249134064,0.20707261562347412,0.29043012857437134,0.26150479912757874,0.5696388483047485,0.733189046382904,0.2828933000564575,0.3291318118572235,0.25720444321632385,0.1826142966747284
this,0.5489566326141357,0.3609912693500519,0.2066725641489029,0.30759197473526,0.3549620509147644,0.32431459426879883,0.2995423376560211,0.4042564332485199,0.34963881969451904,0.45205554366111755,0.6274310946464539,0.2903963327407837,0.3353723883628845,0.46649065613746643,0.3155723512172699
process,0.3466717302799225,0.1973760724067688,0.19855369627475739,0.1649438440799713,0.15942659974098206,0.2912997305393219,0.29589736461639404,0.23241347074508667,0.25918635725975037,0.19851736724376678,0.264274537563324,0.16533683240413666,0.2185688018798828,0.32600101828575134,0.2460896074771881
would,0.45766422152519226,0.6268245577812195,0.14290116727352142,0.304919570684433,0.292866975069046,0.2203497439622879,0.27844515442848206,0.8068214654922485,0.4102592170238495,0.30461156368255615,0.4133751392364502,0.22606314718723297,0.2509833574295044,0.40502163767814636,0.37178951501846313
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.2664267122745514,0.3378419280052185,0.19809845089912415,0.17816179990768433,0.27399855852127075,0.3283645510673523,0.5201468467712402,0.4933079481124878,0.26091980934143066,0.3282252550125122,0.28605279326438904,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,0.12373391538858414,0.2535962760448456,0.7171558737754822,0.15285441279411316,0.12383392453193665,0.2828438878059387,0.19599148631095886,0.41690486669540405,0.4571082592010498,0.2673812806606293,0.2874262034893036,0.24431072175502777,0.2089974731206894
says,0.43107321858406067,0.3321131765842438,0.17379127442836761,0.3559113144874573,0.2127390056848526,0.1864893138408661,0.16820301115512848,0.28124287724494934,0.29831501841545105,0.19192346930503845,0.29071056842803955,0.18574480712413788,0.26998642086982727,0.34029486775398254,0.2869862914085388
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.2664267122745514,0.3378419280052185,0.19809845089912415,0.17816179990768433,0.27399855852127075,0.3283645510673523,0.5201468467712402,0.4933079481124878,0.26091980934143066,0.3282252550125122,0.28605279326438904,0.31091248989105225
eventually,0.28470873832702637,0.36719876527786255,0.1490691900253296,0.2855605185031891,0.3771527111530304,0.1291683316230774,0.15323637425899506,0.43401220440864563,0.1971498727798462,0.3575967252254486,0.42022404074668884,0.23197107017040253,0.2215452343225479,0.2171439826488495,0.13642115890979767
split,0.2802104353904724,0.11566226184368134,0.1598300188779831,0.10478778928518295,0.11423321068286896,0.09264951199293137,0.19773714244365692,0.14671483635902405,0.14687509834766388,0.24171817302703857,0.2967630624771118,0.1648106426000595,0.1937318593263626,0.1517818123102188,0.16133880615234375
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.25873351097106934,0.4394008219242096,0.2651900351047516,0.24049115180969238,0.35393214225769043,0.30239659547805786,0.6662389636039734,1.0,0.33604270219802856,0.35740926861763,0.3329811692237854,0.22068053483963013
earth,0.25883176922798157,0.15510493516921997,0.15147079527378082,0.16703461110591888,0.18156030774116516,0.29908668994903564,0.240047886967659,0.21314898133277893,0.19425350427627563,0.18566735088825226,0.2801888585090637,0.2691185772418976,0.20168204605579376,0.24740919470787048,0.17717236280441284
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.16881313920021057,0.3598145842552185,0.1923973560333252,0.18500514328479767,0.29357993602752686,0.23402775824069977,1.0,0.6662389636039734,0.3038199245929718,0.3300545811653137,0.26153311133384705,0.20430970191955566
two,0.23363454639911652,0.2755576968193054,0.18793831765651703,0.16941779851913452,0.3376699388027191,0.2547728419303894,0.26729851961135864,0.3010946810245514,0.22086432576179504,0.36463531851768494,0.43858039379119873,0.25136598944664,0.2578253149986267,0.17212405800819397,0.19645625352859497
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.24773532152175903,0.3119256794452667,0.22655948996543884,0.1775393933057785,0.3200591504573822,0.3613996207714081,0.5591574311256409,0.5934505462646484,0.3177160322666168,0.30348071455955505,0.30669885873794556,0.4130953550338745
'',0.08143015950918198,0.01978493109345436,0.048713020980358124,0.07775676995515823,0.016508836299180984,-0.03573282063007355,0.015038426965475082,-0.0027024701703339815,-0.00043653504690155387,0.07432962208986282,0.041273195296525955,-0.07833857089281082,0.005411121994256973,0.08483149111270905,0.018684765323996544
,what,did,tesla,claim,his,resonant,frequencies,could,do,in,the,world,today,article,?
:162–164,0.07456074655056,0.08930160850286484,-0.012245643883943558,0.06404650211334229,0.16238996386528015,0.11633757501840591,0.3227402865886688,0.1650814563035965,0.15502706170082092,0.16503185033798218,0.19729286432266235,0.1177760660648346,0.1477598398923874,0.01954413205385208,0.052450794726610184
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.16881313920021057,0.3598145842552185,0.1923973560333252,0.18500514328479767,0.29357993602752686,0.23402775824069977,1.0,0.6662389636039734,0.3038199245929718,0.3300545811653137,0.26153311133384705,0.20430970191955566
february,0.1913013905286789,0.25426602363586426,0.1285248100757599,0.15744778513908386,0.29205068945884705,0.065041184425354,0.054576873779296875,0.23084980249404907,0.13133655488491058,0.2990526556968689,0.26483774185180664,0.18396277725696564,0.09094594419002533,0.3270640969276428,0.29594847559928894
1912,0.12325803935527802,0.14104996621608734,0.15789027512073517,0.0946308821439743,0.25413551926612854,0.15357498824596405,-0.0038080711383372545,0.11194482445716858,0.14719684422016144,0.392646461725235,0.3937433958053589,0.19623255729675293,0.25481823086738586,0.15332411229610443,0.13778282701969147
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.2664267122745514,0.3378419280052185,0.19809845089912415,0.17816179990768433,0.27399855852127075,0.3283645510673523,0.5201468467712402,0.4933079481124878,0.26091980934143066,0.3282252550125122,0.28605279326438904,0.31091248989105225
