,in,what,year,will,the,barack,obama,presidential,center,be,finished,?
with,0.4080928862094879,0.2464839518070221,0.3220449686050415,0.33888739347457886,0.4223487675189972,0.2137809544801712,0.23240701854228973,0.14800776541233063,0.1499965488910675,0.36101722717285156,0.2654603123664856,0.2433311939239502
an,0.2605783939361572,0.2821882665157318,0.17045794427394867,0.22877877950668335,0.4207492768764496,0.1921107918024063,0.14871224761009216,0.15893688797950745,0.14463786780834198,0.33041056990623474,0.1263723075389862,0.19793890416622162
estimated,0.2508986294269562,0.19670580327510834,0.21475832164287567,0.17310313880443573,0.29184040427207947,0.14940840005874634,0.14350266754627228,0.19332082569599152,0.23109738528728485,0.21316911280155182,0.09179291874170303,0.18149758875370026
completion,0.28483957052230835,0.21335561573505402,0.25376856327056885,0.30337047576904297,0.3176874816417694,0.08141498267650604,0.11457616835832596,0.2406274378299713,0.1931050717830658,0.24102182686328888,0.4411851167678833,0.08032544702291489
date,0.21362407505512238,0.20141606032848358,0.3541852831840515,0.26121509075164795,0.25333094596862793,0.08381642401218414,0.1211211085319519,0.17159631848335266,0.14692766964435577,0.26916593313217163,0.13079150021076202,0.2698357403278351
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2473582625389099,0.733189046382904,0.19500595331192017,0.17125636339187622,0.226227268576622,0.24526838958263397,0.33904364705085754,0.19935797154903412,0.1826142966747284
2020,-0.1067064180970192,0.07926443964242935,-0.037167955189943314,0.14433056116104126,-0.07532204687595367,-0.11562545597553253,-0.10543172806501389,-0.0686483234167099,-0.06914932280778885,0.09716926515102386,-0.06011899560689926,0.007840345613658428
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.29706671833992004,0.4933079481124878,0.2443356066942215,0.2304023802280426,0.2162860929965973,0.1905742734670639,0.39254459738731384,0.2894314229488373,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.3635469079017639,1.0,0.24946269392967224,0.21614792943000793,0.2443588525056839,0.29064592719078064,0.4248143136501312,0.2754973769187927,0.22068053483963013
barack,0.1987914890050888,0.17694424092769623,0.16033567488193512,0.13512472808361053,0.24946269392967224,1.0,0.8546327948570251,0.6246858239173889,0.14776284992694855,0.18517959117889404,0.14162121713161469,0.24987603724002838
obama,0.21482840180397034,0.1679007112979889,0.1350463330745697,0.1334913969039917,0.21614792943000793,0.8546327948570251,1.0,0.5909407734870911,0.16425132751464844,0.15974797308444977,0.13547366857528687,0.2326410561800003
presidential,0.2229764759540558,0.14383156597614288,0.20102646946907043,0.18262618780136108,0.2443588525056839,0.6246858239173889,0.5909407734870911,1.0,0.2566588819026947,0.15853162109851837,0.21584130823612213,0.1823401004076004
center,0.27253323793411255,0.1908310204744339,0.1111270859837532,0.15073174238204956,0.29064592719078064,0.14776284992694855,0.16425132751464844,0.2566588819026947,0.9999999403953552,0.17372749745845795,0.10645928978919983,0.12538520991802216
will,0.2580665349960327,0.3510494530200958,0.26286253333091736,1.0,0.3635469079017639,0.13512472808361053,0.1334913969039917,0.18262618780136108,0.15073174238204956,0.4925616979598999,0.19945776462554932,0.35046905279159546
be,0.3481820821762085,0.3929833769798279,0.2296248972415924,0.4925616979598999,0.4248143136501312,0.18517959117889404,0.15974797308444977,0.15853162109851837,0.17372749745845795,1.0,0.2112109214067459,0.3324260413646698
housed,0.2706713080406189,0.14229431748390198,0.16584812104701996,0.10127576440572739,0.320347398519516,0.10722721368074417,0.07085361331701279,0.12011590600013733,0.2252608835697174,0.19531434774398804,0.21004660427570343,0.08815091848373413
at,0.4374977946281433,0.2838611304759979,0.3146436810493469,0.26192525029182434,0.457212895154953,0.1707034558057785,0.12675505876541138,0.1647493690252304,0.29677248001098633,0.30379733443260193,0.3123586177825928,0.21978627145290375
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.3635469079017639,1.0,0.24946269392967224,0.21614792943000793,0.2443588525056839,0.29064592719078064,0.4248143136501312,0.2754973769187927,0.22068053483963013
university,0.3201795518398285,0.20256435871124268,0.15213046967983246,0.0881248340010643,0.263973206281662,0.23504133522510529,0.21503716707229614,0.21950258314609528,0.2763576805591583,0.13178980350494385,0.17970837652683258,0.11887256056070328
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.35983073711395264,0.5171257257461548,0.22380496561527252,0.22087924182415009,0.2533709406852722,0.28670641779899597,0.41766801476478577,0.22604867815971375,0.20544172823429108
include,0.28694382309913635,0.1535889357328415,0.09986922144889832,0.16990959644317627,0.2951717972755432,0.18556246161460876,0.14113980531692505,0.1311347931623459,0.09897056221961975,0.29535481333732605,0.09291457384824753,0.14925788342952728
both,0.3960166871547699,0.3361809551715851,0.234172984957695,0.3347627818584442,0.4931981563568115,0.1978425681591034,0.21409553289413452,0.16166608035564423,0.20220474898815155,0.37506237626075745,0.22581543028354645,0.19455738365650177
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.3635469079017639,1.0,0.24946269392967224,0.21614792943000793,0.2443588525056839,0.29064592719078064,0.4248143136501312,0.2754973769187927,0.22068053483963013
obama,0.21482840180397034,0.1679007112979889,0.1350463330745697,0.1334913969039917,0.21614792943000793,0.8546327948570251,1.0,0.5909407734870911,0.16425132751464844,0.15974797308444977,0.13547366857528687,0.2326410561800003
