,what,new,technology,allowed,abc,to,pre-record,its,shows,?
however,0.4480680823326111,0.27734124660491943,0.20290899276733398,0.4487839937210083,0.13561899960041046,0.5474119186401367,0.28830406069755554,0.43564918637275696,0.2995210886001587,0.2152075469493866
",",0.3087472915649414,0.36073189973831177,0.2817870080471039,0.2785535454750061,0.2097204476594925,0.44245919585227966,0.33497053384780884,0.33157986402511597,0.26986414194107056,0.31091248989105225
abc,0.1317344456911087,0.20663127303123474,0.08065390586853027,0.11095034331083298,1.0000001192092896,0.1762417107820511,0.24385632574558258,0.19045390188694,0.3304527997970581,0.19065172970294952
made,0.23419176042079926,0.20649032294750214,0.21433408558368683,0.3681056797504425,0.16169872879981995,0.3377571105957031,0.19778545200824738,0.23243726789951324,0.2575196921825409,0.17218779027462006
a,0.3320399522781372,0.3214259147644043,0.21604947745800018,0.275193989276886,0.21331243216991425,0.45503583550453186,0.27246564626693726,0.4424409866333008,0.3360818326473236,0.23916715383529663
name,0.18623162806034088,0.19623230397701263,0.11947079747915268,0.17287006974220276,0.1380753219127655,0.27806994318962097,0.23750075697898865,0.317160964012146,0.1723814606666565,0.15381577610969543
for,0.3017193675041199,0.2700757384300232,0.24007871747016907,0.3152953088283539,0.22510288655757904,0.4451248347759247,0.2681262493133545,0.2992613911628723,0.35496386885643005,0.264628142118454
itself,0.3625122308731079,0.2580430805683136,0.13103698194026947,0.20485134422779083,0.1984531283378601,0.340527206659317,0.1692424714565277,0.5226107835769653,0.2211458534002304,0.17933900654315948
by,0.2455483376979828,0.25394493341445923,0.15235473215579987,0.24764572083950043,0.17600902915000916,0.33534231781959534,0.22020454704761505,0.24398943781852722,0.21424074470996857,0.17966607213020325
utilizing,0.20535579323768616,0.20172668993473053,0.3006230890750885,0.2010696679353714,0.12046932429075241,0.24892491102218628,0.25362280011177063,0.2071332186460495,0.205840602517128,0.14394061267375946
the,0.42745697498321533,0.3845241069793701,0.21669498085975647,0.2985120713710785,0.2068762183189392,0.535392165184021,0.28264206647872925,0.559237003326416,0.36348509788513184,0.22068053483963013
practice,0.2749895751476288,0.18089380860328674,0.17660342156887054,0.3517983853816986,0.11947856843471527,0.289366751909256,0.26606377959251404,0.15889233350753784,0.18512357771396637,0.21386858820915222
of,0.33290785551071167,0.343457967042923,0.25238582491874695,0.2699741721153259,0.14607268571853638,0.41548454761505127,0.2464599609375,0.48690423369407654,0.3410852253437042,0.1826142966747284
counterprogramming,0.3276073932647705,0.18645139038562775,0.30524542927742004,0.18350926041603088,0.2841138541698456,0.3052651882171631,0.23945096135139465,0.2814295291900635,0.28318071365356445,0.26708662509918213
",",0.3087472915649414,0.36073189973831177,0.2817870080471039,0.2785535454750061,0.2097204476594925,0.44245919585227966,0.33497053384780884,0.33157986402511597,0.26986414194107056,0.31091248989105225
with,0.2464839518070221,0.24325589835643768,0.15422572195529938,0.2694357633590698,0.17432008683681488,0.4239959120750427,0.2013828605413437,0.3087116777896881,0.3140493929386139,0.2433311939239502
which,0.5261979103088379,0.33739399909973145,0.24444639682769775,0.3234473168849945,0.1991286277770996,0.5345056653022766,0.3055418133735657,0.5154205560684204,0.33303946256637573,0.25814583897590637
it,0.45803478360176086,0.23156195878982544,0.27103596925735474,0.1977851241827011,0.17324577271938324,0.513711154460907,0.25595879554748535,0.5786119699478149,0.2188904583454132,0.25732165575027466
often,0.3849453330039978,0.16846713423728943,0.20033283531665802,0.33013880252838135,0.1170160248875618,0.4351843297481537,0.18925513327121735,0.286950945854187,0.25883346796035767,0.23748154938220978
