,what,river,is,located,in,the,vicinity,of,the,school,?
the,0.42745697498321533,0.2894456386566162,0.5823672413825989,0.407527357339859,0.6662389636039734,1.0,0.283808171749115,0.733189046382904,1.0,0.22953221201896667,0.22068053483963013
university,0.20256435871124268,0.25563105940818787,0.20346471667289734,0.2719898521900177,0.3201795518398285,0.263973206281662,0.1956297755241394,0.30646374821662903,0.263973206281662,0.48676231503486633,0.11887256056070328
is,0.28837618231773376,0.20670881867408752,1.0,0.35717159509658813,0.5394441485404968,0.5823672413825989,0.1572616547346115,0.4854315221309662,0.5823672413825989,0.19488026201725006,0.22961433231830597
organized,0.19144229590892792,0.10797319561243057,0.11886901408433914,0.24945902824401855,0.3264932334423065,0.28001853823661804,0.08971969783306122,0.2566941976547241,0.28001853823661804,0.12408514320850372,0.10524328798055649
into,0.2180619090795517,0.20569592714309692,0.2619607150554657,0.16424763202667236,0.38021373748779297,0.39493247866630554,0.14636076986789703,0.32255905866622925,0.39493247866630554,0.14218322932720184,0.15662476420402527
eleven,0.11712443083524704,0.048590127378702164,0.12927214801311493,0.18260186910629272,0.3077402710914612,0.35020911693573,0.12175285816192627,0.3171820044517517,0.35020911693573,0.2687798738479614,0.1022186428308487
separate,0.33215096592903137,0.08367564529180527,0.2548423409461975,0.1734892874956131,0.3099668025970459,0.3612915575504303,0.14576900005340576,0.33388569951057434,0.3612915575504303,0.13941040635108948,0.16835719347000122
academic,0.10352335125207901,0.09253786504268646,0.19421102106571198,0.12108387798070908,0.1914365142583847,0.15387672185897827,0.1063612774014473,0.20802809298038483,0.15387672185897827,0.34779801964759827,0.11011603474617004
units—ten,0.23393119871616364,0.1487942785024643,0.253669410943985,0.24597327411174774,0.32887178659439087,0.3401264250278473,0.25972235202789307,0.33212926983833313,0.3401264250278473,0.206121563911438,0.17392483353614807
faculties,0.2055516093969345,0.17139726877212524,0.20208066701889038,0.2751027047634125,0.2792704105377197,0.2710285782814026,0.2531457841396332,0.34854772686958313,0.2710285782814026,0.377490758895874,0.08356188982725143
and,0.31309178471565247,0.19898422062397003,0.3859752118587494,0.24183952808380127,0.4954058527946472,0.5171257257461548,0.218265101313591,0.5116966962814331,0.5171257257461548,0.2752758264541626,0.20544172823429108
the,0.42745697498321533,0.2894456386566162,0.5823672413825989,0.407527357339859,0.6662389636039734,1.0,0.283808171749115,0.733189046382904,1.0,0.22953221201896667,0.22068053483963013
radcliffe,0.1320628672838211,0.1637410670518875,0.18399563431739807,0.08057405054569244,0.2659769654273987,0.22010628879070282,0.14125956594944,0.2230839878320694,0.22010628879070282,0.2628895938396454,0.06297651678323746
institute,0.17608846724033356,0.1993892937898636,0.1914694458246231,0.2692643105983734,0.2517135441303253,0.24399729073047638,0.20108842849731445,0.2977932393550873,0.24399729073047638,0.3705218434333801,0.115291528403759
for,0.3017193675041199,0.12789757549762726,0.43268078565597534,0.1493360996246338,0.4322226941585541,0.4739971458911896,0.18242952227592468,0.4185989499092102,0.4739971458911896,0.18618352711200714,0.264628142118454
advanced,0.1988004893064499,0.13837820291519165,0.14119109511375427,0.1875937581062317,0.2200557142496109,0.2635994255542755,0.21045081317424774,0.2752973437309265,0.2635994255542755,0.21393385529518127,0.1806638389825821
study—with,0.3808191120624542,0.17596088349819183,0.28182893991470337,0.17736974358558655,0.3577687442302704,0.33334484696388245,0.17912083864212036,0.35507678985595703,0.33334484696388245,0.40609338879585266,0.27593785524368286
campuses,0.09493694454431534,0.2760154902935028,0.20346811413764954,0.4318152070045471,0.249978169798851,0.19650089740753174,0.3201238512992859,0.2573612928390503,0.19650089740753174,0.40189307928085327,0.08666198700666428
throughout,0.2130906730890274,0.1393365114927292,0.2639545500278473,0.15765729546546936,0.46596065163612366,0.4158564507961273,0.30721020698547363,0.35374847054481506,0.4158564507961273,0.16491690278053284,0.12665234506130219
the,0.42745697498321533,0.2894456386566162,0.5823672413825989,0.407527357339859,0.6662389636039734,1.0,0.283808171749115,0.733189046382904,1.0,0.22953221201896667,0.22068053483963013
boston,0.1650117039680481,0.12782542407512665,0.09903766214847565,0.09861075133085251,0.24356770515441895,0.2297145575284958,0.20019759237766266,0.1890333592891693,0.2297145575284958,0.1761183887720108,0.14705288410186768
metropolitan,0.15624397993087769,0.21571475267410278,0.20138509571552277,0.28594720363616943,0.27762067317962646,0.24378018081188202,0.2702922821044922,0.2863157391548157,0.24378018081188202,0.19572953879833221,0.1861504763364792
area,0.21965408325195312,0.3487212359905243,0.29283958673477173,0.42610666155815125,0.33632898330688477,0.37834644317626953,0.3130805194377899,0.3409860134124756,0.37834644317626953,0.17919643223285675,0.12640461325645447
:,-0.12022944539785385,-0.08112004399299622,-0.07222653180360794,-0.1445346474647522,0.020521078258752823,-0.03403344005346298,-0.06950844079256058,-0.08807745575904846,-0.03403344005346298,-0.028859393671154976,-0.07156077772378922
its,0.30393704771995544,0.2117682546377182,0.4447362422943115,0.3198530077934265,0.3793783485889435,0.559237003326416,0.2409587800502777,0.48690423369407654,0.559237003326416,0.17151296138763428,0.15103481709957123
209-acre,0.12899869680404663,0.26759856939315796,0.16309012472629547,0.22372600436210632,0.20202937722206116,0.2095428705215454,0.16276735067367554,0.24059639871120453,0.2095428705215454,0.2609002888202667,0.20745866000652313
(,0.2411840260028839,0.16287720203399658,0.35393038392066956,0.21025894582271576,0.3087427020072937,0.33289089798927307,0.14225485920906067,0.35032153129577637,0.33289089798927307,0.16600246727466583,0.40561532974243164
85,0.07409690320491791,0.007028158288449049,-0.08075354993343353,-0.07415420562028885,-0.017425857484340668,0.0036199199967086315,0.08189502358436584,0.03837970644235611,0.0036199199967086315,-0.038590218871831894,0.09080518037080765
ha,0.15493328869342804,0.12273111194372177,0.15489371120929718,0.18439769744873047,0.11329968273639679,0.1501408815383911,0.12205855548381805,0.13442294299602509,0.1501408815383911,0.09951423108577728,0.24374480545520782
),0.26259949803352356,0.16430801153182983,0.37732169032096863,0.19755883514881134,0.3326910734176636,0.3456730246543884,0.15884661674499512,0.3680361211299896,0.3456730246543884,0.18641386926174164,0.42300865054130554
main,0.2344268560409546,0.23717069625854492,0.3009335994720459,0.2649710774421692,0.28862449526786804,0.38631999492645264,0.1389383226633072,0.3177044689655304,0.38631999492645264,0.1608637273311615,0.1665669083595276
