,where,do,the,branches,waal,and,nederrijn-lek,discharge,to,?
at,0.4402937591075897,0.1511090099811554,0.457212895154953,0.1470596343278885,0.09101667255163193,0.3571503460407257,0.22323845326900482,0.15364322066307068,0.36524343490600586,0.21978627145290375
present,0.20419515669345856,0.13416007161140442,0.2829846143722534,0.04642649367451668,0.08822132647037506,0.2790124714374542,0.11884614080190659,0.16630318760871887,0.2453051209449768,0.21759982407093048
",",0.3149496018886566,0.3283645510673523,0.4933079481124878,0.24196526408195496,0.2183123230934143,0.6633074283599854,0.35593152046203613,0.1608646810054779,0.44245919585227966,0.31091248989105225
the,0.5003893971443176,0.30239659547805786,1.0,0.3295007646083832,0.14903073012828827,0.5171257257461548,0.22182253003120422,0.2714732885360718,0.535392165184021,0.22068053483963013
branches,0.22343923151493073,0.23859447240829468,0.3295007646083832,1.0000001192092896,0.16893550753593445,0.2934940755367279,0.17850995063781738,0.19484788179397583,0.18054959177970886,0.12858285009860992
waal,0.20421674847602844,0.14597287774085999,0.14903073012828827,0.16893550753593445,0.9999999403953552,0.2400875836610794,0.5167920589447021,0.23512408137321472,0.16721856594085693,0.11904393881559372
and,0.43859338760375977,0.276123583316803,0.5171257257461548,0.2934940755367279,0.2400875836610794,1.0,0.2754252851009369,0.23449279367923737,0.48971283435821533,0.20544172823429108
nederrijn-lek,0.14654624462127686,0.11911273002624512,0.22182253003120422,0.17850995063781738,0.5167920589447021,0.2754252851009369,0.9999999403953552,0.178369402885437,0.1774376928806305,0.27634695172309875
discharge,0.2039569914340973,0.13635222613811493,0.2714732885360718,0.19484788179397583,0.23512408137321472,0.23449279367923737,0.178369402885437,1.0,0.22832615673542023,0.13592740893363953
to,0.47735077142715454,0.38876664638519287,0.535392165184021,0.18054959177970886,0.16721856594085693,0.48971283435821533,0.1774376928806305,0.22832615673542023,1.0,0.29463258385658264
the,0.5003893971443176,0.30239659547805786,1.0,0.3295007646083832,0.14903073012828827,0.5171257257461548,0.22182253003120422,0.2714732885360718,0.535392165184021,0.22068053483963013
north,0.23586879670619965,0.1764671355485916,0.36298373341560364,0.18927013874053955,0.2935261130332947,0.2776443064212799,0.20146745443344116,0.1727205067873001,0.2743184268474579,0.11829731613397598
sea,0.18630823493003845,0.17126357555389404,0.30363768339157104,0.1466914266347885,0.22993098199367523,0.30105236172676086,0.13400579988956451,0.29243379831314087,0.2749888300895691,0.15551945567131042
",",0.3149496018886566,0.3283645510673523,0.4933079481124878,0.24196526408195496,0.2183123230934143,0.6633074283599854,0.35593152046203613,0.1608646810054779,0.44245919585227966,0.31091248989105225
through,0.331196665763855,0.24726749956607819,0.44071322679519653,0.24448157846927643,0.12586866319179535,0.3666759729385376,0.12725327908992767,0.3148696720600128,0.4062686562538147,0.16913433372974396
the,0.5003893971443176,0.30239659547805786,1.0,0.3295007646083832,0.14903073012828827,0.5171257257461548,0.22182253003120422,0.2714732885360718,0.535392165184021,0.22068053483963013
former,0.2055155634880066,0.11748439818620682,0.2251449078321457,0.051534589380025864,0.10647327452898026,0.2516189515590668,0.3515588939189911,0.112052783370018,0.12857267260551453,0.10570605844259262
meuse,0.1610404998064041,0.14224891364574432,0.28249096870422363,0.237762451171875,0.45813530683517456,0.19935591518878937,0.4142184555530548,0.28723958134651184,0.17968733608722687,0.21687322854995728
estuary,0.2471051663160324,0.1329498440027237,0.32509705424308777,0.2516632378101349,0.19820083677768707,0.20765699446201324,0.15978661179542542,0.3101331293582916,0.18560773134231567,0.17284251749515533
",",0.3149496018886566,0.3283645510673523,0.4933079481124878,0.24196526408195496,0.2183123230934143,0.6633074283599854,0.35593152046203613,0.1608646810054779,0.44245919585227966,0.31091248989105225
near,0.4188554286956787,0.07364393025636673,0.2879819869995117,0.09907662868499756,0.23960429430007935,0.25046437978744507,0.20585913956165314,0.16253331303596497,0.2456841915845871,0.10734958201646805
rotterdam,0.20951880514621735,0.12753643095493317,0.22153283655643463,0.07544947415590286,0.43896979093551636,0.2400597631931305,0.44155246019363403,0.1847425252199173,0.21150468289852142,0.10616995394229889
.,0.41390106081962585,0.3613996207714081,0.5934505462646484,0.20754438638687134,0.1970512419939041,0.588965117931366,0.3305589556694031,0.18806886672973633,0.4645031690597534,0.4130953550338745
