,when,did,the,german,army,reoccupy,rhineland,?
the,0.5091903209686279,0.34736719727516174,1.0,0.256483793258667,0.31011611223220825,0.36673396825790405,0.3147023320198059,0.22068053483963013
allies,0.22440385818481445,0.26205670833587646,0.2923043370246887,0.23242034018039703,0.48823896050453186,0.5118729472160339,0.31868696212768555,0.16798950731754303
left,0.3236202895641327,0.27335280179977417,0.33113980293273926,0.13831593096256256,0.1803068071603775,0.19764693081378937,0.16650506854057312,0.13251960277557373
the,0.5091903209686279,0.34736719727516174,1.0,0.256483793258667,0.31011611223220825,0.36673396825790405,0.3147023320198059,0.22068053483963013
rhineland,0.16607217490673065,0.1604282706975937,0.3147023320198059,0.5541817545890808,0.23644964396953583,0.2501528561115265,0.9999999403953552,0.15271615982055664
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2478695809841156,0.230897456407547,0.26874494552612305,0.20026758313179016,0.31091248989105225
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.21098364889621735,0.25258398056030273,0.34626731276512146,0.29477596282958984,0.20430970191955566
1930,0.09368439018726349,-0.04309258982539177,0.13953739404678345,-0.09717626124620438,-0.07763683050870895,0.0351722314953804,0.0326928049325943,-0.18270333111286163
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.25850871205329895,0.25581875443458557,0.2782520353794098,0.2362796813249588,0.20544172823429108
the,0.5091903209686279,0.34736719727516174,1.0,0.256483793258667,0.31011611223220825,0.36673396825790405,0.3147023320198059,0.22068053483963013
german,0.16090898215770721,0.2048940509557724,0.256483793258667,1.0000001192092896,0.22218453884124756,0.16471132636070251,0.5541817545890808,0.13978645205497742
army,0.2435331642627716,0.21148359775543213,0.31011611223220825,0.22218453884124756,1.0000001192092896,0.3565981686115265,0.23644964396953583,0.180583193898201
re-occupied,0.25846606492996216,0.2428743541240692,0.34777766466140747,0.1922311931848526,0.33987370133399963,0.6310577392578125,0.3075375556945801,0.14110957086086273
it,0.4775012135505676,0.2993364930152893,0.6251175999641418,0.17532017827033997,0.21058140695095062,0.30952948331832886,0.21740154922008514,0.25732165575027466
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.21098364889621735,0.25258398056030273,0.34626731276512146,0.29477596282958984,0.20430970191955566
1936,0.001050587510690093,-0.058230482041835785,0.05235753208398819,-0.18777821958065033,-0.17837801575660706,-0.038352347910404205,-0.10452136397361755,-0.17954853177070618
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2478695809841156,0.230897456407547,0.26874494552612305,0.20026758313179016,0.31091248989105225
which,0.572554349899292,0.2750149369239807,0.6521818041801453,0.1845671534538269,0.14114242792129517,0.35290223360061646,0.213282972574234,0.25814583897590637
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.26016926765441895,0.30177709460258484,0.23046065866947174,0.2024223506450653,0.18412111699581146
enormously,0.3582649827003479,0.2718373239040375,0.35570406913757324,0.12675264477729797,0.18813759088516235,0.2773423194885254,0.05913251265883446,0.15062375366687775
popular,0.18394137918949127,0.20788706839084625,0.2724021077156067,0.17823055386543274,0.12106002867221832,0.14843110740184784,0.09949434548616409,0.13108457624912262
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.21098364889621735,0.25258398056030273,0.34626731276512146,0.29477596282958984,0.20430970191955566
germany,0.20363320410251617,0.2132834792137146,0.3181285262107849,0.69117671251297,0.2187824547290802,0.23335030674934387,0.6812238693237305,0.1388660967350006
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2407633364200592,0.28860729932785034,0.2881302237510681,0.22604186832904816,0.4130953550338745
