,what,is,the,name,associated,with,the,eight,areas,that,make,up,a,part,of,southern,california,?
southern,0.18679563701152802,0.2419366091489792,0.3282862603664398,0.1812441051006317,0.12767566740512848,0.18574869632720947,0.3282862603664398,0.13832533359527588,0.3084127902984619,0.22864879667758942,0.12805917859077454,0.15570780634880066,0.25843560695648193,0.37757623195648193,0.31933003664016724,1.0,0.2983402609825134,0.11225555837154388
california,0.1811584085226059,0.20727038383483887,0.2750805914402008,0.11570362001657486,0.12464282661676407,0.1391957849264145,0.2750805914402008,0.21340115368366241,0.1730828881263733,0.18610765039920807,0.1995253711938858,0.18343518674373627,0.2426064908504486,0.14441202580928802,0.24929828941822052,0.2983402609825134,1.0,0.1409905105829239
consists,0.11367427557706833,0.43405216932296753,0.3362659811973572,0.09724965691566467,0.24116432666778564,0.2875090539455414,0.3362659811973572,0.3242398500442505,0.23495090007781982,0.21588067710399628,0.26168015599250793,0.26749280095100403,0.3022095263004303,0.41788458824157715,0.41510096192359924,0.1401759684085846,0.11834762990474701,-0.004641483072191477
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,0.3077163100242615,0.41827285289764404,0.733189046382904,0.3220755457878113,0.2803763747215271,0.41498205065727234,0.2912110388278961,0.32945773005485535,0.5052502155303955,0.452393114566803,1.0,0.31933003664016724,0.24929828941822052,0.1826142966747284
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.27018114924430847,0.2543032765388489,0.3855307400226593,0.5514441132545471,0.5235236287117004,0.2672261595726013,0.5133185982704163,0.3527044355869293,0.30488982796669006,0.4910551905632019,0.38682618737220764,0.4999135136604309,0.18585622310638428,0.19388975203037262,0.2673267424106598
combined,0.21267308294773102,0.22170862555503845,0.3713363707065582,0.1526193916797638,0.3076953887939453,0.340704083442688,0.3713363707065582,0.20109829306602478,0.2145014852285385,0.26636165380477905,0.2976711094379425,0.2886774241924286,0.2649520933628082,0.33098748326301575,0.399336040019989,0.2217237502336502,0.10347984731197357,0.17985320091247559
statistical,0.2944276034832001,0.18036481738090515,0.26417747139930725,0.09313083440065384,0.19945435225963593,0.1601380556821823,0.26417747139930725,0.08390454202890396,0.2418757975101471,0.2311803698539734,0.1687960922718048,0.1338474005460739,0.19563883543014526,0.2572488486766815,0.3284662663936615,0.157860666513443,0.14180691540241241,0.1697750836610794
area,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.205547034740448,0.2113826870918274,0.2303420901298523,0.37834644317626953,0.14071786403656006,0.6056747436523438,0.2566552460193634,0.13937629759311676,0.18057122826576233,0.2782127559185028,0.42262494564056396,0.3409860134124756,0.3466261029243469,0.18134087324142456,0.12640461325645447
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.27184680104255676,0.4120737314224243,0.4933079481124878,0.28017938137054443,0.2789289653301239,0.4137537479400635,0.324553906917572,0.34193792939186096,0.427140474319458,0.3376222252845764,0.4946078956127167,0.2795628309249878,0.2704589068889618,0.31091248989105225
eight,0.15383057296276093,0.19970737397670746,0.34254369139671326,0.12842021882534027,0.12185361981391907,0.21947719156742096,0.34254369139671326,1.0000001192092896,0.1878318339586258,0.26218873262405396,0.17714935541152954,0.2605293393135071,0.3028070032596588,0.19593816995620728,0.3220755457878113,0.13832533359527588,0.21340115368366241,0.11634626984596252
metropolitan,0.15624397993087769,0.20138509571552277,0.24378018081188202,0.14562265574932098,0.14108537137508392,0.1766650676727295,0.24378018081188202,0.12857531011104584,0.2757422626018524,0.16123276948928833,0.11489471793174744,0.16618181765079498,0.1711602658033371,0.3520502746105194,0.2863157391548157,0.280838280916214,0.14512869715690613,0.1861504763364792
statistical,0.2944276034832001,0.18036481738090515,0.26417747139930725,0.09313083440065384,0.19945435225963593,0.1601380556821823,0.26417747139930725,0.08390454202890396,0.2418757975101471,0.2311803698539734,0.1687960922718048,0.1338474005460739,0.19563883543014526,0.2572488486766815,0.3284662663936615,0.157860666513443,0.14180691540241241,0.1697750836610794
