,what,rule,did,some,native,live,under,?
these,0.4164220690727234,0.21513938903808594,0.38755595684051514,0.7490653991699219,0.22094781696796417,0.23014456033706665,0.24416714906692505,0.2571668326854706
tribes,0.1860227882862091,0.2873668074607849,0.17429257929325104,0.19706349074840546,0.4487854838371277,0.1929004192352295,0.199692040681839,0.08824794739484787
were,0.22298263013362885,0.2138504981994629,0.4162326455116272,0.4592604339122772,0.1908709555864334,0.2256481945514679,0.28293636441230774,0.17890112102031708
formally,0.19840256869792938,0.2762947976589203,0.18397410213947296,0.2571140229701996,0.15367884933948517,0.06346762180328369,0.2061760127544403,0.1371411830186844
under,0.20154598355293274,0.3618678152561188,0.20815621316432953,0.18219946324825287,0.1578073799610138,0.10497936606407166,0.9999999403953552,0.18233340978622437
iroquois,0.20081253349781036,0.1992219239473343,0.19495415687561035,0.162679523229599,0.40394002199172974,0.18426039814949036,0.16171160340309143,0.0784907415509224
rule,0.30539435148239136,1.0,0.2618204951286316,0.1877649873495102,0.12440066784620285,0.15978527069091797,0.3618678152561188,0.1955260932445526
",",0.3087472915649414,0.24230371415615082,0.3015086054801941,0.42400437593460083,0.30732813477516174,0.29754534363746643,0.24875585734844208,0.31091248989105225
and,0.31309178471565247,0.22522340714931488,0.34479495882987976,0.5337774157524109,0.26731550693511963,0.29040172696113586,0.3005301356315613,0.20544172823429108
were,0.22298263013362885,0.2138504981994629,0.4162326455116272,0.4592604339122772,0.1908709555864334,0.2256481945514679,0.28293636441230774,0.17890112102031708
limited,0.23110276460647583,0.2121746987104416,0.2072332352399826,0.3265417814254761,0.14195752143859863,0.11459679901599884,0.20365652441978455,0.09444807469844818
by,0.2455483376979828,0.19538317620754242,0.18574509024620056,0.306446373462677,0.18110418319702148,0.08095370978116989,0.3161602020263672,0.17966607213020325
them,0.4994642734527588,0.26464855670928955,0.44189682602882385,0.5948359370231628,0.27665427327156067,0.2562933564186096,0.26125749945640564,0.35435691475868225
in,0.30808621644973755,0.2128441035747528,0.2593238651752472,0.4010399878025055,0.24378694593906403,0.3068392276763916,0.2535393238067627,0.20430970191955566
authority,0.23046736419200897,0.22103486955165863,0.23189641535282135,0.2211521416902542,0.18990352749824524,0.0954868271946907,0.2225019931793213,0.18404170870780945
to,0.455847829580307,0.2587790787220001,0.4452643394470215,0.4636894166469574,0.2832638621330261,0.298321396112442,0.27177539467811584,0.29463258385658264
make,0.3792211413383484,0.22539886832237244,0.3602050840854645,0.4977634847164154,0.20103178918361664,0.2678859233856201,0.17868906259536743,0.28314751386642456
agreements,0.25903576612472534,0.28970250487327576,0.3034338355064392,0.2736111283302307,0.17117305099964142,0.16425198316574097,0.22827723622322083,0.14476320147514343
.,0.3567904531955719,0.2436654418706894,0.35288307070732117,0.40663889050483704,0.28723880648612976,0.32964062690734863,0.2901604175567627,0.4130953550338745
