,what,museum,preserves,the,memory,of,the,crime,?
a,0.3320399522781372,0.14725451171398163,0.15651756525039673,0.5829201340675354,0.20081622898578644,0.5052502155303955,0.5829201340675354,0.22928372025489807,0.23916715383529663
fine,0.34325724840164185,0.296663761138916,0.2903865873813629,0.21014350652694702,0.0720083937048912,0.2549513578414917,0.21014350652694702,0.17987903952598572,0.3000907599925995
tribute,0.1525038778781891,0.19037692248821259,0.19207388162612915,0.22281517088413239,0.13542696833610535,0.19614990055561066,0.22281517088413239,0.16514289379119873,0.1341906636953354
to,0.455847829580307,0.1640389859676361,0.24310317635536194,0.535392165184021,0.19370511174201965,0.41548454761505127,0.535392165184021,0.20496699213981628,0.29463258385658264
the,0.42745697498321533,0.24861779808998108,0.2656673491001129,1.0,0.1785092055797577,0.733189046382904,1.0,0.2052120864391327,0.22068053483963013
fall,0.26931828260421753,0.1365918666124344,0.06731298565864563,0.3639753758907318,0.08941838890314102,0.2854328155517578,0.3639753758907318,0.2007981687784195,0.1656162142753601
of,0.33290785551071167,0.23314370214939117,0.23311538994312286,0.733189046382904,0.17919406294822693,1.0,0.733189046382904,0.21116793155670166,0.1826142966747284
warsaw,0.10373849421739578,0.24001078307628632,0.11144519597291946,0.23137180507183075,0.13041932880878448,0.19253842532634735,0.23137180507183075,0.09509386122226715,0.09769917279481888
and,0.31309178471565247,0.21554097533226013,0.22004996240139008,0.5171257257461548,0.20261503756046295,0.5116966962814331,0.5171257257461548,0.24905915558338165,0.20544172823429108
history,0.28630873560905457,0.36523616313934326,0.220866858959198,0.33215048909187317,0.1605653613805771,0.31014925241470337,0.33215048909187317,0.15851975977420807,0.2501974403858185
of,0.33290785551071167,0.23314370214939117,0.23311538994312286,0.733189046382904,0.17919406294822693,1.0,0.733189046382904,0.21116793155670166,0.1826142966747284
poland,0.16095873713493347,0.1869635283946991,0.11799246817827225,0.24871079623699188,0.12543611228466034,0.26632049679756165,0.24871079623699188,0.14443589746952057,0.14259830117225647
can,0.34502777457237244,0.09301101416349411,0.17877207696437836,0.312528520822525,0.20877830684185028,0.2603091299533844,0.312528520822525,0.18435531854629517,0.3226337134838104
be,0.3929833769798279,0.1328076720237732,0.22831323742866516,0.4248143136501312,0.18615126609802246,0.33904364705085754,0.4248143136501312,0.1888611763715744,0.3324260413646698
found,0.1796332150697708,0.1381998509168625,0.24392788112163544,0.3452354073524475,0.154402494430542,0.2982911467552185,0.3452354073524475,0.19615523517131805,0.16790300607681274
in,0.30808621644973755,0.2407650351524353,0.2162599116563797,0.6662389636039734,0.2039261907339096,0.5696388483047485,0.6662389636039734,0.22510747611522675,0.20430970191955566
the,0.42745697498321533,0.24861779808998108,0.2656673491001129,1.0,0.1785092055797577,0.733189046382904,1.0,0.2052120864391327,0.22068053483963013
warsaw,0.10373849421739578,0.24001078307628632,0.11144519597291946,0.23137180507183075,0.13041932880878448,0.19253842532634735,0.23137180507183075,0.09509386122226715,0.09769917279481888
uprising,0.1901596337556839,0.18826793134212494,0.11458996683359146,0.2853594124317169,0.0629248395562172,0.2703337073326111,0.2853594124317169,0.2359134554862976,0.13645027577877045
museum,0.1771627515554428,1.0000001192092896,0.3179165720939636,0.24861779808998108,0.19941578805446625,0.23314370214939117,0.24861779808998108,0.1277582198381424,0.14128351211547852
and,0.31309178471565247,0.21554097533226013,0.22004996240139008,0.5171257257461548,0.20261503756046295,0.5116966962814331,0.5171257257461548,0.24905915558338165,0.20544172823429108
in,0.30808621644973755,0.2407650351524353,0.2162599116563797,0.6662389636039734,0.2039261907339096,0.5696388483047485,0.6662389636039734,0.22510747611522675,0.20430970191955566
the,0.42745697498321533,0.24861779808998108,0.2656673491001129,1.0,0.1785092055797577,0.733189046382904,1.0,0.2052120864391327,0.22068053483963013
katyń,0.22455109655857086,0.17215991020202637,0.032701488584280014,0.2231675386428833,0.05518914386630058,0.11714579910039902,0.2231675386428833,0.19275595247745514,0.15530657768249512
museum,0.1771627515554428,1.0000001192092896,0.3179165720939636,0.24861779808998108,0.19941578805446625,0.23314370214939117,0.24861779808998108,0.1277582198381424,0.14128351211547852
which,0.5261979103088379,0.22731433808803558,0.2898326814174652,0.6521818041801453,0.29182854294776917,0.5011631846427917,0.6521818041801453,0.18157020211219788,0.25814583897590637
preserves,0.20582011342048645,0.3179165720939636,0.9999999403953552,0.2656673491001129,0.14596429467201233,0.23311538994312286,0.2656673491001129,0.05341999605298042,0.09447159618139267
the,0.42745697498321533,0.24861779808998108,0.2656673491001129,1.0,0.1785092055797577,0.733189046382904,1.0,0.2052120864391327,0.22068053483963013
memory,0.20690667629241943,0.19941578805446625,0.14596429467201233,0.1785092055797577,0.9999999403953552,0.17919406294822693,0.1785092055797577,0.0945122092962265,0.1397676020860672
of,0.33290785551071167,0.23314370214939117,0.23311538994312286,0.733189046382904,0.17919406294822693,1.0,0.733189046382904,0.21116793155670166,0.1826142966747284
the,0.42745697498321533,0.24861779808998108,0.2656673491001129,1.0,0.1785092055797577,0.733189046382904,1.0,0.2052120864391327,0.22068053483963013
crime,0.24425745010375977,0.1277582198381424,0.05341999605298042,0.2052120864391327,0.0945122092962265,0.21116793155670166,0.2052120864391327,0.9999999403953552,0.2067868858575821
.,0.3567904531955719,0.19497929513454437,0.15373167395591736,0.5934505462646484,0.13056598603725433,0.5352458953857422,0.5934505462646484,0.22651058435440063,0.4130953550338745
