,who,took,up,the,path,of,violence,?
the,0.3733934462070465,0.31657639145851135,0.38423117995262146,1.0,0.21527591347694397,0.733189046382904,0.25465771555900574,0.22068053483963013
path,0.1537228524684906,0.08823930472135544,0.1820714920759201,0.21527591347694397,0.9999999403953552,0.19203445315361023,0.17157717049121857,0.12429215013980865
of,0.2827862501144409,0.2766268849372864,0.32945773005485535,0.733189046382904,0.19203445315361023,1.0,0.21331627666950226,0.1826142966747284
violence,0.2254926860332489,0.14325939118862152,0.14452603459358215,0.25465771555900574,0.17157717049121857,0.21331627666950226,1.0000001192092896,0.20634515583515167
and,0.41279885172843933,0.25750628113746643,0.4032393991947174,0.5171257257461548,0.21081410348415375,0.5116966962814331,0.2652360200881958,0.20544172823429108
military,0.28924500942230225,0.23175932466983795,0.10359252989292145,0.2290858030319214,0.12649402022361755,0.27347031235694885,0.21859362721443176,0.1890317052602768
struggle,0.2996172606945038,0.2558179199695587,0.13444454967975616,0.22927843034267426,0.1993822604417801,0.25674882531166077,0.36602237820625305,0.1330908089876175
was,0.3318818509578705,0.48213186860084534,0.24070115387439728,0.48711544275283813,0.13379235565662384,0.4069072902202606,0.1779039204120636,0.18412111699581146
then,0.29952746629714966,0.25839924812316895,0.3332931697368622,0.4297412931919098,0.21786527335643768,0.2937326431274414,0.1256316751241684,0.2884598970413208
taken,0.23395919799804688,0.5235834121704102,0.29678353667259216,0.3309854567050934,0.1341242790222168,0.2889742851257324,0.15766641497612,0.17662954330444336
up,0.26056501269340515,0.22030022740364075,1.0000001192092896,0.38423117995262146,0.1820714920759201,0.32945773005485535,0.14452603459358215,0.1819818764925003
by,0.39727845788002014,0.21169665455818176,0.2738759219646454,0.4408751428127289,0.14174556732177734,0.3646814823150635,0.21456557512283325,0.17966607213020325
the,0.3733934462070465,0.31657639145851135,0.38423117995262146,1.0,0.21527591347694397,0.733189046382904,0.25465771555900574,0.22068053483963013
egyptian,0.21174673736095428,0.18068169057369232,0.10107890516519547,0.22032245993614197,0.1396031528711319,0.20001496374607086,0.1503576636314392,0.14169205725193024
islamic,0.20530520379543304,0.1408609300851822,0.09583122283220291,0.27231070399284363,0.2013004571199417,0.25656506419181824,0.3441118597984314,0.1692383587360382
jihad,0.2689245939254761,0.2057688981294632,0.11370235681533813,0.22348956763744354,0.24359075725078583,0.193709596991539,0.43565210700035095,0.21031080186367035
organization,0.2852892577648163,0.15420842170715332,0.10248596221208572,0.311172217130661,0.17568737268447876,0.25438958406448364,0.29073572158813477,0.2069297879934311
responsible,0.2545164227485657,0.25803786516189575,0.22095833718776703,0.3305104374885559,0.1548604965209961,0.37070101499557495,0.21582598984241486,0.11367333680391312
for,0.37110671401023865,0.27585867047309875,0.342966228723526,0.4739971458911896,0.19029514491558075,0.4185989499092102,0.23735401034355164,0.264628142118454
the,0.3733934462070465,0.31657639145851135,0.38423117995262146,1.0,0.21527591347694397,0.733189046382904,0.25465771555900574,0.22068053483963013
assassination,0.2732718586921692,0.25676268339157104,0.047489095479249954,0.2033206969499588,0.19623076915740967,0.23465228080749512,0.37921926379203796,0.21308238804340363
of,0.2827862501144409,0.2766268849372864,0.32945773005485535,0.733189046382904,0.19203445315361023,1.0,0.21331627666950226,0.1826142966747284
anwar,0.3026922345161438,0.14573459327220917,0.15440675616264343,0.2525264620780945,0.13979950547218323,0.18239761888980865,0.31082725524902344,0.2032770961523056
sadat,0.2775149941444397,0.21721138060092926,0.09725658595561981,0.274522602558136,0.15933886170387268,0.24748633801937103,0.3324030935764313,0.2286619395017624
in,0.2792111933231354,0.2818296551704407,0.3120773434638977,0.6662389636039734,0.18221399188041687,0.5696388483047485,0.2653872072696686,0.20430970191955566
1981,-0.038030195981264114,0.015284044668078423,-0.08271437138319016,-0.010583994910120964,-0.07619941234588623,0.01745067909359932,-0.08248740434646606,0.07968433201313019
.,0.3541337847709656,0.2481018751859665,0.351434588432312,0.5934505462646484,0.19664597511291504,0.5352458953857422,0.22271575033664703,0.4130953550338745
