,when,did,the,venetians,take,total,control,of,cyprus,?
it,0.4775012135505676,0.2993364930152893,0.6251175999641418,0.16969206929206848,0.27032700181007385,0.20137327909469604,0.2016621232032776,0.38761502504348755,0.1352047324180603,0.25732165575027466
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.19684569537639618,0.15919329226016998,0.14069223403930664,0.19347785413265228,0.4069072902202606,0.16180774569511414,0.18412111699581146
only,0.5497387051582336,0.4039593040943146,0.5497692227363586,0.20446477830410004,0.30899372696876526,0.3746699094772339,0.23530980944633484,0.49632513523101807,0.1643121987581253,0.2767370045185089
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.14455097913742065,0.21975718438625336,0.27667245268821716,0.24831421673297882,0.5696388483047485,0.1788414567708969,0.20430970191955566
1489,-0.23459336161613464,-0.2639896273612976,-0.22487486898899078,-0.017599863931536674,-0.2061227560043335,-0.16922539472579956,-0.13036823272705078,-0.16038274765014648,0.041774895042181015,-0.2722686529159546
that,0.5860282182693481,0.47518548369407654,0.5473989248275757,0.22314584255218506,0.3651382029056549,0.25605857372283936,0.2951871454715729,0.41498205065727234,0.1676003783941269,0.32716336846351624
the,0.5091903209686279,0.34736719727516174,1.0,0.2344789206981659,0.31620436906814575,0.27068960666656494,0.32841500639915466,0.733189046382904,0.19548389315605164,0.22068053483963013
venetians,0.1973838210105896,0.18803071975708008,0.2344789206981659,1.0,0.14019811153411865,0.13438232243061066,0.20333334803581238,0.2003374546766281,0.3216995894908905,0.10642948001623154
acquired,0.17706167697906494,0.13529880344867706,0.22202405333518982,0.14269807934761047,0.19979384541511536,0.042453739792108536,0.2523302435874939,0.20385384559631348,0.1618872433900833,0.09366346150636673
full,0.2801515758037567,0.21422791481018066,0.2988807260990143,0.08996321260929108,0.29229071736335754,0.16963960230350494,0.16961345076560974,0.3238043189048767,0.11205855011940002,0.168479785323143
control,0.3260348439216614,0.22942528128623962,0.32841500639915466,0.20333334803581238,0.32050415873527527,0.12531913816928864,1.0,0.2817542552947998,0.2025994509458542,0.1620711386203766
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2003374546766281,0.29282352328300476,0.29045331478118896,0.2817542552947998,1.0,0.24310660362243652,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.2344789206981659,0.31620436906814575,0.27068960666656494,0.32841500639915466,0.733189046382904,0.19548389315605164,0.22068053483963013
island,0.15868309140205383,0.11249405890703201,0.2837921977043152,0.2473050206899643,0.19113655388355255,0.1679285168647766,0.15491192042827606,0.24887794256210327,0.27993038296699524,0.0887429490685463
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.18253153562545776,0.2881867289543152,0.25815486907958984,0.20811550319194794,0.4946078956127167,0.24421082437038422,0.31091248989105225
which,0.572554349899292,0.2750149369239807,0.6521818041801453,0.19184237718582153,0.28362178802490234,0.32373151183128357,0.31846651434898376,0.5011631846427917,0.20334872603416443,0.25814583897590637
remained,0.28067004680633545,0.371289998292923,0.3492392301559448,0.24944882094860077,0.18134677410125732,0.13497291505336761,0.25766387581825256,0.35287612676620483,0.15562793612480164,0.08263323456048965
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.1349664330482483,0.2789212465286255,0.20922091603279114,0.21056023240089417,0.5052502155303955,0.1757529228925705,0.23916715383529663
christian,0.13600395619869232,0.20078235864639282,0.19930796325206757,0.18963861465454102,0.17469607293605804,0.08342935889959335,0.090639129281044,0.23494116961956024,0.20215758681297302,0.1508396863937378
stronghold,0.17719468474388123,0.15412329137325287,0.3585503101348877,0.34715747833251953,0.21388956904411316,0.12294861674308777,0.32404133677482605,0.3015991449356079,0.2301042377948761,0.1026061475276947
until,0.494509756565094,0.33905428647994995,0.37191009521484375,0.21749311685562134,0.14862164855003357,0.183259055018425,0.2505362331867218,0.2787701487541199,0.1636841595172882,0.20304496586322784
the,0.5091903209686279,0.34736719727516174,1.0,0.2344789206981659,0.31620436906814575,0.27068960666656494,0.32841500639915466,0.733189046382904,0.19548389315605164,0.22068053483963013
fall,0.2653101086616516,0.22550886869430542,0.3639753758907318,0.17234835028648376,0.30915379524230957,0.10590224713087082,0.17141613364219666,0.2854328155517578,0.08670088648796082,0.1656162142753601
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2003374546766281,0.29282352328300476,0.29045331478118896,0.2817542552947998,1.0,0.24310660362243652,0.1826142966747284
famagusta,0.15067355334758759,0.13767419755458832,0.2006228268146515,0.2362014353275299,0.11094251275062561,0.1340608298778534,0.0758369043469429,0.19820339977741241,0.35312142968177795,0.13249565660953522
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.14455097913742065,0.21975718438625336,0.27667245268821716,0.24831421673297882,0.5696388483047485,0.1788414567708969,0.20430970191955566
1571,0.0675395056605339,-0.04797619208693504,-0.009147812612354755,0.05350257083773613,0.05542964115738869,-0.09046859294176102,0.033679813146591187,0.011821487918496132,0.032520975917577744,-0.023678863421082497
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.15113598108291626,0.3045158088207245,0.2295650690793991,0.24319837987422943,0.5352458953857422,0.20954088866710663,0.4130953550338745
