,new,techniques,of,building,construction,are,being,researched,",",made,possible,by,advances,in,what,?
new,0.9999999403953552,0.1290021687746048,0.343457967042923,0.2543124556541443,0.2525217533111572,0.1899496167898178,0.2248239666223526,0.15451772511005402,0.36073189973831177,0.20649032294750214,0.22988058626651764,0.25394493341445923,0.15080979466438293,0.3758552670478821,0.2130378633737564,0.14782847464084625
techniques,0.1290021687746048,1.0000001192092896,0.2114233523607254,0.21542558073997498,0.26264888048171997,0.23532822728157043,0.15763762593269348,0.30138346552848816,0.1846524029970169,0.17695148289203644,0.3584718406200409,0.2220638394355774,0.41236478090286255,0.22916999459266663,0.19165433943271637,0.1533757448196411
of,0.343457967042923,0.2114233523607254,1.0,0.26200541853904724,0.2815735340118408,0.39081433415412903,0.34885138273239136,0.24850153923034668,0.4946078956127167,0.33167365193367004,0.3314395844936371,0.3646814823150635,0.27895745635032654,0.5696388483047485,0.33290785551071167,0.1826142966747284
building,0.2543124556541443,0.21542558073997498,0.26200541853904724,0.9999998807907104,0.5609999895095825,0.1904018670320511,0.29336702823638916,0.230569526553154,0.2374238669872284,0.2092626392841339,0.15899024903774261,0.20441755652427673,0.1421595811843872,0.3256937265396118,0.23529528081417084,0.13549931347370148
construction,0.2525217533111572,0.26264888048171997,0.2815735340118408,0.5609999895095825,1.0,0.18089833855628967,0.22730232775211334,0.21751843392848969,0.23704268038272858,0.19176240265369415,0.22925406694412231,0.1921110898256302,0.2166905701160431,0.3031303882598877,0.20329850912094116,0.13494056463241577
are,0.1899496167898178,0.23532822728157043,0.39081433415412903,0.1904018670320511,0.18089833855628967,1.0,0.4656608998775482,0.2668551802635193,0.4062570035457611,0.2941095530986786,0.3083013594150543,0.37842893600463867,0.23802608251571655,0.3841303884983063,0.29724663496017456,0.24591213464736938
being,0.2248239666223526,0.15763762593269348,0.34885138273239136,0.29336702823638916,0.22730232775211334,0.4656608998775482,1.0,0.2968568503856659,0.34499165415763855,0.23793834447860718,0.23857231438159943,0.4690866470336914,0.2349463552236557,0.33162933588027954,0.3760843276977539,0.26743772625923157
researched,0.15451772511005402,0.30138346552848816,0.24850153923034668,0.230569526553154,0.21751843392848969,0.2668551802635193,0.2968568503856659,1.0000001192092896,0.30728304386138916,0.21122968196868896,0.28478869795799255,0.20047412812709808,0.3118777871131897,0.26814934611320496,0.2676939368247986,0.15237414836883545
",",0.36073189973831177,0.1846524029970169,0.4946078956127167,0.2374238669872284,0.23704268038272858,0.4062570035457611,0.34499165415763855,0.30728304386138916,1.0000001192092896,0.32507219910621643,0.3032452464103699,0.3680937886238098,0.25091618299484253,0.5201468467712402,0.3087472915649414,0.31091248989105225
made,0.20649032294750214,0.17695148289203644,0.33167365193367004,0.2092626392841339,0.19176240265369415,0.2941095530986786,0.23793834447860718,0.21122968196868896,0.32507219910621643,1.0,0.2838447391986847,0.34175434708595276,0.21803346276283264,0.25271502137184143,0.23419176042079926,0.17218779027462006
possible,0.22988058626651764,0.3584718406200409,0.3314395844936371,0.15899024903774261,0.22925406694412231,0.3083013594150543,0.23857231438159943,0.28478869795799255,0.3032452464103699,0.2838447391986847,1.0,0.19730381667613983,0.31778398156166077,0.2287878543138504,0.3281886577606201,0.3059970438480377
by,0.25394493341445923,0.2220638394355774,0.3646814823150635,0.20441755652427673,0.1921110898256302,0.37842893600463867,0.4690866470336914,0.20047412812709808,0.3680937886238098,0.34175434708595276,0.19730381667613983,1.0000001192092896,0.2476312816143036,0.370934396982193,0.2455483376979828,0.17966607213020325
advances,0.15080979466438293,0.41236478090286255,0.27895745635032654,0.1421595811843872,0.2166905701160431,0.23802608251571655,0.2349463552236557,0.3118777871131897,0.25091618299484253,0.21803346276283264,0.31778398156166077,0.2476312816143036,1.0,0.22989708185195923,0.2105628252029419,0.12414493411779404
in,0.3758552670478821,0.22916999459266663,0.5696388483047485,0.3256937265396118,0.3031303882598877,0.3841303884983063,0.33162933588027954,0.26814934611320496,0.5201468467712402,0.25271502137184143,0.2287878543138504,0.370934396982193,0.22989708185195923,1.0,0.30808621644973755,0.20430970191955566
3d,0.011110683903098106,0.05506657063961029,0.04026421904563904,0.1004672646522522,0.07890898734331131,-0.025297386571764946,-0.025188731029629707,-0.046873170882463455,0.10773081332445145,0.04552772268652916,-0.07565144449472427,0.05730694904923439,-0.04294063150882721,0.029786530882120132,-0.028964104130864143,0.040244732052087784
printing,0.26655179262161255,0.2645048201084137,0.23686911165714264,0.27669501304626465,0.3551894724369049,0.14460383355617523,0.1615774780511856,0.24284762144088745,0.25780928134918213,0.21528971195220947,0.17221374809741974,0.23548047244548798,0.3051564395427704,0.22161865234375,0.23539213836193085,0.17118792235851288
technology,0.20034319162368774,0.3699577748775482,0.25238582491874695,0.2376898229122162,0.30370110273361206,0.17493250966072083,0.15024113655090332,0.37332311272621155,0.2817870080471039,0.21433408558368683,0.25713419914245605,0.15235473215579987,0.39265114068984985,0.24215441942214966,0.1940862536430359,0.11564995348453522
.,0.35031336545944214,0.15641993284225464,0.5352458953857422,0.275610089302063,0.23682771623134613,0.3452940285205841,0.35574623942375183,0.28611037135124207,0.6812511086463928,0.4032190144062042,0.2935521602630615,0.3936232924461365,0.2231488674879074,0.5591574311256409,0.3567904531955719,0.4130953550338745
