,which,boulevard,can,you,find,many,majestic,homes,in,the,area,?
the,0.6521818041801453,0.27917832136154175,0.312528520822525,0.30037742853164673,0.2696352005004883,0.4335206151008606,0.18259964883327484,0.22941356897354126,0.6662389636039734,1.0,0.37834644317626953,0.22068053483963013
section,0.3383568823337555,0.23609206080436707,0.27285343408584595,0.2582978308200836,0.17118340730667114,0.19765910506248474,0.12780003249645233,0.05882168933749199,0.22227555513381958,0.3365345895290375,0.2290077656507492,0.2733710706233978
of,0.5011631846427917,0.18820632994174957,0.2603091299533844,0.1774725764989853,0.2276865392923355,0.37253960967063904,0.18201495707035065,0.2122298777103424,0.5696388483047485,0.733189046382904,0.3409860134124756,0.1826142966747284
huntington,0.2247282713651657,0.26706621050834656,0.18375380337238312,0.17749100923538208,0.2326202392578125,0.270354688167572,0.2369854748249054,0.1979382187128067,0.2618277072906494,0.26236510276794434,0.18181078135967255,0.1482890248298645
boulevard,0.2049608677625656,1.0,0.10775690525770187,0.17999267578125,0.12368293851613998,0.14962650835514069,0.24290896952152252,0.19150038063526154,0.22474601864814758,0.27917832136154175,0.2476755976676941,0.06742092967033386
between,0.395174115896225,0.15766221284866333,0.23827335238456726,0.13618624210357666,0.15639565885066986,0.29423660039901733,0.1374294012784958,0.14880195260047913,0.41100412607192993,0.39067012071609497,0.2656443119049072,0.12887074053287506
first,0.3828166127204895,0.17862433195114136,0.24635975062847137,0.20884497463703156,0.1566622108221054,0.2931244373321533,0.21250516176223755,0.20360110700130463,0.4127444326877594,0.49448907375335693,0.19156944751739502,0.18701928853988647
street,0.19580180943012238,0.42610830068588257,0.17725281417369843,0.19627249240875244,0.1911943405866623,0.1944916546344757,0.25800421833992004,0.2090696543455124,0.2281111478805542,0.20947860181331635,0.2058890163898468,0.07315441966056824
on,0.4245251417160034,0.19202280044555664,0.2772369682788849,0.28820139169692993,0.22746877372264862,0.32520127296447754,0.18662647902965546,0.1787196695804596,0.46853652596473694,0.5107308030128479,0.20868615806102753,0.2714994251728058
the,0.6521818041801453,0.27917832136154175,0.312528520822525,0.30037742853164673,0.2696352005004883,0.4335206151008606,0.18259964883327484,0.22941356897354126,0.6662389636039734,1.0,0.37834644317626953,0.22068053483963013
west,0.22164945304393768,0.28617769479751587,0.07415936887264252,0.12095240503549576,0.07786662131547928,0.1819247007369995,0.2106734812259674,0.19043293595314026,0.34078434109687805,0.32918402552604675,0.3297291398048401,0.12088293582201004
to,0.5345056653022766,0.209961399435997,0.4979398250579834,0.4194425344467163,0.42702093720436096,0.40243685245513916,0.2043994814157486,0.2634379267692566,0.45010748505592346,0.535392165184021,0.2797197997570038,0.29463258385658264
cedar,0.2429196685552597,0.2728238105773926,0.13284794986248016,0.18150798976421356,0.11538399755954742,0.18733064830303192,0.3343079388141632,0.26334691047668457,0.2500803470611572,0.19908298552036285,0.16635636985301971,0.1513606160879135
avenue,0.16567915678024292,0.5168561935424805,0.06134564429521561,0.13680854439735413,0.13543209433555603,0.12455537915229797,0.2666012942790985,0.17355597019195557,0.19928301870822906,0.22167983651161194,0.2654196321964264,0.06327427178621292
on,0.4245251417160034,0.19202280044555664,0.2772369682788849,0.28820139169692993,0.22746877372264862,0.32520127296447754,0.18662647902965546,0.1787196695804596,0.46853652596473694,0.5107308030128479,0.20868615806102753,0.2714994251728058
