,when,large,groups,of,people,all,boycott,a,system,or,do,n't,pay,taxes,it,can,be,considered,?
in,0.4431333839893341,0.2841601073741913,0.22620722651481628,0.5696388483047485,0.39605680108070374,0.3335905969142914,0.2873239517211914,0.539380669593811,0.21978288888931274,0.3586423695087433,0.23402775824069977,-0.0012929976219311357,0.14415781199932098,0.22342120110988617,0.5130809545516968,0.26527702808380127,0.3481820821762085,0.28591203689575195,0.20430970191955566
this,0.4959332048892975,0.3440819978713989,0.22982828319072723,0.45148900151252747,0.27838850021362305,0.4746263027191162,0.17927232384681702,0.5422310829162598,0.3294329345226288,0.4406825602054596,0.34963881969451904,-0.11459717154502869,0.2387295812368393,0.27069318294525146,0.6107783317565918,0.4006461203098297,0.566177248954773,0.39504173398017883,0.3155723512172699
way,0.3943900763988495,0.2794021666049957,0.266919881105423,0.266871839761734,0.3452141582965851,0.38126420974731445,0.15717968344688416,0.3330821096897125,0.32246431708335876,0.3864600956439972,0.3526575565338135,-0.10271158069372177,0.24117766320705414,0.24284228682518005,0.4001650810241699,0.4469449520111084,0.4511762857437134,0.24419403076171875,0.31575819849967957
",",0.36674630641937256,0.2263888567686081,0.2671695053577423,0.4946078956127167,0.36644625663757324,0.425624817609787,0.27113375067710876,0.427140474319458,0.18439900875091553,0.3769497275352478,0.3283645510673523,0.11016341298818588,0.18754567205905914,0.2147572934627533,0.48329564929008484,0.3139454126358032,0.39254459738731384,0.32932984828948975,0.31091248989105225
they,0.5090266466140747,0.3571751117706299,0.41091012954711914,0.3426007330417633,0.4418129622936249,0.4884434938430786,0.23940114676952362,0.3528250455856323,0.24734781682491302,0.4633304476737976,0.4667694866657257,-0.1964540183544159,0.26087161898612976,0.2823643088340759,0.44394949078559875,0.47909218072891235,0.4858434796333313,0.3129073977470398,0.2753053903579712
might,0.38385099172592163,0.3139502704143524,0.18361711502075195,0.2900311052799225,0.3225567936897278,0.3160758912563324,0.08632159233093262,0.4210625886917114,0.2306297868490219,0.534751296043396,0.4455268085002899,-0.07350030541419983,0.216129869222641,0.2732047140598297,0.3184061646461487,0.6426551342010498,0.5260229706764221,0.3819579780101776,0.41058459877967834
be,0.4451393485069275,0.2907196581363678,0.25696179270744324,0.33904364705085754,0.2593584358692169,0.42151448130607605,0.1542493999004364,0.39883795380592346,0.24878063797950745,0.5260903835296631,0.36575672030448914,-0.08962184190750122,0.23702329397201538,0.25439491868019104,0.5203388929367065,0.5791122913360596,1.0,0.41927069425582886,0.3324260413646698
considered,0.2322070151567459,0.18257629871368408,0.16465917229652405,0.4190242290496826,0.17731496691703796,0.317488431930542,0.15158329904079437,0.36109375953674316,0.20314595103263855,0.35840076208114624,0.19726763665676117,0.02329624630510807,0.15893693268299103,0.20360824465751648,0.3332322835922241,0.22579099237918854,0.41927069425582886,1.0,0.19909770786762238
coercive,0.2490665465593338,0.16046886146068573,0.2604192793369293,0.28681492805480957,0.25455427169799805,0.2538127899169922,0.2851160168647766,0.2459069937467575,0.23766693472862244,0.33787408471107483,0.3366490304470062,-0.011645151302218437,0.2627420723438263,0.36264437437057495,0.2286439687013626,0.286990761756897,0.34460076689720154,0.34573253989219666,0.2293771505355835
.,0.475719153881073,0.2304532378911972,0.2408272922039032,0.5352458953857422,0.33118996024131775,0.43406882882118225,0.2311563342809677,0.50484299659729,0.2277725487947464,0.36683785915374756,0.3613996207714081,0.01884327083826065,0.17372290790081024,0.21144090592861176,0.5593622326850891,0.35783761739730835,0.4383580684661865,0.29356086254119873,0.4130953550338745
,when,large,groups,of,people,all,boycott,a,system,or,do,n't,pay,taxes,it,can,be,considered,?
