,what,percentage,of,money,raised,by,the,host,committee,will,be,used,for,charitable,causes,?
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.2699695825576782,0.2089216411113739,0.4408751428127289,1.0,0.26909032464027405,0.24322165548801422,0.3635469079017639,0.4248143136501312,0.3718377649784088,0.4739971458911896,0.2496783286333084,0.2518732249736786,0.22068053483963013
super,0.13651713728904724,0.1839606761932373,0.14718765020370483,0.16830426454544067,0.12616728246212006,0.15233319997787476,0.21959073841571808,0.14729782938957214,0.12410217523574829,0.1544499397277832,0.1880253106355667,0.18133796751499176,0.22938419878482819,0.0891672670841217,0.09205693006515503,0.166326642036438
bowl,0.15942467749118805,0.20793026685714722,0.2243070751428604,0.15875811874866486,0.14146828651428223,0.12992306053638458,0.21576224267482758,0.17551401257514954,0.12471532821655273,0.1507955938577652,0.18567830324172974,0.19533489644527435,0.24430087208747864,0.10967394709587097,0.12077608704566956,0.21118052303791046
50,-0.04124141484498978,0.02164030633866787,0.006577443331480026,0.053980231285095215,0.023246165364980698,0.03871260583400726,0.03602437674999237,-0.04591839388012886,-0.014448681846261024,0.07188837975263596,0.015184788033366203,-0.016424573957920074,0.029183456674218178,0.05105019360780716,0.07143232971429825,0.030512850731611252
host,0.12779991328716278,0.07964858412742615,0.1709926575422287,0.14202766120433807,0.16368018090724945,0.17084096372127533,0.26909032464027405,1.0000001192092896,0.15074416995048523,0.27295681834220886,0.15821070969104767,0.08540724962949753,0.2458597868680954,0.17035697400569916,0.22873517870903015,0.1021634042263031
committee,0.18195343017578125,0.1583431512117386,0.2920650243759155,0.20520848035812378,0.09630504995584488,0.18816545605659485,0.24322165548801422,0.15074416995048523,1.0,0.14656318724155426,0.17965561151504517,0.17781762778759003,0.29222947359085083,0.28939294815063477,0.09374245256185532,0.12144632637500763
has,0.20338068902492523,0.21051472425460815,0.3909035325050354,0.19487136602401733,0.2152225524187088,0.3254803419113159,0.4177538752555847,0.20938843488693237,0.17535506188869476,0.3418941795825958,0.3863394856452942,0.23367926478385925,0.450642853975296,0.15970808267593384,0.21773695945739746,0.15994466841220856
vowed,0.1351824551820755,0.18487724661827087,0.2083924561738968,0.32276207208633423,0.24958832561969757,0.16903890669345856,0.27705755829811096,0.04464127495884895,0.20470672845840454,0.20232738554477692,0.13052898645401,0.22322142124176025,0.17753905057907104,0.18638357520103455,0.08112191408872604,0.14173133671283722
to,0.455847829580307,0.25744274258613586,0.41548454761505127,0.3124290704727173,0.18795548379421234,0.33534231781959534,0.535392165184021,0.18300798535346985,0.24979650974273682,0.5091033577919006,0.4972836375236511,0.40058770775794983,0.4451248347759247,0.2233010083436966,0.2537674903869629,0.29463258385658264
be,0.3929833769798279,0.28804606199264526,0.33904364705085754,0.23008064925670624,0.12405911833047867,0.43158695101737976,0.4248143136501312,0.15821070969104767,0.17965561151504517,0.4925616979598999,1.0,0.3731876611709595,0.3801851272583008,0.195198193192482,0.23375074565410614,0.3324260413646698
``,0.008517155423760414,0.17982427775859833,0.06780257821083069,0.030175037682056427,0.0657515749335289,-0.030704375356435776,0.029072100296616554,0.06719572842121124,0.05259443074464798,0.07008423656225204,0.07670000940561295,0.08103004097938538,0.01270448137074709,0.00767940329387784,0.07334253937005997,0.0685480609536171
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.2699695825576782,0.2089216411113739,0.4408751428127289,1.0,0.26909032464027405,0.24322165548801422,0.3635469079017639,0.4248143136501312,0.3718377649784088,0.4739971458911896,0.2496783286333084,0.2518732249736786,0.22068053483963013
