,what,did,jews,refuse,to,accept,that,caused,luther,to,call,them,blasphemers,and,liars,?
he,0.3114890456199646,0.3292143940925598,0.18863363564014435,0.2816530168056488,0.385390967130661,0.21294105052947998,0.36068853735923767,0.15931689739227295,0.2454872578382492,0.385390967130661,0.15517276525497437,0.3947606682777405,0.24139530956745148,0.45427167415618896,0.18584898114204407,0.2089974731206894
considered,0.2834889590740204,0.2623664438724518,0.15856564044952393,0.16321824491024017,0.2954166829586029,0.2633133828639984,0.37593913078308105,0.26359641551971436,0.09524611383676529,0.2954166829586029,0.2679907977581024,0.24080012738704681,0.2902280390262604,0.3359341621398926,0.1956748366355896,0.19909770786762238
the,0.42745697498321533,0.34736719727516174,0.24901628494262695,0.28405678272247314,0.535392165184021,0.22203093767166138,0.5473989248275757,0.24990202486515045,0.1759674996137619,0.535392165184021,0.26640447974205017,0.4788833558559418,0.2930835485458374,0.5171257257461548,0.23438654839992523,0.22068053483963013
jews,0.22131574153900146,0.23080717027187347,1.0000001192092896,0.31680625677108765,0.22399327158927917,0.22224541008472443,0.27395346760749817,0.1645023226737976,0.24326977133750916,0.22399327158927917,0.17633850872516632,0.3200531303882599,0.37215059995651245,0.2555774748325348,0.2513050436973572,0.16730794310569763
blasphemers,0.34962034225463867,0.24958163499832153,0.37215059995651245,0.32961297035217285,0.33050253987312317,0.33653929829597473,0.3831121623516083,0.30979493260383606,0.25208497047424316,0.33050253987312317,0.3071191906929016,0.3524736762046814,1.0000001192092896,0.2362564504146576,0.31187599897384644,0.28772902488708496
and,0.31309178471565247,0.34479495882987976,0.2555774748325348,0.24994239211082458,0.48971283435821533,0.25251030921936035,0.4731321930885315,0.2892237603664398,0.20796556770801544,0.48971283435821533,0.237839937210083,0.48717668652534485,0.2362564504146576,1.0,0.23003625869750977,0.20544172823429108
liars,0.32368916273117065,0.2344784289598465,0.2513050436973572,0.24027244746685028,0.17416071891784668,0.1953069120645523,0.3443993031978607,0.12548278272151947,0.2261301577091217,0.17416071891784668,0.19071662425994873,0.3022628128528595,0.31187599897384644,0.23003625869750977,1.0,0.19560208916664124
because,0.46729007363319397,0.45674043893814087,0.292387455701828,0.33140894770622253,0.5166091918945312,0.35906869173049927,0.6503599286079407,0.4362187683582306,0.19194559752941132,0.5166091918945312,0.2761199176311493,0.5216264128684998,0.31991928815841675,0.5069696307182312,0.26367563009262085,0.2528740465641022
they,0.4431931674480438,0.4879390597343445,0.3007749915122986,0.38094744086265564,0.5452046394348145,0.27809852361679077,0.5710820555686951,0.28523552417755127,0.16441592574119568,0.5452046394348145,0.2769125699996948,0.6924025416374207,0.3452780544757843,0.5073080658912659,0.32889795303344727,0.2753053903579712
rejected,0.2521476447582245,0.3544847071170807,0.23265841603279114,0.364454984664917,0.24757765233516693,0.4724857807159424,0.33666709065437317,0.314344584941864,0.21717029809951782,0.24757765233516693,0.24635890126228333,0.18820469081401825,0.3368000388145447,0.2457340955734253,0.19337983429431915,0.20434792339801788
