,which,dynasties,',histories,were,officially,documented,during,toghun,'s,reign,?
one,0.510688066482544,0.21577519178390503,0.36029258370399475,0.3162349462509155,0.3453167676925659,0.23388496041297913,0.1906607449054718,0.3187117278575897,0.17541109025478363,0.06913424283266068,0.2205542027950287,0.2673267424106598
of,0.5011631846427917,0.3041822910308838,0.39136970043182373,0.2821865975856781,0.34038281440734863,0.27491217851638794,0.298829048871994,0.3869180977344513,0.2873504161834717,-0.03817026689648628,0.2783183157444,0.1826142966747284
his,0.32283493876457214,0.1744777411222458,0.2791537940502167,0.28522807359695435,0.3142043352127075,0.1938343346118927,0.1487874984741211,0.36789870262145996,0.1553487926721573,0.047556519508361816,0.34225884079933167,0.18075084686279297
successful,0.27150410413742065,0.14730925858020782,0.23923127353191376,0.14490582048892975,0.24574939906597137,0.1462564766407013,0.16396349668502808,0.3242732882499695,0.15896937251091003,-0.01727212779223919,0.11205141991376877,0.1132197454571724
projects,0.27615708112716675,0.1979079693555832,0.1688389927148819,0.2629413306713104,0.22614943981170654,0.20144835114479065,0.22349950671195984,0.18970808386802673,0.11881521344184875,0.07505683600902557,0.12485166639089584,0.3193145990371704
was,0.2830964922904968,0.2277369350194931,0.33675912022590637,0.2079448103904724,0.590133786201477,0.4353274703025818,0.22689683735370636,0.4470829963684082,0.16988223791122437,0.008974763564765453,0.2893977761268616,0.18412111699581146
to,0.5345056653022766,0.11648248136043549,0.34544456005096436,0.2640739679336548,0.31913647055625916,0.2423039823770523,0.2301853895187378,0.2828781306743622,0.15596270561218262,0.03782717138528824,0.16598333418369293,0.29463258385658264
finish,0.2139633148908615,0.15677358210086823,0.19289226830005646,0.1120220348238945,0.18800507485866547,0.11024747043848038,0.10765478760004044,0.23648834228515625,0.22385671734809875,0.04701191186904907,0.13264526426792145,0.11681990325450897
the,0.6521818041801453,0.30397531390190125,0.474788099527359,0.3027343153953552,0.3906462490558624,0.36343514919281006,0.33553433418273926,0.4838213622570038,0.270424485206604,-0.01540423184633255,0.2661008834838867,0.22068053483963013
long-stalled,0.3224036395549774,0.3135814368724823,0.28296008706092834,0.17589952051639557,0.3103161156177521,0.3233918249607086,0.2197420299053192,0.2968481481075287,0.2829470634460449,0.05423172935843468,0.2359767109155655,0.26214611530303955
official,0.18692700564861298,0.16020932793617249,0.29566490650177,0.17245346307754517,0.16307741403579712,0.5938388705253601,0.18959978222846985,0.15867778658866882,0.23899580538272858,0.0002636060817167163,0.2010272741317749,0.18097688257694244
histories,0.2441047877073288,0.3801169693470001,0.21756552159786224,1.0,0.3095954954624176,0.1381877064704895,0.3020133674144745,0.2739856243133545,0.14407126605510712,-0.017691563814878464,0.24303624033927917,0.27780789136886597
of,0.5011631846427917,0.3041822910308838,0.39136970043182373,0.2821865975856781,0.34038281440734863,0.27491217851638794,0.298829048871994,0.3869180977344513,0.2873504161834717,-0.03817026689648628,0.2783183157444,0.1826142966747284
the,0.6521818041801453,0.30397531390190125,0.474788099527359,0.3027343153953552,0.3906462490558624,0.36343514919281006,0.33553433418273926,0.4838213622570038,0.270424485206604,-0.01540423184633255,0.2661008834838867,0.22068053483963013
liao,0.18270646035671234,0.4205307066440582,0.16065604984760284,0.15266278386116028,0.21334102749824524,0.1837196797132492,0.12089693546295166,0.18852779269218445,0.48359113931655884,0.006922587286680937,0.25393351912498474,0.13700619339942932
