,why,did,he,walk,?
for,0.3869043290615082,0.318512886762619,0.4540175199508667,0.16428282856941223,0.264628142118454
exercise,0.1594059318304062,0.16071541607379913,0.20006008446216583,0.2931254208087921,0.19207993149757385
",",0.2827242314815521,0.3015086054801941,0.40251094102859497,0.20109525322914124,0.31091248989105225
tesla,0.1375875622034073,0.09757418930530548,0.12373391538858414,0.06611575186252594,0.10250775516033173
walked,0.19147729873657227,0.3070957660675049,0.27842721343040466,0.5677154064178467,0.12153727561235428
between,0.22945645451545715,0.16542956233024597,0.20695680379867554,0.16614295542240143,0.12887074053287506
8,0.02963598631322384,-0.004101584665477276,-0.011272743344306946,-0.006130818743258715,-0.04056251794099808
to,0.4100138247013092,0.4452643394470215,0.385390967130661,0.2592417597770691,0.29463258385658264
10,0.06492701172828674,0.1914099007844925,0.1420891433954239,0.10451525449752808,0.022911956533789635
miles,0.09297386556863785,0.10529203712940216,0.1601017266511917,0.2898818552494049,0.09363767504692078
per,0.23989123106002808,0.14237605035305023,0.11234289407730103,0.14316214621067047,0.22323818504810333
day,0.18174687027931213,0.20275387167930603,0.2350211888551712,0.23449523746967316,0.2141837179660797
.,0.32909876108169556,0.35288307070732117,0.38061028718948364,0.21280352771282196,0.4130953550338745
