,tibetan,art,from,which,period,is,represented,in,the,v,&,a,collection,?
tibetan,1.0,0.2388700246810913,0.13754774630069733,0.1925758719444275,0.17537584900856018,0.18980872631072998,0.13715949654579163,0.1719963401556015,0.2316000759601593,0.05982987582683563,0.1327165961265564,0.1735033094882965,0.23556485772132874,0.14673879742622375
art,0.2388700246810913,1.0,0.2182932198047638,0.19862167537212372,0.1769259124994278,0.17386884987354279,0.11849413067102432,0.2282189577817917,0.20297785103321075,0.12526747584342957,0.1891014128923416,0.1329297125339508,0.3446033000946045,0.138971745967865
from,0.13754774630069733,0.2182932198047638,1.0,0.38755592703819275,0.2558770775794983,0.27355384826660156,0.27583742141723633,0.4274188280105591,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,0.2754948139190674,0.19969791173934937
the,0.2316000759601593,0.20297785103321075,0.40150508284568787,0.6521818041801453,0.3125074505805969,0.5823672413825989,0.3256146013736725,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.22068053483963013
14th,0.04418506100773811,0.0926734209060669,0.11617565155029297,0.1297154277563095,0.016182295978069305,0.22197483479976654,0.17348293960094452,0.14700374007225037,0.21954689919948578,0.17402957379817963,0.10149797052145004,0.16740752756595612,0.08828157186508179,0.028729064390063286
to,0.16902732849121094,0.22068513929843903,0.4069952368736267,0.5345056653022766,0.24346192181110382,0.42745086550712585,0.18846964836120605,0.45010748505592346,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.15417452156543732,0.29463258385658264
the,0.2316000759601593,0.20297785103321075,0.40150508284568787,0.6521818041801453,0.3125074505805969,0.5823672413825989,0.3256146013736725,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.22068053483963013
19th,0.09797374904155731,0.11339211463928223,0.15403886139392853,0.2196694165468216,0.09666503220796585,0.21349595487117767,0.20135550200939178,0.15408828854560852,0.24964287877082825,0.15785977244377136,0.10421080887317657,0.200595885515213,0.16749516129493713,0.004712673369795084
century,0.24700269103050232,0.16697418689727783,0.24901773035526276,0.23552611470222473,0.34670042991638184,0.20648397505283356,0.1735851764678955,0.3174034655094147,0.3617299497127533,0.07531309127807617,0.1201460063457489,0.19417014718055725,0.2717791497707367,0.1026201918721199
is,0.18980872631072998,0.17386884987354279,0.27355384826660156,0.4457404911518097,0.1838376820087433,1.0,0.30249524116516113,0.5394441485404968,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.21135231852531433,0.22961433231830597
represented,0.13715949654579163,0.11849413067102432,0.27583742141723633,0.2635336220264435,0.1262998878955841,0.30249524116516113,0.9999999403953552,0.33309870958328247,0.3256146013736725,0.13714782893657684,0.07141020148992538,0.3039659857749939,0.1968824714422226,0.11276352405548096
by,0.13548459112644196,0.2189643532037735,0.3373257517814636,0.40543368458747864,0.22862431406974792,0.3899846076965332,0.23673410713672638,0.370934396982193,0.4408751428127289,0.11988817155361176,0.17475149035453796,0.32094135880470276,0.2678082287311554,0.17966607213020325
notable,0.10410676151514053,0.18179774284362793,0.17248059809207916,0.22319382429122925,0.18228553235530853,0.20672309398651123,0.17019301652908325,0.25145605206489563,0.20948168635368347,0.09404117614030838,0.09374736249446869,0.21731382608413696,0.1834569275379181,0.31928157806396484
14th-,-0.21287839114665985,-0.12615805864334106,-0.1952042281627655,-0.3661283552646637,-0.20642660558223724,-0.1389424353837967,-0.14963853359222412,-0.13843683898448944,-0.27937015891075134,0.000483603507746011,-0.003936948254704475,-0.14917729794979095,-0.17369093000888824,-0.10633647441864014
and,0.22702692449092865,0.2631918787956238,0.3601827025413513,0.506277859210968,0.23878438770771027,0.3859752118587494,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.20544172823429108
15th-century,0.2616642415523529,0.17644301056861877,0.23922590911388397,0.19784416258335114,0.33324119448661804,0.19569909572601318,0.18641337752342224,0.31107988953590393,0.31860220432281494,0.08303812891244888,0.12480977922677994,0.18923638761043549,0.2626056671142578,0.09978894144296646
religious,0.3386993408203125,0.2608799338340759,0.14288437366485596,0.23757514357566833,0.2118896096944809,0.1584658920764923,0.15508867800235748,0.24099457263946533,0.22950971126556396,0.1306949406862259,0.07744057476520538,0.23162008821964264,0.2240724116563797,0.15727058053016663
images,0.12719446420669556,0.2580540180206299,0.22353748977184296,0.2567676901817322,0.18198661506175995,0.19097411632537842,0.2045610249042511,0.1735273003578186,0.22232814133167267,0.10628693550825119,0.03335636109113693,0.2026885449886322,0.3834746479988098,0.22502069175243378
in,0.1719963401556015,0.2282189577817917,0.4274188280105591,0.4840516746044159,0.23051127791404724,0.5394441485404968,0.33309870958328247,1.0,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.23004686832427979,0.20430970191955566
wood,0.13235029578208923,0.2118595689535141,0.18223851919174194,0.2310706228017807,0.10897751897573471,0.20529299974441528,0.10438711196184158,0.16444914042949677,0.23035094141960144,0.10083416849374771,0.10598709434270859,0.2106132060289383,0.15115562081336975,0.1346656233072281
and,0.22702692449092865,0.2631918787956238,0.3601827025413513,0.506277859210968,0.23878438770771027,0.3859752118587494,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.20544172823429108
bronze,0.08267275989055634,0.1786264032125473,0.16964833438396454,0.19257061183452606,0.20671582221984863,0.15866197645664215,0.22762882709503174,0.1848762184381485,0.2526973485946655,0.11348831653594971,0.10350494086742401,0.21390679478645325,0.15645165741443634,0.12390820682048798
",",0.19998803734779358,0.2700960636138916,0.39760664105415344,0.3658004403114319,0.25030651688575745,0.4691906273365021,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2277175933122635,0.31091248989105225
scroll,0.2534688413143158,0.2371184229850769,0.11079864948987961,0.20101553201675415,0.16193442046642303,0.15841126441955566,0.10897353291511536,0.11108966171741486,0.21444272994995117,0.1411808580160141,0.1201830506324768,0.1600046008825302,0.26562947034835815,0.2305612415075302
paintings,0.20399899780750275,0.535490870475769,0.20633774995803833,0.207008495926857,0.21821928024291992,0.1893506497144699,0.21890172362327576,0.2264205515384674,0.2167874127626419,0.13144442439079285,0.08101501315832138,0.15623857080936432,0.3678726255893707,0.1866389960050583
and,0.22702692449092865,0.2631918787956238,0.3601827025413513,0.506277859210968,0.23878438770771027,0.3859752118587494,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.20544172823429108
ritual,0.33655697107315063,0.26023003458976746,0.13461031019687653,0.26661959290504456,0.18954209983348846,0.1726737767457962,0.13208261132240295,0.18170319497585297,0.23994816839694977,0.04588897153735161,0.11194093525409698,0.21536272764205933,0.19874729216098785,0.15727144479751587
objects,0.18294167518615723,0.27836379408836365,0.22604778409004211,0.30641767382621765,0.1947048008441925,0.23756065964698792,0.23333759605884552,0.23406893014907837,0.24716724455356598,0.12864506244659424,0.043518271297216415,0.24898670613765717,0.3340989947319031,0.15479016304016113
.,0.2035236954689026,0.21795564889907837,0.41536515951156616,0.45942068099975586,0.2575049102306366,0.4569662809371948,0.26645728945732117,0.5591574311256409,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.2516246736049652,0.4130953550338745
