,when,did,the,san,francisco,bay,area,last,host,the,super,bowl,?
the,0.5091903209686279,0.34736719727516174,1.0,0.2858080565929413,0.25086042284965515,0.2441686987876892,0.37834644317626953,0.3698786795139313,0.26909032464027405,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
san,0.20252759754657745,0.1785750538110733,0.2858080565929413,0.9999999403953552,0.8108479976654053,0.38444605469703674,0.22260162234306335,0.15585462749004364,0.16593219339847565,0.2858080565929413,0.15279507637023926,0.18508543074131012,0.10952327400445938
francisco,0.1998862773180008,0.1959451586008072,0.25086042284965515,0.8108479976654053,1.0,0.3707815408706665,0.2213580310344696,0.16255201399326324,0.14032593369483948,0.25086042284965515,0.1658499836921692,0.20152677595615387,0.1020219698548317
bay,0.17318107187747955,0.05503932014107704,0.2441686987876892,0.38444605469703674,0.3707815408706665,1.0000001192092896,0.32755857706069946,0.1800021380186081,0.14146871864795685,0.2441686987876892,0.12241406738758087,0.1972428411245346,0.10773546993732452
area,0.29334506392478943,0.14067986607551575,0.37834644317626953,0.22260162234306335,0.2213580310344696,0.32755857706069946,1.0,0.1486259549856186,0.1311485767364502,0.37834644317626953,0.09147491306066513,0.19680163264274597,0.12640461325645447
last,0.3294509947299957,0.30895525217056274,0.3698786795139313,0.15585462749004364,0.16255201399326324,0.1800021380186081,0.1486259549856186,1.0,0.13827534019947052,0.3698786795139313,0.17231976985931396,0.20327796041965485,0.22371746599674225
hosted,0.14251498878002167,0.14902178943157196,0.2576315402984619,0.1884586364030838,0.1864740401506424,0.17865930497646332,0.13607744872570038,0.17835794389247894,0.6586005687713623,0.2576315402984619,0.1794566810131073,0.17901405692100525,0.09810540825128555
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.2617562413215637,0.21278683841228485,0.1926257163286209,0.33632898330688477,0.30714505910873413,0.21661671996116638,0.6662389636039734,0.18576006591320038,0.17236235737800598,0.20430970191955566
1985,-0.00747395446524024,0.07323421537876129,0.02310241386294365,-0.04098391532897949,-0.018576398491859436,0.13514110445976257,0.18021896481513977,-0.07435119897127151,0.06790833175182343,0.02310241386294365,-0.05335182696580887,-0.05126553773880005,-0.03005216084420681
(,0.2459595799446106,0.18979617953300476,0.33289089798927307,0.2069418579339981,0.16439630091190338,0.18966834247112274,0.18064655363559723,0.290768563747406,0.20768411457538605,0.33289089798927307,0.17553061246871948,0.15949074923992157,0.40561532974243164
