,what,did,kllbrandon,'s,report,in,1973,recommend,establishing,?
kilbrandon,0.19139014184474945,0.15208689868450165,0.9205787181854248,0.028908386826515198,0.13729235529899597,0.3199138641357422,-0.12120833247900009,0.1621103286743164,0.16958840191364288,0.2810101807117462
published,0.20457668602466583,0.17877818644046783,0.1223263293504715,0.01244857907295227,0.3798125088214874,0.26697060465812683,-0.0727696418762207,0.17844443023204803,0.21009404957294464,0.16280238330364227
his,0.26976513862609863,0.3546801507472992,0.2565707564353943,0.047556519508361816,0.15566636621952057,0.3598145842552185,-0.1745019257068634,0.2234361320734024,0.2095029503107071,0.18075084686279297
report,0.2868559956550598,0.2986995279788971,0.14514656364917755,-0.0383719876408577,0.9999998807907104,0.204250767827034,-0.1764429658651352,0.2886653244495392,0.15878356993198395,0.3138936758041382
in,0.30808621644973755,0.2593238651752472,0.2692236006259918,-0.037580832839012146,0.204250767827034,1.0,-0.18588787317276,0.20616383850574493,0.284413605928421,0.20430970191955566
1973,-0.22440221905708313,-0.23175965249538422,-0.05393087491393089,0.015158087946474552,-0.1764429658651352,-0.18588787317276,1.0,-0.11363273859024048,-0.15235641598701477,-0.07644321769475937
recommending,0.3185833692550659,0.2498924434185028,0.15199494361877441,-0.05086439475417137,0.31602686643600464,0.24387697875499725,-0.1261068880558014,0.9190876483917236,0.3275057375431061,0.30280089378356934
the,0.42745697498321533,0.34736719727516174,0.1879211664199829,-0.01540423184633255,0.2556745111942291,0.6662389636039734,-0.22297891974449158,0.2400718331336975,0.3532279133796692,0.22068053483963013
establishment,0.1702135056257248,0.20103003084659576,0.08046664297580719,-0.08286910504102707,0.15915848314762115,0.329694002866745,-0.12876451015472412,0.1941492110490799,0.7096191644668579,0.1661023646593094
of,0.33290785551071167,0.2513895630836487,0.14066383242607117,-0.03817026689648628,0.22992923855781555,0.5696388483047485,-0.15240907669067383,0.23058398067951202,0.31199124455451965,0.1826142966747284
a,0.3320399522781372,0.2552328109741211,0.22173795104026794,0.04866964742541313,0.2148611694574356,0.539380669593811,-0.13350971043109894,0.29654836654663086,0.2560238838195801,0.23916715383529663
directly,0.3618607521057129,0.2733418643474579,0.08958932757377625,-0.014331134036183357,0.22170554101467133,0.25104159116744995,-0.21942675113677979,0.23517920076847076,0.17615485191345215,0.2187996357679367
elected,0.16005432605743408,0.19869562983512878,0.2072932869195938,-0.09862285107374191,0.1366216540336609,0.21190309524536133,-0.06632829457521439,0.17895866930484772,0.24481172859668732,0.1966295689344406
scottish,0.13777151703834534,0.1726994663476944,0.22529546916484833,0.09608723223209381,0.0942768082022667,0.16512006521224976,-0.08483152091503143,0.16171148419380188,0.1215292438864708,0.06442669779062271
assembly,0.21462371945381165,0.13346484303474426,0.1802627444267273,-0.0998736247420311,0.17584607005119324,0.2425609529018402,-0.050278499722480774,0.1470649242401123,0.30952560901641846,0.1488889455795288
to,0.455847829580307,0.4452643394470215,0.20693892240524292,0.03782717138528824,0.2559358477592468,0.45010748505592346,-0.2857922613620758,0.336964875459671,0.2561188042163849,0.29463258385658264
legislate,0.2920765280723572,0.22715499997138977,0.14696134626865387,-0.03732103109359741,0.26579228043556213,0.22075778245925903,-0.15253981947898865,0.24617841839790344,0.4162323772907257,0.24869191646575928
for,0.3017193675041199,0.318512886762619,0.21689385175704956,-0.07241261005401611,0.2216007560491562,0.4322226941585541,-0.1158204972743988,0.38724079728126526,0.20423443615436554,0.264628142118454
the,0.42745697498321533,0.34736719727516174,0.1879211664199829,-0.01540423184633255,0.2556745111942291,0.6662389636039734,-0.22297891974449158,0.2400718331336975,0.3532279133796692,0.22068053483963013
majority,0.25967487692832947,0.19529776275157928,0.21638672053813934,0.06142395734786987,0.22783735394477844,0.2563854157924652,-0.16789598762989044,0.1985839158296585,0.25519585609436035,0.220119908452034
of,0.33290785551071167,0.2513895630836487,0.14066383242607117,-0.03817026689648628,0.22992923855781555,0.5696388483047485,-0.15240907669067383,0.23058398067951202,0.31199124455451965,0.1826142966747284
domestic,0.11560896784067154,0.23469406366348267,0.16652657091617584,0.02897552214562893,0.18505504727363586,0.208420991897583,-0.1175679937005043,0.16574160754680634,0.1655237078666687,0.1850636899471283
scottish,0.13777151703834534,0.1726994663476944,0.22529546916484833,0.09608723223209381,0.0942768082022667,0.16512006521224976,-0.08483152091503143,0.16171148419380188,0.1215292438864708,0.06442669779062271
affairs,0.15737071633338928,0.20013506710529327,0.12199883908033371,0.000396561372326687,0.30678412318229675,0.1845564991235733,-0.14022943377494812,0.18622078001499176,0.2564343214035034,0.11928717792034149
.,0.3567904531955719,0.35288307070732117,0.3535979390144348,-0.003708066651597619,0.277835488319397,0.5591574311256409,-0.19761697947978973,0.2671709358692169,0.22280070185661316,0.4130953550338745
