,when,was,the,victoria,and,albert,museum,founded,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2204313427209854,0.5171257257461548,0.17599669098854065,0.24861779808998108,0.2840350568294525,0.22068053483963013
victoria,0.18752387166023254,0.2550773620605469,0.2204313427209854,1.0,0.24507255852222443,0.3983887732028961,0.16867820918560028,0.1430700719356537,0.12246892601251602
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.24507255852222443,1.0,0.23445942997932434,0.21554097533226013,0.22426098585128784,0.20544172823429108
albert,0.21266065537929535,0.240865096449852,0.17599669098854065,0.3983887732028961,0.23445942997932434,1.0000001192092896,0.17505663633346558,0.1297692507505417,0.15350762009620667
museum,0.12185179442167282,0.21266788244247437,0.24861779808998108,0.16867820918560028,0.21554097533226013,0.17505663633346558,1.0000001192092896,0.24418509006500244,0.14128351211547852
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.14948904514312744,0.4862271547317505,0.2159028947353363,0.15624505281448364,0.16187793016433716,0.40561532974243164
often,0.47236984968185425,0.2700076997280121,0.38004449009895325,0.17344015836715698,0.42465832829475403,0.1809874176979065,0.11324707418680191,0.10569972544908524,0.23748154938220978
abbreviated,0.09555639326572418,0.15588995814323425,0.22909507155418396,0.011438317596912384,0.08168510347604752,0.08697010576725006,0.14204837381839752,0.2256026566028595,0.1293652355670929
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.19515912234783173,0.49487000703811646,0.20756424963474274,0.15384963154792786,0.2213044911623001,0.27043893933296204
the,0.5091903209686279,0.48711544275283813,1.0,0.2204313427209854,0.5171257257461548,0.17599669098854065,0.24861779808998108,0.2840350568294525,0.22068053483963013
v,0.20079591870307922,0.16128918528556824,0.18580520153045654,0.14771920442581177,0.19040757417678833,0.17494136095046997,0.07561434060335159,0.108897365629673,0.28677162528038025
&,0.050614893436431885,0.12134000658988953,0.14992168545722961,0.18559011816978455,0.34093084931373596,0.18736180663108826,0.18110838532447815,0.16781343519687653,0.12596383690834045
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.15216270089149475,0.3739250600337982,0.13642995059490204,0.14725451171398163,0.1686933934688568,0.23916715383529663
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.17964273691177368,0.4961937665939331,0.22898761928081512,0.15237168967723846,0.19867146015167236,0.42300865054130554
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2279360294342041,0.6633074283599854,0.2350587546825409,0.20741747319698334,0.24976085126399994,0.31091248989105225
london,0.17293383181095123,0.3026486933231354,0.27034124732017517,0.3808816969394684,0.2868692874908447,0.21022245287895203,0.20541705191135406,0.17787519097328186,0.11278104782104492
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2279360294342041,0.6633074283599854,0.2350587546825409,0.20741747319698334,0.24976085126399994,0.31091248989105225
is,0.3471449911594391,0.5810302495956421,0.5823672413825989,0.1633591204881668,0.3859752118587494,0.14875668287277222,0.18299639225006104,0.21368175745010376,0.22961433231830597
the,0.5091903209686279,0.48711544275283813,1.0,0.2204313427209854,0.5171257257461548,0.17599669098854065,0.24861779808998108,0.2840350568294525,0.22068053483963013
world,0.23794586956501007,0.3097524344921112,0.33604270219802856,0.17221683263778687,0.3246132433414459,0.1507783830165863,0.19023655354976654,0.22688640654087067,0.17579582333564758
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,0.06206126511096954,0.06895173341035843,-0.02173103578388691,-0.011753248050808907,0.011454867199063301,-0.023395681753754616
largest,0.1331232339143753,0.2198711782693863,0.3757036626338959,0.1591697335243225,0.24602696299552917,0.08245132118463516,0.28500592708587646,0.37851324677467346,0.12401245534420013
museum,0.12185179442167282,0.21266788244247437,0.24861779808998108,0.16867820918560028,0.21554097533226013,0.17505663633346558,1.0000001192092896,0.24418509006500244,0.14128351211547852
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2505437433719635,0.5116966962814331,0.19890549778938293,0.23314370214939117,0.24571022391319275,0.1826142966747284
decorative,0.14702139794826508,0.12518033385276794,0.22162237763404846,0.22064752876758575,0.2330571860074997,0.14404672384262085,0.21359190344810486,0.023564796894788742,0.14864768087863922
arts,0.15218614041805267,0.25444865226745605,0.23374557495117188,0.16410881280899048,0.3013502061367035,0.16834314167499542,0.3367849588394165,0.2538941502571106,0.09471383690834045
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.24507255852222443,1.0,0.23445942997932434,0.21554097533226013,0.22426098585128784,0.20544172823429108
design,0.1777849793434143,0.2780803442001343,0.27913451194763184,0.1057981476187706,0.21815341711044312,0.13955271244049072,0.20728923380374908,0.1705976128578186,0.16351860761642456
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2279360294342041,0.6633074283599854,0.2350587546825409,0.20741747319698334,0.24976085126399994,0.31091248989105225
housing,0.19322776794433594,0.2453424632549286,0.24837790429592133,0.22617356479167938,0.29145196080207825,0.13052217662334442,0.18968068063259125,0.14975175261497498,0.11872038245201111
