,what,did,the,result,of,the,snp,majority,allow,a,referendum,be,held,on,?
the,0.42745697498321533,0.34736719727516174,1.0,0.27778977155685425,0.733189046382904,1.0,0.283728688955307,0.28757327795028687,0.27822166681289673,0.5829201340675354,0.2520652413368225,0.4248143136501312,0.32185450196266174,0.5107308030128479,0.22068053483963013
snp,0.16751348972320557,0.1372436136007309,0.283728688955307,0.2375669777393341,0.26387298107147217,0.283728688955307,1.0,0.3517175316810608,0.20609162747859955,0.2696843445301056,0.4522494971752167,0.22779707610607147,0.21661944687366486,0.20196683704853058,0.14808869361877441
overall,0.23488298058509827,0.25514766573905945,0.31739529967308044,0.18842940032482147,0.2889781594276428,0.31739529967308044,0.17677536606788635,0.3225083649158478,0.09248828142881393,0.23417603969573975,0.17526884377002716,0.22509367763996124,0.18706032633781433,0.19325558841228485,0.18573027849197388
majority,0.25967487692832947,0.19529776275157928,0.28757327795028687,0.23577304184436798,0.29706597328186035,0.28757327795028687,0.3517175316810608,0.9999998807907104,0.2656368911266327,0.227370023727417,0.4379912316799164,0.26356902718544006,0.2013542354106903,0.20937225222587585,0.220119908452034
meant,0.40698376297950745,0.46665212512016296,0.34852901101112366,0.25608500838279724,0.2713906168937683,0.34852901101112366,0.0782395750284195,0.2262159138917923,0.42611008882522583,0.3386867940425873,0.17496757209300995,0.39838457107543945,0.23602764308452606,0.2894698679447174,0.28817421197891235
that,0.6297725439071655,0.47518548369407654,0.5473989248275757,0.3031747341156006,0.41498205065727234,0.5473989248275757,0.2341776192188263,0.3037298023700714,0.4246886968612671,0.47537946701049805,0.25653737783432007,0.6036020517349243,0.224154531955719,0.42569106817245483,0.32716336846351624
there,0.35085538029670715,0.29736605286598206,0.47025805711746216,0.2712252736091614,0.44397735595703125,0.47025805711746216,0.21852213144302368,0.21571014821529388,0.29340389370918274,0.4214206337928772,0.2188883274793625,0.41019052267074585,0.26702648401260376,0.3521401882171631,0.29405656456947327
was,0.22111038863658905,0.41399896144866943,0.48711544275283813,0.18558235466480255,0.4069072902202606,0.48711544275283813,0.213423952460289,0.17051540315151215,0.17550189793109894,0.4508470594882965,0.24151557683944702,0.42228707671165466,0.30231067538261414,0.3909217119216919,0.18412111699581146
sufficient,0.34977179765701294,0.30570849776268005,0.27501294016838074,0.30011221766471863,0.23525285720825195,0.27501294016838074,0.19267122447490692,0.26613306999206543,0.423557311296463,0.2978554368019104,0.24142101407051086,0.41246068477630615,0.12799617648124695,0.2620682716369629,0.2950035035610199
support,0.2797985076904297,0.2911772131919861,0.22984638810157776,0.2891627252101898,0.2307697981595993,0.22984638810157776,0.22117482125759125,0.32491549849510193,0.42687860131263733,0.2484646886587143,0.38125666975975037,0.3082740604877472,0.15358948707580566,0.26417678594589233,0.22626608610153198
