,why,would,rampant,violence,prevent,people,from,going,to,work,?
there,0.41627052426338196,0.33190950751304626,0.20731648802757263,0.1743168830871582,0.24959813058376312,0.4820519685745239,0.2965545952320099,0.4239901304244995,0.40669289231300354,0.235924631357193,0.29405656456947327
may,0.25454580783843994,0.4155452847480774,0.20677049458026886,0.1984415054321289,0.24450713396072388,0.2590857446193695,0.23997589945793152,0.26205822825431824,0.391582727432251,0.23467938601970673,0.2768254578113556
be,0.4042811989784241,0.5202695727348328,0.23520466685295105,0.179466113448143,0.3827786147594452,0.2593584358692169,0.3107333183288574,0.3445846438407898,0.4972836375236511,0.34449198842048645,0.3324260413646698
an,0.22638356685638428,0.2650099992752075,0.1797361820936203,0.16634076833724976,0.24787792563438416,0.16753636300563812,0.20876385271549225,0.21355599164962769,0.3138085603713989,0.22936125099658966,0.19793890416622162
epidemic,0.1767154335975647,0.21207714080810547,0.21859309077262878,0.33029723167419434,0.294455349445343,0.261139452457428,0.18556445837020874,0.18648011982440948,0.220205157995224,0.1700318157672882,0.1562352478504181
that,0.5601457357406616,0.5895259380340576,0.2290707677602768,0.2665633261203766,0.3359993100166321,0.3621441423892975,0.3477667272090912,0.5067326426506042,0.5436353087425232,0.34257015585899353,0.32716336846351624
causes,0.24825768172740936,0.24944360554218292,0.15311701595783234,0.2171369194984436,0.29133808612823486,0.3007635772228241,0.31693553924560547,0.23473690450191498,0.2537674903869629,0.14024141430854797,0.19991323351860046
widespread,0.2697369456291199,0.23919592797756195,0.26263919472694397,0.40369802713394165,0.3023941218852997,0.2835652530193329,0.21378982067108154,0.1775316596031189,0.2658514082431793,0.12980826199054718,0.16958627104759216
panic,0.211014062166214,0.19795145094394684,0.1872739940881729,0.2729675769805908,0.20085030794143677,0.23394134640693665,0.15808813273906708,0.2472141534090042,0.1722925454378128,0.17205694317817688,0.21352724730968475
",",0.2827242314815521,0.32586824893951416,0.2815365195274353,0.2299048751592636,0.19234955310821533,0.36644625663757324,0.39760664105415344,0.2957560122013092,0.44245919585227966,0.3283594250679016,0.31091248989105225
