,who,established,the,amount,of,prime,numbers,in,existence,?
there,0.2844357192516327,0.30601149797439575,0.47025805711746216,0.2715611755847931,0.44397735595703125,0.14719140529632568,0.3104099631309509,0.5361666083335876,0.34047168493270874,0.29405656456947327
are,0.27294138073921204,0.13481727242469788,0.40399202704429626,0.2873819172382355,0.39081433415412903,0.12279369682073593,0.37760815024375916,0.3841303884983063,0.2648012042045593,0.24591213464736938
infinitely,0.20294883847236633,0.11394945532083511,0.22954502701759338,0.24504709243774414,0.22627422213554382,0.23920835554599762,0.4465126097202301,0.1889370232820511,0.27415457367897034,0.3284112513065338
many,0.4149286150932312,0.19663920998573303,0.4335206151008606,0.36071112751960754,0.37253960967063904,0.12904198467731476,0.3370567262172699,0.41474202275276184,0.2890792191028595,0.2124512493610382
primes,0.17793437838554382,0.06681395322084427,0.22359657287597656,0.24383299052715302,0.22199293971061707,0.7104739546775818,0.47689586877822876,0.20882321894168854,0.2581014633178711,0.18851876258850098
",",0.3365725874900818,0.22739723324775696,0.4933079481124878,0.21125462651252747,0.4946078956127167,0.2565026581287384,0.26479464769363403,0.5201468467712402,0.21917741000652313,0.31091248989105225
as,0.3923053741455078,0.26194092631340027,0.48381632566452026,0.19476667046546936,0.3886612355709076,0.17482610046863556,0.2396276444196701,0.3887844979763031,0.18183830380439758,0.27043893933296204
demonstrated,0.2100299894809723,0.28030234575271606,0.2412586510181427,0.18546247482299805,0.21852713823318481,0.1622849553823471,0.23425494134426117,0.24005702137947083,0.2907450199127197,0.1947716772556305
by,0.39727845788002014,0.21138796210289001,0.4408751428127289,0.19143085181713104,0.3646814823150635,0.1702890843153,0.21251529455184937,0.370934396982193,0.11780056357383728,0.17966607213020325
euclid,0.2344662845134735,0.12390988320112228,0.17953763902187347,0.12965495884418488,0.21540778875350952,0.264380544424057,0.38277676701545715,0.2318296581506729,0.2682124376296997,0.2122764140367508
around,0.2775672674179077,0.2170756459236145,0.40085816383361816,0.2741750180721283,0.3296394646167755,0.07106762379407883,0.2322303205728531,0.41294145584106445,0.11465110629796982,0.14729668200016022
300,-0.055552978068590164,0.03827553614974022,-0.07017405331134796,-0.04297172278165817,-0.04760007932782173,0.05840351805090904,-0.026712937280535698,-0.06603364646434784,0.0002614750119391829,-0.06213558092713356
bc,0.17401666939258575,0.20804890990257263,0.2513079047203064,0.10888489335775375,0.2062062919139862,0.1493973284959793,0.17085982859134674,0.22521845996379852,0.16932140290737152,0.1382298320531845
.,0.3541337847709656,0.23771190643310547,0.5934505462646484,0.24893930554389954,0.5352458953857422,0.17658381164073944,0.2591777741909027,0.5591574311256409,0.2164178043603897,0.4130953550338745
