,which,fault,can,produce,a,magnitude,earthquake,of,8.0,?
many,0.5168171525001526,0.21639299392700195,0.4275496006011963,0.28314530849456787,0.2872205972671509,0.1357496827840805,0.19513987004756927,0.37253960967063904,-0.021994752809405327,0.2124512493610382
faults,0.31374192237854004,0.7531968355178833,0.21891248226165771,0.15407374501228333,0.189353346824646,0.2830282151699066,0.3727476894855499,0.1837489753961563,-0.026480941101908684,0.17420656979084015
are,0.42922598123550415,0.17996442317962646,0.5408529043197632,0.3308704197406769,0.265255331993103,0.17340542376041412,0.12344340980052948,0.39081433415412903,-0.020246142521500587,0.24591213464736938
able,0.33592119812965393,0.1356862336397171,0.5244399309158325,0.2544192373752594,0.2874686121940613,0.12258938699960709,0.13439126312732697,0.23883962631225586,-0.04149479791522026,0.260649710893631
to,0.5345056653022766,0.18539772927761078,0.4979398250579834,0.30018290877342224,0.45503583550453186,0.16278141736984253,0.14503325521945953,0.41548454761505127,0.039782483130693436,0.29463258385658264
produce,0.44459521770477295,0.08720025420188904,0.3511185944080353,1.0,0.2757846415042877,0.18545806407928467,0.1385292410850525,0.19541172683238983,-0.06241248548030853,0.19229066371917725
a,0.56894451379776,0.20718993246555328,0.3915780484676361,0.2757846415042877,1.0,0.21830542385578156,0.2050093412399292,0.5052502155303955,0.02194441296160221,0.23916715383529663
magnitude,0.20928649604320526,0.2572687864303589,0.18091043829917908,0.18545806407928467,0.21830542385578156,1.0,0.6471124291419983,0.22128774225711823,0.09581723809242249,0.19328105449676514
6.7+,0.012825310230255127,-0.016248224303126335,-0.025044316425919533,-0.1587495654821396,0.026517171412706375,-0.019133858382701874,0.04469085484743118,0.04847878962755203,0.06570333987474442,-0.010144148021936417
earthquake,0.2056967169046402,0.36632633209228516,0.13669699430465698,0.1385292410850525,0.2050093412399292,0.6471124291419983,1.0,0.2380685806274414,0.11552876979112625,0.1966235339641571
",",0.3658004403114319,0.2584017217159271,0.3139454126358032,0.19927625358104706,0.427140474319458,0.21719522774219513,0.25736936926841736,0.4946078956127167,0.044625259935855865,0.31091248989105225
such,0.406057745218277,0.15120133757591248,0.396209716796875,0.29612526297569275,0.2706976532936096,0.15790365636348724,0.13990992307662964,0.3209529519081116,-0.039268333464860916,0.17851735651493073
as,0.41006597876548767,0.12170669436454773,0.3245031237602234,0.26654115319252014,0.39550232887268066,0.11230852454900742,0.11240103840827942,0.3886612355709076,-0.03196994960308075,0.27043893933296204
the,0.6521818041801453,0.2534576952457428,0.312528520822525,0.23457570374011993,0.5829201340675354,0.215829536318779,0.23442360758781433,0.733189046382904,0.18426816165447235,0.22068053483963013
san,0.190042182803154,0.2665966749191284,0.14339520037174225,0.07852418720722198,0.19931553304195404,0.15349841117858887,0.23326025903224945,0.25237205624580383,0.2216506451368332,0.10952327400445938
andreas,0.10325101763010025,0.2827090919017792,0.09929506480693817,0.02168777957558632,0.19553625583648682,0.12711365520954132,0.1741846650838852,0.14636510610580444,-0.02124614082276821,0.06663193553686142
fault,0.25289228558540344,1.0,0.14488519728183746,0.08720025420188904,0.20718993246555328,0.2572687864303589,0.36632633209228516,0.18183428049087524,-0.03158202022314072,0.1623915582895279
",",0.3658004403114319,0.2584017217159271,0.3139454126358032,0.19927625358104706,0.427140474319458,0.21719522774219513,0.25736936926841736,0.4946078956127167,0.044625259935855865,0.31091248989105225
which,1.0,0.25289228558540344,0.41132649779319763,0.44459521770477295,0.56894451379776,0.20928649604320526,0.2056967169046402,0.5011631846427917,0.04111413657665253,0.25814583897590637
can,0.41132649779319763,0.14488519728183746,1.0,0.3511185944080353,0.3915780484676361,0.18091043829917908,0.13669699430465698,0.2603091299533844,-0.03595571964979172,0.3226337134838104
produce,0.44459521770477295,0.08720025420188904,0.3511185944080353,1.0,0.2757846415042877,0.18545806407928467,0.1385292410850525,0.19541172683238983,-0.06241248548030853,0.19229066371917725
a,0.56894451379776,0.20718993246555328,0.3915780484676361,0.2757846415042877,1.0,0.21830542385578156,0.2050093412399292,0.5052502155303955,0.02194441296160221,0.23916715383529663
magnitude,0.20928649604320526,0.2572687864303589,0.18091043829917908,0.18545806407928467,0.21830542385578156,1.0,0.6471124291419983,0.22128774225711823,0.09581723809242249,0.19328105449676514
8.0,0.04111413657665253,-0.03158202022314072,-0.03595571964979172,-0.06241248548030853,0.02194441296160221,0.09581723809242249,0.11552876979112625,0.13222455978393555,1.0000001192092896,-0.1016199067234993
event,0.37649205327033997,0.12974876165390015,0.13369938731193542,0.14498712122440338,0.2635729908943176,0.22685693204402924,0.23827779293060303,0.19878064095973969,0.029046697542071342,0.16076280176639557
.,0.45942068099975586,0.21987590193748474,0.35783761739730835,0.2587496340274811,0.50484299659729,0.2229142040014267,0.25678902864456177,0.5352458953857422,0.05921134725213051,0.4130953550338745
