,where,did,france,lose,a,war,in,the,1950,'s,?
france,0.21451038122177124,0.2138325721025467,1.0000001192092896,0.1079939752817154,0.24802380800247192,0.2819103002548218,0.3812309503555298,0.35517507791519165,-0.20082388818264008,0.024341266602277756,0.15069349110126495
fought,0.19447503983974457,0.244978666305542,0.21981622278690338,0.21711072325706482,0.15341457724571228,0.5800250768661499,0.27511686086654663,0.30367159843444824,-0.06364064663648605,-0.0052594575099647045,0.15288178622722626
and,0.43859338760375977,0.34479495882987976,0.2925812005996704,0.3096105754375458,0.3739250600337982,0.29695844650268555,0.4954058527946472,0.5171257257461548,0.02668602764606476,0.06895173341035843,0.20544172823429108
lost,0.24877341091632843,0.30779293179512024,0.18048784136772156,0.5714375972747803,0.24504798650741577,0.25246182084083557,0.3167656362056732,0.3376973867416382,0.02266175113618374,-0.04458974674344063,0.15261413156986237
a,0.40997210144996643,0.2552328109741211,0.24802380800247192,0.29435214400291443,1.0,0.2368277609348297,0.539380669593811,0.5829201340675354,0.059626732021570206,0.04866964742541313,0.23916715383529663
bitter,0.2112153023481369,0.20217753946781158,0.13456206023693085,0.23974020779132843,0.21662792563438416,0.31072911620140076,0.20457421243190765,0.20849020779132843,0.005819140933454037,0.03376412391662598,0.14148615300655365
war,0.2167234867811203,0.27422013878822327,0.2819103002548218,0.20160554349422455,0.2368277609348297,1.0000001192092896,0.29904094338417053,0.366199791431427,-0.018897494301199913,0.06856801360845566,0.15510529279708862
in,0.5344807505607605,0.2593238651752472,0.3812309503555298,0.26334479451179504,0.539380669593811,0.29904094338417053,1.0,0.6662389636039734,-0.03321470692753792,-0.037580832839012146,0.20430970191955566
vietnam,0.11857794225215912,0.16744226217269897,0.297954261302948,0.11757317185401917,0.19540195167064667,0.43565934896469116,0.20690034329891205,0.20923440158367157,-0.00021307103452272713,-0.009815551340579987,0.20465075969696045
in,0.5344807505607605,0.2593238651752472,0.3812309503555298,0.26334479451179504,0.539380669593811,0.29904094338417053,1.0,0.6662389636039734,-0.03321470692753792,-0.037580832839012146,0.20430970191955566
the,0.5003893971443176,0.34736719727516174,0.35517507791519165,0.29030492901802063,0.5829201340675354,0.366199791431427,0.6662389636039734,1.0,-0.046802785247564316,-0.01540423184633255,0.22068053483963013
1950s,0.3467375636100769,0.3492051362991333,0.021539323031902313,0.29012927412986755,0.34951528906822205,0.16841177642345428,0.26312577724456787,0.3424292504787445,0.43434226512908936,-0.019477833062410355,0.16557677090168
.,0.41390106081962585,0.35288307070732117,0.33719199895858765,0.28971824049949646,0.50484299659729,0.3000848889350891,0.5591574311256409,0.5934505462646484,0.05352208390831947,-0.003708066651597619,0.4130953550338745
