,what,is,the,foundation,for,separation,results,within,complexity,classes,?
the,0.42745697498321533,0.5823672413825989,1.0,0.23942872881889343,0.4739971458911896,0.3541176915168762,0.2863679826259613,0.39827480912208557,0.21171598136425018,0.21469499170780182,0.22068053483963013
time,0.36319252848625183,0.25187405943870544,0.43061500787734985,0.187504380941391,0.3992156386375427,0.25421494245529175,0.28774821758270264,0.2541442811489105,0.2680857479572296,0.19742587208747864,0.27391523122787476
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.19384855031967163,0.5064792633056641,0.32795748114585876,0.21643486618995667,0.35049548745155334,0.2520415782928467,0.2892279624938965,0.20544172823429108
space,0.20525942742824554,0.18578536808490753,0.24495907127857208,0.21025456488132477,0.24232043325901031,0.24479611217975616,0.12477017194032669,0.24413608014583588,0.2585889995098114,0.12879815697669983,0.1885536164045334
hierarchy,0.2107066512107849,0.1292576938867569,0.22604632377624512,0.1435949057340622,0.09427861869335175,0.21014758944511414,0.19069954752922058,0.21993227303028107,0.35947033762931824,0.26190513372421265,0.23208312690258026
theorems,0.29447367787361145,0.2505685091018677,0.2027275562286377,0.24160036444664001,0.20410145819187164,0.26684269309043884,0.3131635785102844,0.13656243681907654,0.4739520847797394,0.1884738951921463,0.19396957755088806
form,0.15868011116981506,0.3218395411968231,0.29286009073257446,0.20545709133148193,0.2342945635318756,0.34765124320983887,0.24050475656986237,0.26019302010536194,0.21649807691574097,0.17602187395095825,0.1463010311126709
the,0.42745697498321533,0.5823672413825989,1.0,0.23942872881889343,0.4739971458911896,0.3541176915168762,0.2863679826259613,0.39827480912208557,0.21171598136425018,0.21469499170780182,0.22068053483963013
basis,0.27055948972702026,0.2811574637889862,0.2758672833442688,0.328779399394989,0.34436357021331787,0.29412007331848145,0.3131909966468811,0.24374732375144958,0.3433057963848114,0.2064809799194336,0.14255106449127197
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.2412533462047577,0.9999999403953552,0.24599413573741913,0.2949832081794739,0.3087334632873535,0.27243003249168396,0.20599915087223053,0.264628142118454
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.1436394900083542,0.3906237483024597,0.20388014614582062,0.17941884696483612,0.2788230776786804,0.22505328059196472,0.21616819500923157,0.2107497900724411
separation,0.31917139887809753,0.22165334224700928,0.3541176915168762,0.18054461479187012,0.24599413573741913,1.0000001192092896,0.23203836381435394,0.3166431784629822,0.2832062840461731,0.2283773124217987,0.10689301043748856
results,0.2425258755683899,0.20523308217525482,0.2863679826259613,0.09807013720273972,0.2949832081794739,0.23203836381435394,1.0,0.18241780996322632,0.33474618196487427,0.16711322963237762,0.21797199547290802
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26611822843551636,0.4185989499092102,0.39037173986434937,0.19509612023830414,0.39594778418540955,0.23338180780410767,0.19099700450897217,0.1826142966747284
complexity,0.33747240900993347,0.2541271150112152,0.21171598136425018,0.20740196108818054,0.27243003249168396,0.2832062840461731,0.33474618196487427,0.2452552616596222,1.0,0.29931116104125977,0.23062916100025177
classes,0.20746955275535583,0.13611210882663727,0.21469499170780182,0.05587927624583244,0.20599915087223053,0.2283773124217987,0.16711322963237762,0.22242958843708038,0.29931116104125977,1.0000001192092896,0.14397528767585754
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.26203909516334534,0.4726039469242096,0.2938646674156189,0.2516312897205353,0.2984525263309479,0.21340465545654297,0.24851149320602417,0.4130953550338745
