,what,fields,may,pharmacy,informatics,also,work,in,?
pharmacy,0.21638189256191254,0.20299336314201355,0.18081745505332947,1.0,0.3000932037830353,0.2587379217147827,0.2666398286819458,0.22082467377185822,0.1355620175600052
informaticists,0.36629876494407654,0.2805154621601105,0.27940383553504944,0.18384534120559692,0.716569721698761,0.2794826328754425,0.3527553975582123,0.2249143123626709,0.2616894543170929
work,0.3762225806713104,0.2814047932624817,0.23467938601970673,0.2666398286819458,0.31668129563331604,0.3541320264339447,1.0,0.2753349542617798,0.2621155381202698
in,0.30808621644973755,0.19709080457687378,0.3424151837825775,0.22082467377185822,0.20717638731002808,0.5073733329772949,0.2753349542617798,1.0,0.20430970191955566
many,0.36131182312965393,0.23597875237464905,0.29758191108703613,0.15472638607025146,0.21393340826034546,0.6258217096328735,0.3578229546546936,0.41474202275276184,0.2124512493610382
practice,0.2749895751476288,0.21402029693126678,0.21000540256500244,0.2685104310512543,0.22705908119678497,0.2666330635547638,0.3102162182331085,0.24572531878948212,0.21386858820915222
areas,0.23739881813526154,0.3133196234703064,0.192206010222435,0.18458442389965057,0.20338065922260284,0.343683123588562,0.19584479928016663,0.33029478788375854,0.1273590475320816
of,0.33290785551071167,0.19633589684963226,0.26447007060050964,0.18226979672908783,0.30146297812461853,0.4924938678741455,0.23473061621189117,0.5696388483047485,0.1826142966747284
pharmacy,0.21638189256191254,0.20299336314201355,0.18081745505332947,1.0,0.3000932037830353,0.2587379217147827,0.2666398286819458,0.22082467377185822,0.1355620175600052
",",0.3087472915649414,0.2786177098751068,0.5007920861244202,0.19815339148044586,0.2842709422111511,0.4717654287815094,0.3283594250679016,0.5201468467712402,0.31091248989105225
however,0.4480680823326111,0.21784788370132446,0.34008944034576416,0.18722471594810486,0.21812665462493896,0.5562808513641357,0.33136796951293945,0.3982149362564087,0.2152075469493866
",",0.3087472915649414,0.2786177098751068,0.5007920861244202,0.19815339148044586,0.2842709422111511,0.4717654287815094,0.3283594250679016,0.5201468467712402,0.31091248989105225
they,0.4431931674480438,0.2063075304031372,0.3371005356311798,0.22252966463565826,0.18335787951946259,0.5272021293640137,0.2948459982872009,0.4330179989337921,0.2753053903579712
may,0.25739946961402893,0.19828727841377258,0.9999998807907104,0.18081745505332947,0.23484346270561218,0.3555105924606323,0.23467938601970673,0.3424151837825775,0.2768254578113556
also,0.42747777700424194,0.20551657676696777,0.3555105924606323,0.2587379217147827,0.283464640378952,1.0000001192092896,0.3541320264339447,0.5073733329772949,0.21848613023757935
work,0.3762225806713104,0.2814047932624817,0.23467938601970673,0.2666398286819458,0.31668129563331604,0.3541320264339447,1.0,0.2753349542617798,0.2621155381202698
in,0.30808621644973755,0.19709080457687378,0.3424151837825775,0.22082467377185822,0.20717638731002808,0.5073733329772949,0.2753349542617798,1.0,0.20430970191955566
information,0.35283446311950684,0.20380301773548126,0.28041088581085205,0.1674494743347168,0.8111563324928284,0.2755412459373474,0.3344556987285614,0.20385970175266266,0.24875912070274353
technology,0.1940862536430359,0.2558861970901489,0.1662176102399826,0.2856297492980957,0.5002923011779785,0.26604264974594116,0.25128573179244995,0.24215441942214966,0.11564995348453522
departments,0.1946287304162979,0.17705385386943817,0.12955912947654724,0.291841983795166,0.26841527223587036,0.23213258385658264,0.18295980989933014,0.2660248577594757,0.11303292214870453
or,0.33867141604423523,0.25209224224090576,0.399771511554718,0.2103249877691269,0.24890629947185516,0.46319106221199036,0.289409875869751,0.3586423695087433,0.32389625906944275
for,0.3017193675041199,0.2648622393608093,0.29255861043930054,0.1657865047454834,0.2634689509868622,0.5373267531394958,0.4087657630443573,0.4322226941585541,0.264628142118454
healthcare,0.24760322272777557,0.20577697455883026,0.25246474146842957,0.4559099078178406,0.3594595193862915,0.2863154709339142,0.31089937686920166,0.19080579280853271,0.21651197969913483
information,0.35283446311950684,0.20380301773548126,0.28041088581085205,0.1674494743347168,0.8111563324928284,0.2755412459373474,0.3344556987285614,0.20385970175266266,0.24875912070274353
technology,0.1940862536430359,0.2558861970901489,0.1662176102399826,0.2856297492980957,0.5002923011779785,0.26604264974594116,0.25128573179244995,0.24215441942214966,0.11564995348453522
vendor,0.12513850629329681,0.1849234253168106,0.10448121279478073,0.2791275680065155,0.10857243835926056,0.17209382355213165,0.19541436433792114,0.19344733655452728,0.16733995079994202
companies,0.20801754295825958,0.18825575709342957,0.18608416616916656,0.25551676750183105,0.21347063779830933,0.25426486134529114,0.2092597633600235,0.2321794629096985,0.14365637302398682
.,0.3567904531955719,0.23414810001850128,0.35826805233955383,0.23916830122470856,0.2241586595773697,0.49166762828826904,0.33121398091316223,0.5591574311256409,0.4130953550338745
