,what,may,a,charter,school,require,that,their,teachers,meet,the,standards,to,be,highly,qualified,by,?
many,0.36131182312965393,0.29758191108703613,0.2872205972671509,0.17963452637195587,0.20931920409202576,0.26421883702278137,0.5391656160354614,0.4574248492717743,0.29123616218566895,0.23646774888038635,0.4335206151008606,0.2810951769351959,0.40243685245513916,0.3961109519004822,0.3362792730331421,0.166122704744339,0.3409687578678131,0.2124512493610382
charter,0.13714581727981567,0.1369447112083435,0.20456433296203613,1.0000001192092896,0.30727583169937134,0.10371016710996628,0.2003634124994278,0.17029248178005219,0.2678839862346649,0.15212726593017578,0.26436546444892883,0.24932102859020233,0.2440456748008728,0.12895840406417847,0.0698140487074852,0.22703364491462708,0.1632666289806366,0.14220231771469116
schools,0.1820785105228424,0.1841869205236435,0.2118925303220749,0.3317524790763855,0.7602541446685791,0.23170095682144165,0.2649109661579132,0.22621867060661316,0.5533654689788818,0.15964801609516144,0.22905772924423218,0.2922445237636566,0.2362271547317505,0.21943484246730804,0.1664852797985077,0.26473402976989746,0.1415957361459732,0.18349280953407288
do,0.4609605669975281,0.28230178356170654,0.26237669587135315,0.11032865941524506,0.13649480044841766,0.44236746430397034,0.44533252716064453,0.35424983501434326,0.28984060883522034,0.27747654914855957,0.30239659547805786,0.26735010743141174,0.38876664638519287,0.36575672030448914,0.21016843616962433,0.26909732818603516,0.1481526494026184,0.4093979299068451
not,0.5449194312095642,0.39885732531547546,0.3791346549987793,0.19648022949695587,0.17474853992462158,0.4402938187122345,0.6600887179374695,0.4368778169155121,0.22176165878772736,0.37138307094573975,0.4310511648654938,0.33948221802711487,0.5149973034858704,0.5788898468017578,0.35518497228622437,0.31063079833984375,0.291808545589447,0.41942933201789856
require,0.2487315833568573,0.1945846825838089,0.24720792472362518,0.10371016710996628,0.08515637367963791,0.9999998807907104,0.3625117540359497,0.29953333735466003,0.16695812344551086,0.25717708468437195,0.17356595396995544,0.41525059938430786,0.29503753781318665,0.40844497084617615,0.26293450593948364,0.2688324451446533,0.13001477718353271,0.2463286817073822
that,0.6297725439071655,0.4234136641025543,0.47537946701049805,0.2003634124994278,0.2190830111503601,0.3625117540359497,1.0,0.4266771972179413,0.24071024358272552,0.32301846146583557,0.5473989248275757,0.3272990882396698,0.5436353087425232,0.6036020517349243,0.33355817198753357,0.29058706760406494,0.37496164441108704,0.32716336846351624
their,0.35142919421195984,0.2552892565727234,0.29698723554611206,0.17029248178005219,0.15657421946525574,0.29953333735466003,0.4266771972179413,1.0,0.2814970314502716,0.2155275195837021,0.516537070274353,0.21969735622406006,0.44619059562683105,0.3200586438179016,0.224153071641922,0.2161322832107544,0.3242124021053314,0.1898253709077835
teachers,0.2526462972164154,0.21395352482795715,0.2509842813014984,0.2678839862346649,0.5544193387031555,0.16695812344551086,0.24071024358272552,0.2814970314502716,1.0,0.20672763884067535,0.22025763988494873,0.2584725022315979,0.2668606638908386,0.20256873965263367,0.1533408761024475,0.26602065563201904,0.20573484897613525,0.19522249698638916
be,0.3929833769798279,0.45514434576034546,0.39883795380592346,0.12895840406417847,0.16095811128616333,0.40844497084617615,0.6036020517349243,0.3200586438179016,0.20256873965263367,0.26221057772636414,0.4248143136501312,0.2821919918060303,0.4972836375236511,1.0,0.3787047564983368,0.214191272854805,0.43158695101737976,0.3324260413646698
