,what,planet,did,astrophysisist,predict,to,explain,the,problems,with,mercury,?
some,0.4491020441055298,0.18883998692035675,0.42553430795669556,0.29241815209388733,0.2639079689979553,0.4636894166469574,0.35821396112442017,0.4566698372364044,0.3437584936618805,0.3924338221549988,0.2234807163476944,0.2562315762042999
astrophysicists,0.2922104299068451,0.33847367763519287,0.20720413327217102,0.8180763721466064,0.41811662912368774,0.23217107355594635,0.3457336723804474,0.2533452808856964,0.22504140436649323,0.17207324504852295,0.26182252168655396,0.16886627674102783
predicted,0.24279139935970306,0.23228725790977478,0.2835201323032379,0.3324697017669678,0.8482622504234314,0.22500376403331757,0.36247724294662476,0.18655166029930115,0.1903838813304901,0.1267848163843155,0.19199596345424652,0.15010029077529907
the,0.42745697498321533,0.2470240592956543,0.34736719727516174,0.33506497740745544,0.18473787605762482,0.535392165184021,0.24376994371414185,1.0,0.2659202516078949,0.4223487675189972,0.2059478461742401,0.22068053483963013
existence,0.28166496753692627,0.24455344676971436,0.1860221028327942,0.3040848970413208,0.32442227005958557,0.2453129142522812,0.33624202013015747,0.3168535828590393,0.2168923020362854,0.18640920519828796,0.14946354925632477,0.17803658545017242
of,0.33290785551071167,0.19911958277225494,0.2513895630836487,0.330311119556427,0.1872035264968872,0.41548454761505127,0.20952273905277252,0.733189046382904,0.2450421154499054,0.41827285289764404,0.19711527228355408,0.1826142966747284
another,0.4190070629119873,0.2563668489456177,0.29175329208374023,0.27248480916023254,0.19299587607383728,0.48769932985305786,0.3415330648422241,0.5019711852073669,0.2314843386411667,0.359900563955307,0.21381962299346924,0.295511931180954
planet,0.2183026820421219,1.0,0.14096175134181976,0.3953861594200134,0.2414175271987915,0.2017485797405243,0.25781023502349854,0.2470240592956543,0.1561128795146942,0.1515527218580246,0.3332926332950592,0.16979767382144928
(,0.2411840260028839,0.19198273122310638,0.18979617953300476,0.2658643126487732,0.0990152433514595,0.30882009863853455,0.21133911609649658,0.33289089798927307,0.1654568463563919,0.29503780603408813,0.19685211777687073,0.40561532974243164
vulcan,0.14228825271129608,0.31518667936325073,0.11187712103128433,0.2507953345775604,0.20018009841442108,0.1650737226009369,0.20263206958770752,0.2450462281703949,0.11617585271596909,0.1621888130903244,0.29363834857940674,0.10333476960659027
),0.26259949803352356,0.1813979595899582,0.18584993481636047,0.27402418851852417,0.09710536897182465,0.31236231327056885,0.21432144939899445,0.3456730246543884,0.17140987515449524,0.3069596290588379,0.1948368102312088,0.42300865054130554
that,0.6297725439071655,0.2861461639404297,0.47518548369407654,0.33744192123413086,0.4030586779117584,0.5436353087425232,0.458700954914093,0.5473989248275757,0.3758413791656494,0.4154358208179474,0.2205929309129715,0.32716336846351624
would,0.45766422152519226,0.2633593678474426,0.6268245577812195,0.2685721218585968,0.32405316829681396,0.5965728163719177,0.34041163325309753,0.4133751392364502,0.30150145292282104,0.38372042775154114,0.233537495136261,0.37178951501846313
explain,0.46946078538894653,0.25781023502349854,0.2568776309490204,0.3403409719467163,0.4773302972316742,0.3735564351081848,1.0,0.24376994371414185,0.31764596700668335,0.2585213780403137,0.17129723727703094,0.365981787443161
the,0.42745697498321533,0.2470240592956543,0.34736719727516174,0.33506497740745544,0.18473787605762482,0.535392165184021,0.24376994371414185,1.0,0.2659202516078949,0.4223487675189972,0.2059478461742401,0.22068053483963013
discrepancies,0.3495631814002991,0.19743573665618896,0.262435644865036,0.2569352686405182,0.36877453327178955,0.30459535121917725,0.3759870231151581,0.2530536949634552,0.34055590629577637,0.19280734658241272,0.1682964414358139,0.2323538362979889
;,0.10986888408660889,0.11179349571466446,0.10727239400148392,0.10704556107521057,-0.023672664538025856,0.0979827418923378,0.10425672680139542,0.09152708947658539,0.010691815055906773,0.12944702804088593,0.05008261650800705,0.10349778085947037
however,0.4480680823326111,0.22209696471691132,0.5603718757629395,0.3220691680908203,0.4454596936702728,0.5474119186401367,0.3494904637336731,0.49814513325691223,0.3676249086856842,0.44603243470191956,0.26293104887008667,0.2152075469493866
",",0.3087472915649414,0.19326971471309662,0.3015086054801941,0.3336697220802307,0.13827680051326752,0.44245919585227966,0.22081054747104645,0.4933079481124878,0.2596952021121979,0.4120737314224243,0.24557945132255554,0.31091248989105225
despite,0.1825345903635025,0.17088864743709564,0.38115930557250977,0.30495381355285645,0.22342528402805328,0.3584847152233124,0.1995893269777298,0.3172689974308014,0.28814220428466797,0.3652958273887634,0.17301875352859497,0.14350546896457672
some,0.4491020441055298,0.18883998692035675,0.42553430795669556,0.29241815209388733,0.2639079689979553,0.4636894166469574,0.35821396112442017,0.4566698372364044,0.3437584936618805,0.3924338221549988,0.2234807163476944,0.2562315762042999
early,0.2454567849636078,0.1788427084684372,0.32047218084335327,0.2869567275047302,0.21798934042453766,0.24557004868984222,0.2028375118970871,0.34442198276519775,0.23053717613220215,0.23919914662837982,0.19597449898719788,0.15272949635982513
indications,0.271745502948761,0.2188059538602829,0.2539127767086029,0.2776329815387726,0.32545343041419983,0.2605403959751129,0.32458943128585815,0.3259499669075012,0.3197987675666809,0.2848258912563324,0.258253812789917,0.23636196553707123
",",0.3087472915649414,0.19326971471309662,0.3015086054801941,0.3336697220802307,0.13827680051326752,0.44245919585227966,0.22081054747104645,0.4933079481124878,0.2596952021121979,0.4120737314224243,0.24557945132255554,0.31091248989105225
no,0.339326947927475,0.13954104483127594,0.23735837638378143,0.18625470995903015,0.17959776520729065,0.30015695095062256,0.26244744658470154,0.3461136817932129,0.28842693567276,0.24678650498390198,0.16495917737483978,0.32165053486824036
such,0.23989605903625488,0.15203160047531128,0.24497397243976593,0.23303267359733582,0.2645527720451355,0.2871878743171692,0.2614773213863373,0.3575236201286316,0.27856141328811646,0.3346101939678192,0.18309642374515533,0.17851735651493073
planet,0.2183026820421219,1.0,0.14096175134181976,0.3953861594200134,0.2414175271987915,0.2017485797405243,0.25781023502349854,0.2470240592956543,0.1561128795146942,0.1515527218580246,0.3332926332950592,0.16979767382144928
could,0.4188697934150696,0.22997207939624786,0.6308382749557495,0.23468641936779022,0.30026212334632874,0.5461788773536682,0.3294371962547302,0.35393214225769043,0.31675755977630615,0.32055896520614624,0.2039705365896225,0.3411986827850342
be,0.3929833769798279,0.1942632794380188,0.22657383978366852,0.21989072859287262,0.3210161328315735,0.4972836375236511,0.3852003514766693,0.4248143136501312,0.2817195653915405,0.36101722717285156,0.21361874043941498,0.3324260413646698
found,0.1796332150697708,0.19244484603405,0.15878844261169434,0.22459296882152557,0.17846165597438812,0.25225648283958435,0.21592654287815094,0.3452354073524475,0.1616072952747345,0.2364431470632553,0.21073639392852783,0.16790300607681274
.,0.3567904531955719,0.24422165751457214,0.35288307070732117,0.3208881914615631,0.20773431658744812,0.4645031690597534,0.2499912530183792,0.5934505462646484,0.2602308988571167,0.4446153938770294,0.22198538482189178,0.4130953550338745
