,what,does,the,inner,mitochondria,membrane,do,?
this,0.5489566326141357,0.4166489243507385,0.6274310946464539,0.18882569670677185,0.34739696979522705,0.25010499358177185,0.34963881969451904,0.3155723512172699
is,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.21686768531799316,0.21569068729877472,0.21774554252624512,0.30895981192588806,0.22961433231830597
not,0.5449194312095642,0.6355478763580322,0.4310511648654938,0.23233361542224884,0.335567831993103,0.24928121268749237,0.6619802713394165,0.41942933201789856
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.1906806230545044,0.25040075182914734,0.18843622505664825,0.26237669587135315,0.23916715383529663
valid,0.30313223600387573,0.31341153383255005,0.22185127437114716,0.09192898869514465,0.249668687582016,0.1730426400899887,0.3101885914802551,0.27800852060317993
comparison—the,0.31380191445350647,0.2331729382276535,0.34560853242874146,0.1791231781244278,0.28926923871040344,0.24335113167762756,0.2462131232023239,0.2583230435848236
inner,0.226011261343956,0.15658505260944366,0.2790820598602295,0.9999999403953552,0.2880794405937195,0.4012722969055176,0.16323940455913544,0.10395674407482147
mitochondria,0.26347023248672485,0.26638317108154297,0.22119471430778503,0.2880794405937195,1.0,0.6007410883903503,0.3216342031955719,0.20248937606811523
membrane,0.1647152304649353,0.23522153496742249,0.21814598143100739,0.4012722969055176,0.6007410883903503,0.9999999403953552,0.2031068652868271,0.18908235430717468
is,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.21686768531799316,0.21569068729877472,0.21774554252624512,0.30895981192588806,0.22961433231830597
used,0.27546408772468567,0.3498048484325409,0.3718377649784088,0.1207369714975357,0.21966484189033508,0.19396169483661652,0.3054939806461334,0.22430120408535004
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.14904558658599854,0.2363239973783493,0.17791007459163666,0.38876664638519287,0.29463258385658264
run,0.2294815480709076,0.22891679406166077,0.27883726358413696,0.06200233846902847,0.12965649366378784,0.11463317275047302,0.3095013499259949,0.17904110252857208
proton,0.16833613812923431,0.21461854875087738,0.18950580060482025,0.11105147004127502,0.4106566905975342,0.4043787717819214,0.15797756612300873,0.09540460258722305
pumps,0.1776767075061798,0.2576867640018463,0.2645151913166046,0.22538956999778748,0.30763107538223267,0.37572285532951355,0.23086240887641907,0.17318885028362274
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.27754151821136475,0.21513858437538147,0.233199805021286,0.276123583316803,0.20544172823429108
carry,0.22239743173122406,0.17188382148742676,0.26752355694770813,0.14379790425300598,0.26940977573394775,0.31186413764953613,0.3395760953426361,0.17171701788902283
out,0.3633197546005249,0.24808503687381744,0.39404502511024475,0.17487284541130066,0.213119775056839,0.2351316213607788,0.30558764934539795,0.22020699083805084
oxidative,0.21494156122207642,0.23882338404655457,0.09804569184780121,0.15120898187160492,0.3596901297569275,0.42451122403144836,0.24154722690582275,0.1729019284248352
phosphorylation,0.25527045130729675,0.3249119222164154,0.2611441910266876,0.2876773178577423,0.5508406758308411,0.5507186651229858,0.30491316318511963,0.21997706592082977
across,0.24809791147708893,0.17146113514900208,0.3816230297088623,0.23650604486465454,0.16841016709804535,0.2570403814315796,0.10507063567638397,0.17034576833248138
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.14904558658599854,0.2363239973783493,0.17791007459163666,0.38876664638519287,0.29463258385658264
generate,0.26186254620552063,0.281585693359375,0.264517217874527,0.09776555001735687,0.3555046319961548,0.2761073410511017,0.31660905480384827,0.28300654888153076
atp,0.1845729500055313,0.14583121240139008,0.22016242146492004,0.10913141816854477,0.4699406921863556,0.40491798520088196,0.18263812363147736,0.17643076181411743
energy,0.190252885222435,0.23927782475948334,0.26756542921066284,0.18392378091812134,0.3864597976207733,0.362936407327652,0.21968168020248413,0.14860127866268158
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.22710131108760834,0.2463228851556778,0.20517759025096893,0.3613996207714081,0.4130953550338745
