,what,does,the,word,prime,generally,suggest,?
generally,0.40614598989486694,0.38465455174446106,0.41466525197029114,0.288411021232605,0.10912496596574783,1.0,0.3142550587654114,0.23411904275417328
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.24605005979537964,0.2565026581287384,0.29679131507873535,0.2924377918243408,0.31091248989105225
``,0.008517155423760414,0.06539655476808548,0.029072100296616554,0.12403237819671631,0.20947174727916718,0.10291264206171036,0.09577585011720657,0.0685480609536171
prime,0.15586113929748535,0.19604897499084473,0.19960100948810577,0.1831001490354538,1.0,0.10912496596574783,0.11547097563743591,0.11276303976774216
'',0.08143015950918198,-0.004023602232336998,0.041273195296525955,0.05225009098649025,-0.030181478708982468,0.04905460402369499,0.08810777962207794,0.018684765323996544
indicates,0.22214530408382416,0.34224069118499756,0.29467737674713135,0.24337446689605713,0.038385048508644104,0.33102455735206604,0.3352645933628082,0.21375471353530884
minimality,0.3125346004962921,0.2529756724834442,0.2044919729232788,0.22297222912311554,0.2378757894039154,0.32179489731788635,0.2592664361000061,0.2670811414718628
or,0.33867141604423523,0.4248845875263214,0.4174870550632477,0.39034852385520935,0.12635108828544617,0.5280534625053406,0.3063017725944519,0.32389625906944275
indecomposability,0.3518138527870178,0.31602931022644043,0.31374651193618774,0.17094944417476654,0.23026038706302643,0.3284371495246887,0.3059217631816864,0.29919639229774475
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.24605005979537964,0.2565026581287384,0.29679131507873535,0.2924377918243408,0.31091248989105225
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.19815877079963684,0.18097394704818726,0.28190043568611145,0.21134044229984283,0.20430970191955566
an,0.2821882665157318,0.29477936029434204,0.4207492768764496,0.20989613234996796,0.08209051191806793,0.26753097772598267,0.22040964663028717,0.19793890416622162
appropriate,0.29508692026138306,0.2653670907020569,0.27732113003730774,0.2263660430908203,0.13025633990764618,0.33721622824668884,0.3425942063331604,0.2732597291469574
sense,0.3673125207424164,0.3114851117134094,0.23180550336837769,0.32930701971054077,0.10560635477304459,0.3216627240180969,0.3395960032939911,0.25268280506134033
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.13155406713485718,0.17658381164073944,0.3124077022075653,0.23171280324459076,0.4130953550338745
