,who,wanted,to,acquire,patents,an,ac,motor,.
engineers,0.24476072192192078,0.2962856590747833,0.2772461175918579,0.24046151340007782,0.377399742603302,0.1647762507200241,0.18308967351913452,0.23705752193927765,0.14813724160194397
working,0.32452359795570374,0.2744632363319397,0.28215980529785156,0.21780748665332794,0.19825351238250732,0.18882836401462555,0.13211634755134583,0.21786141395568848,0.28468647599220276
for,0.37110671401023865,0.2874828279018402,0.4451248347759247,0.18169787526130676,0.2654845714569092,0.3236706852912903,0.13663122057914734,0.19755128026008606,0.4726039469242096
the,0.3733934462070465,0.3011050522327423,0.535392165184021,0.19284681975841522,0.20236903429031372,0.4207492768764496,0.11894276738166809,0.26024484634399414,0.5934505462646484
westinghouse,0.23585543036460876,0.16483443975448608,0.22176946699619293,0.2699699103832245,0.39605584740638733,0.24657122790813446,0.2760004699230194,0.3054238557815552,0.3097001910209656
electric,0.19416284561157227,0.13867218792438507,0.2115597426891327,0.13114991784095764,0.24766060709953308,0.13662607967853546,0.4138762056827545,0.3861134946346283,0.23612159490585327
&,0.09244576841592789,0.1106310784816742,0.1254875510931015,0.12909053266048431,0.13443568348884583,0.051076289266347885,0.12494636327028275,0.0718904361128807,0.16452857851982117
manufacturing,0.08808956295251846,0.1820588856935501,0.22432498633861542,0.2295829802751541,0.44904690980911255,0.1065872386097908,0.13295158743858337,0.3815072774887085,0.2327806055545807
company,0.2383776307106018,0.19701100885868073,0.24903783202171326,0.3454020023345947,0.3766961097717285,0.13791987299919128,0.0813010185956955,0.284967839717865,0.266353577375412
reported,0.2103302925825119,0.21228069067001343,0.20339804887771606,0.17529213428497314,0.1487409472465515,0.16775217652320862,0.07392142713069916,0.18167223036289215,0.254204124212265
to,0.42656609416007996,0.47293567657470703,1.0,0.19960732758045197,0.2135588526725769,0.3138085603713989,0.13302072882652283,0.2615114748477936,0.4645031690597534
george,0.25805044174194336,0.15358950197696686,0.17226167023181915,0.10554817318916321,0.18151840567588806,0.1626696139574051,0.13508695363998413,0.0979684591293335,0.26540547609329224
westinghouse,0.23585543036460876,0.16483443975448608,0.22176946699619293,0.2699699103832245,0.39605584740638733,0.24657122790813446,0.2760004699230194,0.3054238557815552,0.3097001910209656
that,0.45444270968437195,0.3979945480823517,0.5436353087425232,0.26440444588661194,0.2503669261932373,0.365763783454895,0.10693444311618805,0.22301049530506134,0.4460422694683075
tesla,0.1520961970090866,0.09922599792480469,0.17548894882202148,0.184104323387146,0.352291464805603,0.13714656233787537,0.31766265630722046,0.3617369830608368,0.17949827015399933
had,0.36173108220100403,0.5502877235412598,0.37984350323677063,0.23584787547588348,0.17608098685741425,0.22327841818332672,0.09857317060232162,0.1783738136291504,0.37348684668540955
a,0.36608949303627014,0.25702154636383057,0.45503583550453186,0.17597171664237976,0.2283138483762741,0.44552403688430786,0.11213719099760056,0.23198452591896057,0.50484299659729
