,what,fields,of,study,were,advanced,during,the,yuan,?
advances,0.2105628252029419,0.2755454182624817,0.27895745635032654,0.3363964259624481,0.22954295575618744,0.7087223529815674,0.30168619751930237,0.29882919788360596,0.18174171447753906,0.12414493411779404
were,0.22298263013362885,0.13715113699436188,0.34038281440734863,0.20556800067424774,1.0000001192092896,0.1871768683195114,0.4064035415649414,0.3906462490558624,0.19657303392887115,0.17890112102031708
realized,0.3459920883178711,0.06544179469347,0.2313692569732666,0.216456338763237,0.35640621185302734,0.2478986233472824,0.31351736187934875,0.27818870544433594,0.15212175250053406,0.15594157576560974
in,0.30808621644973755,0.19709080457687378,0.5696388483047485,0.2875489294528961,0.3815755248069763,0.2200557142496109,0.4627237319946289,0.6662389636039734,0.14850552380084991,0.20430970191955566
the,0.42745697498321533,0.16397054493427277,0.733189046382904,0.2533665597438812,0.3906462490558624,0.2635994255542755,0.4838213622570038,1.0,0.2548272907733917,0.22068053483963013
fields,0.14054246246814728,0.9999999403953552,0.19633589684963226,0.2559139132499695,0.13715113699436188,0.19310490787029266,0.08558263629674911,0.16397054493427277,0.059469062834978104,0.1411406248807907
of,0.33290785551071167,0.19633589684963226,1.0,0.29377859830856323,0.34038281440734863,0.2752973437309265,0.3869180977344513,0.733189046382904,0.22696353495121002,0.1826142966747284
travel,0.19747209548950195,0.1208147257566452,0.23167268931865692,0.2921222150325775,0.15855152904987335,0.25658175349235535,0.22182920575141907,0.2857808768749237,0.13333545625209808,0.10014409571886063
literature,0.22505109012126923,0.2688843607902527,0.25150051712989807,0.33928221464157104,0.1484292596578598,0.21574069559574127,0.17980065941810608,0.2611817419528961,0.13743741810321808,0.2043706774711609
",",0.3087472915649414,0.2786177098751068,0.4946078956127167,0.26425549387931824,0.36755475401878357,0.27731016278266907,0.3225448727607727,0.4933079481124878,0.20958951115608215,0.31091248989105225
cartography,0.2055027037858963,0.23888517916202545,0.297351211309433,0.3281046152114868,0.18552330136299133,0.27836185693740845,0.15927214920520782,0.22396287322044373,0.2266729176044464,0.1395672708749771
",",0.3087472915649414,0.2786177098751068,0.4946078956127167,0.26425549387931824,0.36755475401878357,0.27731016278266907,0.3225448727607727,0.4933079481124878,0.20958951115608215,0.31091248989105225
geography,0.28860387206077576,0.25909748673439026,0.29454779624938965,0.3409443199634552,0.10399941354990005,0.20557862520217896,0.12880346179008484,0.20259734988212585,0.09965101629495621,0.17832398414611816
",",0.3087472915649414,0.2786177098751068,0.4946078956127167,0.26425549387931824,0.36755475401878357,0.27731016278266907,0.3225448727607727,0.4933079481124878,0.20958951115608215,0.31091248989105225
and,0.31309178471565247,0.3074205219745636,0.5116966962814331,0.300253301858902,0.42175528407096863,0.23157277703285217,0.36462149024009705,0.5171257257461548,0.22359056770801544,0.20544172823429108
scientific,0.18922170996665955,0.25136759877204895,0.2751598358154297,0.42261233925819397,0.15159554779529572,0.3070940375328064,0.15964287519454956,0.24748262763023376,0.09759203344583511,0.16215236485004425
education,0.19940856099128723,0.173313170671463,0.3015166223049164,0.42013534903526306,0.11286173015832901,0.29200273752212524,0.17693781852722168,0.23982903361320496,0.13481293618679047,0.18067774176597595
.,0.3567904531955719,0.23414810001850128,0.5352458953857422,0.23432257771492004,0.3378238379955292,0.2461739033460617,0.3485563397407532,0.5934505462646484,0.17233723402023315,0.4130953550338745
