,what,year,did,the,denver,broncos,secure,a,super,bowl,title,for,the,third,time,?
super,0.13651713728904724,0.20762673020362854,0.16038043797016144,0.21959073841571808,0.24589714407920837,0.36141330003738403,0.1501675248146057,0.26005712151527405,1.0000001192092896,0.4848237931728363,0.22950704395771027,0.22938419878482819,0.21959073841571808,0.25203296542167664,0.18677926063537598,0.166326642036438
bowl,0.15942467749118805,0.22878921031951904,0.18569406867027283,0.21576224267482758,0.2861449718475342,0.4351775348186493,0.11515603959560394,0.19533146917819977,0.4848237931728363,1.0,0.21912378072738647,0.24430087208747864,0.21576224267482758,0.16511911153793335,0.20419740676879883,0.21118052303791046
50,-0.04124141484498978,-0.02098737843334675,0.03749820590019226,0.03602437674999237,0.03614028915762901,0.055216576904058456,0.006849864963442087,0.034183140844106674,0.0833745002746582,0.005446359980851412,0.0812186673283577,0.029183456674218178,0.03602437674999237,0.09091969579458237,-0.0030459887348115444,0.030512850731611252
was,0.22111038863658905,0.3209837079048157,0.41399896144866943,0.48711544275283813,0.2766761779785156,0.23574475944042206,0.18390972912311554,0.4508470594882965,0.21420986950397491,0.21915455162525177,0.19408874213695526,0.3863949179649353,0.48711544275283813,0.3460187017917633,0.3641340136528015,0.18412111699581146
an,0.2821882665157318,0.17045794427394867,0.22598257660865784,0.4207492768764496,0.17798778414726257,0.14325210452079773,0.16826367378234863,0.44552403688430786,0.09755856543779373,0.13908697664737701,0.1704794317483902,0.3236706852912903,0.4207492768764496,0.233324334025383,0.17594800889492035,0.19793890416622162
american,0.1909721940755844,0.18412037193775177,0.21486236155033112,0.24562937021255493,0.38784632086753845,0.24170778691768646,0.09357937425374985,0.22026167809963226,0.13530968129634857,0.16529959440231323,0.09909205138683319,0.2306184321641922,0.24562937021255493,0.20299285650253296,0.2153322398662567,0.18877598643302917
football,0.21136903762817383,0.18749721348285675,0.1318265050649643,0.18794101476669312,0.26276808977127075,0.4019828736782074,0.12470247596502304,0.20103967189788818,0.295350581407547,0.3109349310398102,0.11058726161718369,0.23134100437164307,0.18794101476669312,0.1930575966835022,0.13766008615493774,0.14957410097122192
game,0.2246788740158081,0.24385766685009003,0.19789010286331177,0.285271555185318,0.18653830885887146,0.32325026392936707,0.12549690902233124,0.23211604356765747,0.3480181396007538,0.2413962334394455,0.2137785702943802,0.2608485519886017,0.285271555185318,0.2511694133281708,0.2928149104118347,0.1829071193933487
to,0.455847829580307,0.23523004353046417,0.4452643394470215,0.535392165184021,0.23706497251987457,0.23674264550209045,0.3605278432369232,0.45503583550453186,0.17783479392528534,0.16993016004562378,0.24913249909877777,0.4451248347759247,0.535392165184021,0.2795414924621582,0.3679993152618408,0.29463258385658264
determine,0.39403316378593445,0.22274024784564972,0.25157493352890015,0.40889066457748413,0.11300186812877655,0.160202294588089,0.22701740264892578,0.3650607168674469,0.14706291258335114,0.17219866812229156,0.19640643894672394,0.3571944534778595,0.40889066457748413,0.18452750146389008,0.31341269612312317,0.2943372130393982
