,when,did,the,rhine,become,borders,with,francia,?
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.18456800282001495,0.1663227528333664,0.1461278647184372,0.39731505513191223,0.23134341835975647,0.17966607213020325
the,0.5091903209686279,0.34736719727516174,1.0,0.30735138058662415,0.31731709837913513,0.28853991627693176,0.4223487675189972,0.292795330286026,0.22068053483963013
6th,0.1580248922109604,0.11905059218406677,0.26967379450798035,0.12270490825176239,0.08269669860601425,0.026813888922333717,0.2057868242263794,0.02216300182044506,0.05849769711494446
century,0.22992412745952606,0.2333737462759018,0.3617299497127533,0.21836237609386444,0.22218185663223267,0.11657597869634628,0.1467021107673645,0.292928546667099,0.1026201918721199
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.167837992310524,0.29676204919815063,0.2846786677837372,0.4120737314224243,0.23703578114509583,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.30735138058662415,0.31731709837913513,0.28853991627693176,0.4223487675189972,0.292795330286026,0.22068053483963013
rhine,0.13750529289245605,0.15695837140083313,0.30735138058662415,1.0,0.07302618026733398,0.28862687945365906,0.18184249103069305,0.3275870084762573,0.13754533231258392
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.18681856989860535,0.3147440552711487,0.17570072412490845,0.27411898970603943,0.27749502658843994,0.18412111699581146
within,0.3464125096797943,0.15734176337718964,0.39827480912208557,0.14905697107315063,0.2105371206998825,0.3195919394493103,0.2915107011795044,0.07333675771951675,0.1870293766260147
the,0.5091903209686279,0.34736719727516174,1.0,0.30735138058662415,0.31731709837913513,0.28853991627693176,0.4223487675189972,0.292795330286026,0.22068053483963013
borders,0.16708295047283173,0.13762788474559784,0.28853991627693176,0.28862687945365906,0.11037349700927734,1.0,0.24111416935920715,0.25614631175994873,0.13029009103775024
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2548927664756775,0.31678006052970886,0.2618892192840576,0.41827285289764404,0.26509004831314087,0.1826142966747284
francia,0.245232492685318,0.2047673910856247,0.292795330286026,0.3275870084762573,0.1816197633743286,0.25614631175994873,0.1743364781141281,1.0,0.14648514986038208
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2089352011680603,0.32859939336776733,0.22954592108726501,0.4446153938770294,0.2763189375400543,0.4130953550338745
