,what,does,china,'s,investment,mean,for,kenya,?
published,0.20457668602466583,0.1693761795759201,0.16745255887508392,0.01244857907295227,0.13904841244220734,0.13792544603347778,0.21304498612880707,0.07217323780059814,0.16280238330364227
comments,0.34725841879844666,0.2919411361217499,0.15545082092285156,0.04164452850818634,0.22226105630397797,0.20678004622459412,0.24065624177455902,0.14760421216487885,0.3595547676086426
on,0.34226128458976746,0.2568802833557129,0.15178346633911133,0.0026888418942689896,0.17984212934970856,0.20877303183078766,0.36199691891670227,0.18445201218128204,0.2714994251728058
kenya,0.18398970365524292,0.15162554383277893,0.27282416820526123,-0.02908705547451973,0.233047753572464,0.09709504246711731,0.22047242522239685,1.0,0.17197901010513306
's,0.02692362666130066,-0.02895052544772625,0.023593749850988388,0.9999999403953552,0.08797560632228851,0.023306747898459435,-0.07241261005401611,-0.02908705547451973,-0.023395681753754616
capital,0.17967931926250458,0.08225840330123901,0.20006442070007324,0.01144334115087986,0.28624966740608215,0.17123962938785553,0.16425155103206635,0.1552572250366211,0.0907452180981636
fm,0.12007185071706772,0.11185688525438309,0.08960205316543579,0.07825475931167603,0.07050146907567978,0.14177951216697693,0.16451558470726013,0.07699646055698395,0.1004299446940422
website,0.15769992768764496,0.14284487068653107,0.11054717749357224,0.007907068356871605,0.17322255671024323,0.19919738173484802,0.21309198439121246,0.08884195238351822,0.2114749401807785
by,0.2455483376979828,0.143477201461792,0.15857630968093872,-0.010884488001465797,0.14785367250442505,0.1560223549604416,0.3248702883720398,0.1010202169418335,0.17966607213020325
liu,0.1174992099404335,0.12223789840936661,0.48802924156188965,0.003594015259295702,0.16411425173282623,0.11445451527833939,0.20268172025680542,0.16913604736328125,0.18724565207958221
guangyuan,0.13119733333587646,0.13812150061130524,0.6686002612113953,0.025992197915911674,0.2624816298484802,0.16140611469745636,0.19153368473052979,0.2758556008338928,0.12732663750648499
",",0.3087472915649414,0.28617382049560547,0.27650898694992065,-0.0016132977325469255,0.2384718954563141,0.27540135383605957,0.4464869201183319,0.23432263731956482,0.31091248989105225
china,0.13832437992095947,0.13398337364196777,1.0000001192092896,0.023593749850988388,0.2734941244125366,0.13248395919799805,0.15661011636257172,0.27282416820526123,0.18007943034172058
's,0.02692362666130066,-0.02895052544772625,0.023593749850988388,0.9999999403953552,0.08797560632228851,0.023306747898459435,-0.07241261005401611,-0.02908705547451973,-0.023395681753754616
ambassador,0.1539316624403,0.12923696637153625,0.2456578016281128,-0.02365059033036232,0.2543284595012665,0.0883735865354538,0.2170441746711731,0.23050367832183838,0.1611340492963791
to,0.455847829580307,0.4391997456550598,0.1938052773475647,0.03782717138528824,0.2513584792613983,0.2274881899356842,0.4451248347759247,0.17769291996955872,0.29463258385658264
kenya,0.18398970365524292,0.15162554383277893,0.27282416820526123,-0.02908705547451973,0.233047753572464,0.09709504246711731,0.22047242522239685,1.0,0.17197901010513306
",",0.3087472915649414,0.28617382049560547,0.27650898694992065,-0.0016132977325469255,0.2384718954563141,0.27540135383605957,0.4464869201183319,0.23432263731956482,0.31091248989105225
at,0.2838611304759979,0.17465277016162872,0.1485295444726944,-0.08481216430664062,0.13591277599334717,0.24282926321029663,0.34237727522850037,0.21434974670410156,0.21978627145290375
the,0.42745697498321533,0.35928019881248474,0.3110525608062744,-0.01540423184633255,0.20950904488563538,0.25977957248687744,0.4739971458911896,0.21657514572143555,0.22068053483963013
time,0.36319252848625183,0.2519678771495819,0.23501361906528473,0.01301188487559557,0.21077893674373627,0.27951696515083313,0.3992156386375427,0.12179288268089294,0.27391523122787476
of,0.33290785551071167,0.3119818866252899,0.27699828147888184,-0.03817026689648628,0.24637944996356964,0.27551960945129395,0.4185989499092102,0.22226637601852417,0.1826142966747284
