,what,was,the,percentage,of,people,that,voted,in,favor,of,the,pico,act,of,1859,?
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.26621147990226746,0.38761502504348755,0.3940119743347168,0.5921133160591125,0.23093262314796448,0.5130809545516968,0.25909438729286194,0.38761502504348755,0.6251175999641418,0.22446835041046143,0.23389169573783875,0.38761502504348755,-0.024170052260160446,0.25732165575027466
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.12115965038537979,0.4069072902202606,0.2518421411514282,0.33670201897621155,0.3353792428970337,0.45514053106307983,0.24904057383537292,0.4069072902202606,0.48711544275283813,0.13371537625789642,0.1887621134519577,0.4069072902202606,0.005101411137729883,0.18412111699581146
approved,0.23795665800571442,0.27298814058303833,0.30207422375679016,0.2281830757856369,0.3106788992881775,0.19235706329345703,0.31039899587631226,0.3867153525352478,0.23346227407455444,0.28392118215560913,0.3106788992881775,0.30207422375679016,0.08013708889484406,0.24650344252586365,0.3106788992881775,-0.06687328219413757,0.25914356112480164
overwhelmingly,0.2865310609340668,0.27620020508766174,0.3394802212715149,0.3519548773765564,0.3048691749572754,0.21851104497909546,0.36394765973091125,0.3411064147949219,0.29166126251220703,0.32683292031288147,0.3048691749572754,0.3394802212715149,0.11494501680135727,0.23653678596019745,0.3048691749572754,0.0058268592692911625,0.2057841271162033
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.21129482984542847,0.3646814823150635,0.20350977778434753,0.37496164441108704,0.19997479021549225,0.370934396982193,0.21256689727306366,0.3646814823150635,0.4408751428127289,0.12688978016376495,0.19227443635463715,0.3646814823150635,0.061345916241407394,0.17966607213020325
nearly,0.21304303407669067,0.2735367715358734,0.3409946858882904,0.30038437247276306,0.3455437123775482,0.23083046078681946,0.3343394100666046,0.1933092176914215,0.3414846360683441,0.17456865310668945,0.3455437123775482,0.3409946858882904,0.13323068618774414,0.12534908950328827,0.3455437123775482,-0.033057406544685364,0.11670064926147461
75,0.07002212852239609,0.07531944662332535,0.06040945649147034,0.048633452504873276,0.06640326231718063,0.03399728611111641,0.014643698930740356,0.02288654074072838,0.075807124376297,0.0204196497797966,0.06640326231718063,0.06040945649147034,0.03419914469122887,0.024418406188488007,0.06640326231718063,0.004220145754516125,0.017522118985652924
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.5639340281486511,0.19953428208827972,0.26192399859428406,0.19162102043628693,0.19680126011371613,0.19465309381484985,0.19740736484527588,0.19953428208827972,0.21490740776062012,0.16862617433071136,0.15582631528377533,0.19953428208827972,0.01390735525637865,0.21441808342933655
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24724560976028442,1.0,0.3251037895679474,0.41498205065727234,0.25903964042663574,0.5696388483047485,0.25472742319107056,1.0,0.733189046382904,0.18903321027755737,0.2802577316761017,1.0,-0.005544272251427174,0.1826142966747284
voters,0.2528998553752899,0.24107079207897186,0.2605440318584442,0.38545677065849304,0.20554447174072266,0.39982834458351135,0.26776182651519775,0.6307698488235474,0.25922736525535583,0.377301961183548,0.20554447174072266,0.2605440318584442,0.18359529972076416,0.25677889585494995,0.20554447174072266,-0.10689666867256165,0.21165518462657928
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.18874377012252808,0.5696388483047485,0.39605680108070374,0.435920387506485,0.22158056497573853,1.0,0.2092810571193695,0.5696388483047485,0.6662389636039734,0.19410894811153412,0.22050046920776367,0.5696388483047485,0.0006312890909612179,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.2736506462097168,0.733189046382904,0.36838498711586,0.5473989248275757,0.3015371859073639,0.6662389636039734,0.24460799992084503,0.733189046382904,1.0,0.20949006080627441,0.28682878613471985,0.733189046382904,0.012682649306952953,0.22068053483963013
proposed,0.22754324972629547,0.2461901754140854,0.23840250074863434,0.08317656815052032,0.26188141107559204,0.11421611160039902,0.3023551106452942,0.31915464997291565,0.2148248553276062,0.31886008381843567,0.26188141107559204,0.23840250074863434,0.08603987097740173,0.2222375124692917,0.26188141107559204,-0.0961412638425827,0.24553193151950836
territory,0.21338070929050446,0.20208659768104553,0.3000710904598236,0.14944925904273987,0.27564212679862976,0.25671276450157166,0.20377245545387268,0.16129210591316223,0.2756796181201935,0.20890191197395325,0.27564212679862976,0.3000710904598236,0.19001935422420502,0.2962462902069092,0.27564212679862976,-0.18000471591949463,0.09435105323791504
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24724560976028442,1.0,0.3251037895679474,0.41498205065727234,0.25903964042663574,0.5696388483047485,0.25472742319107056,1.0,0.733189046382904,0.18903321027755737,0.2802577316761017,1.0,-0.005544272251427174,0.1826142966747284
colorado,0.1414678543806076,0.23214073479175568,0.24470749497413635,0.13346989452838898,0.17896123230457306,0.11052537709474564,0.13967356085777283,0.17275455594062805,0.27394023537635803,0.14134564995765686,0.17896123230457306,0.24470749497413635,0.2850874662399292,0.14145898818969727,0.17896123230457306,-0.15373095870018005,0.15461322665214539
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.28866735100746155,0.5352458953857422,0.33118996024131775,0.4460422694683075,0.2740060091018677,0.5591574311256409,0.28438901901245117,0.5352458953857422,0.5934505462646484,0.2257966250181198,0.2025400698184967,0.5352458953857422,0.038171544671058655,0.4130953550338745
