,what,work,of,luther,'s,is,seen,as,a,clear,religious,teaching,?
the,0.42745697498321533,0.2704800069332123,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.5823672413825989,0.3442007005214691,0.48381632566452026,0.5829201340675354,0.3209454417228699,0.22950971126556396,0.2182690054178238,0.22068053483963013
small,0.2504110634326935,0.17062796652317047,0.353353351354599,0.12053710222244263,0.08369652181863785,0.32085540890693665,0.2677605152130127,0.2644537687301636,0.41262131929397583,0.2540161907672882,0.20398885011672974,0.13514944911003113,0.13914890587329865
catechism,0.29557177424430847,0.19849686324596405,0.2834422290325165,0.3202340006828308,-0.03376629948616028,0.1836092174053192,0.14991845190525055,0.2166789472103119,0.1963084191083908,0.17142599821090698,0.4674234092235565,0.41865068674087524,0.25135189294815063
has,0.20338068902492523,0.2056587189435959,0.3909035325050354,0.11117470264434814,-0.040683966130018234,0.5668748617172241,0.2517690062522888,0.351646363735199,0.4670248031616211,0.2486530989408493,0.17927342653274536,0.17087559401988983,0.15994466841220856
earned,0.1198340505361557,0.23778998851776123,0.2118282914161682,0.23902133107185364,0.027357451617717743,0.1257709264755249,0.20614659786224365,0.22815994918346405,0.24639838933944702,0.0676785260438919,0.15384824573993683,0.3329581022262573,0.18173527717590332
a,0.3320399522781372,0.266241192817688,0.5052502155303955,0.17967689037322998,0.04866964742541313,0.658733606338501,0.26090866327285767,0.39550232887268066,1.0,0.24375371634960175,0.23162008821964264,0.21643459796905518,0.23916715383529663
reputation,0.24973461031913757,0.37291741371154785,0.1991330087184906,0.1503753513097763,0.049814119935035706,0.17027953267097473,0.230647012591362,0.28857773542404175,0.2353951334953308,0.20345553755760193,0.18785473704338074,0.27533990144729614,0.14395901560783386
as,0.31749409437179565,0.32418152689933777,0.3886612355709076,0.20242992043495178,-0.05775856226682663,0.43216490745544434,0.35132327675819397,1.0,0.39550232887268066,0.22141006588935852,0.22407519817352295,0.2660074830055237,0.27043893933296204
a,0.3320399522781372,0.266241192817688,0.5052502155303955,0.17967689037322998,0.04866964742541313,0.658733606338501,0.26090866327285767,0.39550232887268066,1.0,0.24375371634960175,0.23162008821964264,0.21643459796905518,0.23916715383529663
model,0.2303347885608673,0.1796567440032959,0.18271391093730927,0.02681276760995388,0.06566128134727478,0.21612800657749176,0.16219857335090637,0.21406425535678864,0.29218459129333496,0.10679382085800171,0.08729176223278046,0.1265234798192978,0.14843042194843292
of,0.33290785551071167,0.23473061621189117,1.0,0.1719115972518921,-0.03817026689648628,0.4854315221309662,0.28639769554138184,0.3886612355709076,0.5052502155303955,0.25915294885635376,0.2958606779575348,0.2911611497402191,0.1826142966747284
clear,0.4239453375339508,0.2400292307138443,0.25915294885635376,0.16892017424106598,0.011163132265210152,0.22241374850273132,0.2851050794124603,0.22141006588935852,0.24375371634960175,1.0000001192092896,0.21602827310562134,0.17803092300891876,0.2738020122051239
religious,0.26794421672821045,0.2073901891708374,0.2958606779575348,0.29995498061180115,0.0182697381824255,0.1584658920764923,0.19074930250644684,0.22407519817352295,0.23162008821964264,0.21602827310562134,0.9999998807907104,0.35574641823768616,0.15727058053016663
teaching,0.27416905760765076,0.3482191562652588,0.2911611497402191,0.2627531886100769,-0.021572323516011238,0.16213442385196686,0.161854088306427,0.2660074830055237,0.21643459796905518,0.17803092300891876,0.35574641823768616,1.0000001192092896,0.20424684882164001
.,0.3567904531955719,0.33121398091316223,0.5352458953857422,0.24907569587230682,-0.003708066651597619,0.4569662809371948,0.30320122838020325,0.515582263469696,0.50484299659729,0.2668589651584625,0.23880675435066223,0.26479530334472656,0.4130953550338745
,what,work,of,luther,'s,is,seen,as,a,clear,religious,teaching,?
for,0.3017193675041199,0.4087657630443573,0.4185989499092102,0.12958186864852905,-0.07241261005401611,0.43268078565597534,0.24296747148036957,0.44774648547172546,0.44038116931915283,0.2821788191795349,0.21258823573589325,0.31977686285972595,0.264628142118454
i,0.4411132335662842,0.2618224024772644,0.25849398970603943,0.232476145029068,0.09143294394016266,0.25362417101860046,0.24240711331367493,0.28558287024497986,0.3155658543109894,0.2888867259025574,0.24151605367660522,0.20236583054065704,0.4695145785808563
acknowledge,0.35690340399742126,0.2912026345729828,0.2865595519542694,0.196632519364357,0.05351218953728676,0.14972347021102905,0.24075044691562653,0.28280210494995117,0.16485175490379333,0.33982759714126587,0.261240154504776,0.28703492879867554,0.2421250194311142
none,0.2637794017791748,0.22703950107097626,0.2225583791732788,0.1308264136314392,0.02524063177406788,0.12371751666069031,0.1948254406452179,0.2366623878479004,0.13734477758407593,0.36661770939826965,0.14267803728580475,0.19071103632450104,0.23397447168827057
of,0.33290785551071167,0.23473061621189117,1.0,0.1719115972518921,-0.03817026689648628,0.4854315221309662,0.28639769554138184,0.3886612355709076,0.5052502155303955,0.25915294885635376,0.2958606779575348,0.2911611497402191,0.1826142966747284
them,0.4994642734527588,0.4014419913291931,0.34503093361854553,0.1940135955810547,0.025712676346302032,0.2390832006931305,0.2729489207267761,0.33716270327568054,0.3151612877845764,0.3215315341949463,0.27565231919288635,0.2822328507900238,0.35435691475868225
to,0.455847829580307,0.3482864499092102,0.41548454761505127,0.18029534816741943,0.03782717138528824,0.42745086550712585,0.2634880542755127,0.42092081904411316,0.45503583550453186,0.34294766187667847,0.24161745607852936,0.2762126624584198,0.29463258385658264
be,0.3929833769798279,0.34449198842048645,0.33904364705085754,0.15299063920974731,0.025217169895768166,0.4819129705429077,0.37386253476142883,0.5230465531349182,0.39883795380592346,0.30344653129577637,0.19911830127239227,0.2096574753522873,0.3324260413646698
really,0.635226309299469,0.35719627141952515,0.28025540709495544,0.1260203868150711,0.033575400710105896,0.361713707447052,0.37925711274147034,0.3674069046974182,0.4043869972229004,0.4073176383972168,0.23020541667938232,0.238198921084404,0.5184177756309509
a,0.3320399522781372,0.266241192817688,0.5052502155303955,0.17967689037322998,0.04866964742541313,0.658733606338501,0.26090866327285767,0.39550232887268066,1.0,0.24375371634960175,0.23162008821964264,0.21643459796905518,0.23916715383529663
book,0.2872225046157837,0.3574301302433014,0.22602593898773193,0.2606102228164673,0.03493255004286766,0.21808475255966187,0.16159898042678833,0.23037776350975037,0.19186489284038544,0.16542862355709076,0.18938341736793518,0.3582353889942169,0.20572158694267273
of,0.33290785551071167,0.23473061621189117,1.0,0.1719115972518921,-0.03817026689648628,0.4854315221309662,0.28639769554138184,0.3886612355709076,0.5052502155303955,0.25915294885635376,0.2958606779575348,0.2911611497402191,0.1826142966747284
mine,0.27901384234428406,0.18636906147003174,0.20516973733901978,0.09505860507488251,-0.01876705139875412,0.2244950383901596,0.16835081577301025,0.16260376572608948,0.2397979497909546,0.24533015489578247,0.12098845094442368,0.09907959401607513,0.22904449701309204
",",0.3087472915649414,0.3283594250679016,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.4691906273365021,0.28642043471336365,0.48816442489624023,0.427140474319458,0.2705954313278198,0.2753547728061676,0.2547089457511902,0.31091248989105225
except,0.2278055101633072,0.16348513960838318,0.2851351797580719,0.12428950518369675,0.03765935078263283,0.2821842133998871,0.27729249000549316,0.2589585483074188,0.18728198111057281,0.16943968832492828,0.1295313984155655,0.19534219801425934,0.16405975818634033
perhaps,0.45013323426246643,0.34589749574661255,0.3375486433506012,0.14537151157855988,0.06015263497829437,0.3232467472553253,0.3277529776096344,0.3720308244228363,0.39144209027290344,0.3904156982898712,0.22281363606452942,0.22462764382362366,0.4211712181568146
the,0.42745697498321533,0.2704800069332123,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.5823672413825989,0.3442007005214691,0.48381632566452026,0.5829201340675354,0.3209454417228699,0.22950971126556396,0.2182690054178238,0.22068053483963013
bondage,0.2260330468416214,0.2935681641101837,0.2042742222547531,0.20901623368263245,0.015758078545331955,0.17955221235752106,0.27074581384658813,0.22759978473186493,0.2716759741306305,0.22589579224586487,0.36324816942214966,0.23490223288536072,0.1839076280593872
of,0.33290785551071167,0.23473061621189117,1.0,0.1719115972518921,-0.03817026689648628,0.4854315221309662,0.28639769554138184,0.3886612355709076,0.5052502155303955,0.25915294885635376,0.2958606779575348,0.2911611497402191,0.1826142966747284
the,0.42745697498321533,0.2704800069332123,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.5823672413825989,0.3442007005214691,0.48381632566452026,0.5829201340675354,0.3209454417228699,0.22950971126556396,0.2182690054178238,0.22068053483963013
will,0.3510494530200958,0.2703714370727539,0.2473582625389099,0.12248248606920242,0.00371179124340415,0.3723262846469879,0.23278793692588806,0.3047071695327759,0.3401327431201935,0.27503904700279236,0.1412232220172882,0.17725716531276703,0.35046905279159546
and,0.31309178471565247,0.37551814317703247,0.5116966962814331,0.20796556770801544,0.06895173341035843,0.3859752118587494,0.2522655725479126,0.49487000703811646,0.3739250600337982,0.31630682945251465,0.30280056595802307,0.2573738694190979,0.20544172823429108
the,0.42745697498321533,0.2704800069332123,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.5823672413825989,0.3442007005214691,0.48381632566452026,0.5829201340675354,0.3209454417228699,0.22950971126556396,0.2182690054178238,0.22068053483963013
catechism,0.29557177424430847,0.19849686324596405,0.2834422290325165,0.3202340006828308,-0.03376629948616028,0.1836092174053192,0.14991845190525055,0.2166789472103119,0.1963084191083908,0.17142599821090698,0.4674234092235565,0.41865068674087524,0.25135189294815063
.,0.3567904531955719,0.33121398091316223,0.5352458953857422,0.24907569587230682,-0.003708066651597619,0.4569662809371948,0.30320122838020325,0.515582263469696,0.50484299659729,0.2668589651584625,0.23880675435066223,0.26479530334472656,0.4130953550338745
