,when,was,the,scale,to,measure,the,rhine,introduced,?
the,0.5091903209686279,0.48711544275283813,1.0,0.1833842247724533,0.535392165184021,0.2528008222579956,1.0,0.30735138058662415,0.242969810962677,0.22068053483963013
length,0.1391945332288742,0.13514478504657745,0.26581600308418274,0.2150023877620697,0.19374629855155945,0.3506009578704834,0.26581600308418274,0.20094704627990723,0.13919256627559662,0.16668567061424255
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.19989530742168427,0.41548454761505127,0.22469913959503174,0.733189046382904,0.2548927664756775,0.23328952491283417,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.1833842247724533,0.535392165184021,0.2528008222579956,1.0,0.30735138058662415,0.242969810962677,0.22068053483963013
rhine,0.13750529289245605,0.18681856989860535,0.30735138058662415,0.09456667304039001,0.1736302673816681,0.1548519879579544,0.30735138058662415,1.0,0.09226672351360321,0.13754533231258392
is,0.3471449911594391,0.5810302495956421,0.5823672413825989,0.18123696744441986,0.42745086550712585,0.2864217460155487,0.5823672413825989,0.15617261826992035,0.18314895033836365,0.22961433231830597
conventionally,0.32583296298980713,0.2746807634830475,0.3092604875564575,0.1845494955778122,0.36925244331359863,0.25341910123825073,0.3092604875564575,0.1699018031358719,0.2990267872810364,0.1562664955854416
measured,0.21773339807987213,0.21089020371437073,0.279002845287323,0.37177079916000366,0.20595905184745789,0.8349392414093018,0.279002845287323,0.126449316740036,0.21870242059230804,0.17351430654525757
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.2105615884065628,0.45010748505592346,0.17892111837863922,0.6662389636039734,0.24648422002792358,0.2614979147911072,0.20430970191955566
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,0.14036980271339417,0.06720756739377975,0.10609804093837738,0.029072100296616554,0.031863048672676086,-0.045295145362615585,0.0685480609536171
rhine-kilometers,0.21227864921092987,0.17648816108703613,0.3899826407432556,0.15672865509986877,0.27309882640838623,0.2895858883857727,0.3899826407432556,0.5765131711959839,0.07822009176015854,0.12356684356927872
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,0.05873636528849602,-0.009905828163027763,0.07636073231697083,0.041273195296525955,-0.003653771709650755,0.06878387928009033,0.018684765323996544
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.1375715285539627,0.30882009863853455,0.1863236427307129,0.33289089798927307,0.12381801009178162,0.1706768423318863,0.40561532974243164
