,how,many,former,mvp,honorees,were,present,for,a,pregame,ceremony,?
in,0.2601168751716614,0.41474202275276184,0.2668642997741699,0.15104249119758606,0.22666563093662262,0.3815755248069763,0.23905439674854279,0.4322226941585541,0.539380669593811,0.2492779642343521,0.2534812092781067,0.20430970191955566
honor,0.14198820292949677,0.22120507061481476,0.13500520586967468,0.3201260268688202,0.7059810161590576,0.2381492555141449,0.1568962186574936,0.26361149549484253,0.23739098012447357,0.21001866459846497,0.35570022463798523,0.1187526285648346
of,0.2480744868516922,0.37253960967063904,0.30415382981300354,0.16760475933551788,0.3200485408306122,0.34038281440734863,0.3116828501224518,0.4185989499092102,0.5052502155303955,0.21911495923995972,0.2303226888179779,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2251449078321457,0.19830666482448578,0.26582178473472595,0.3906462490558624,0.2829846143722534,0.4739971458911896,0.5829201340675354,0.314380943775177,0.27631378173828125,0.22068053483963013
50th,0.09753132611513138,-0.010128241032361984,0.003993708174675703,0.10953184217214584,0.12651517987251282,0.02057926543056965,0.10052277892827988,0.07924925535917282,0.12353889644145966,0.08089131861925125,0.05205004662275314,0.004919986240565777
super,0.11920704692602158,0.17302978038787842,0.15229178965091705,0.3814384639263153,0.10732372105121613,0.18743500113487244,0.15244346857070923,0.22938419878482819,0.26005712151527405,0.32141372561454773,0.10298140347003937,0.166326642036438
bowl,0.1720007210969925,0.17932994663715363,0.12867674231529236,0.5169888734817505,0.235606849193573,0.17085392773151398,0.14665403962135315,0.24430087208747864,0.19533146917819977,0.3160421550273895,0.25571146607398987,0.21118052303791046
",",0.22659391164779663,0.40610817074775696,0.2738454341888428,0.2245774120092392,0.2935873866081238,0.36755475401878357,0.267320841550827,0.4464869201183319,0.427140474319458,0.2830631136894226,0.23101258277893066,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.2251449078321457,0.19830666482448578,0.26582178473472595,0.3906462490558624,0.2829846143722534,0.4739971458911896,0.5829201340675354,0.314380943775177,0.27631378173828125,0.22068053483963013
pregame,0.2910177409648895,0.2810673415660858,0.2021270990371704,0.3799257278442383,0.28976067900657654,0.17065079510211945,0.2214786857366562,0.34069517254829407,0.25509360432624817,1.0,0.21605345606803894,0.249310702085495
ceremony,0.14511556923389435,0.18210917711257935,0.17101038992404938,0.16872204840183258,0.41659075021743774,0.20741769671440125,0.19319315254688263,0.24987879395484924,0.16241572797298431,0.21605345606803894,0.9999999403953552,0.1873435080051422
featured,0.18270574510097504,0.2732047140598297,0.17953987419605255,0.2090904712677002,0.2012006789445877,0.26517489552497864,0.08452840894460678,0.30727413296699524,0.3058987855911255,0.362842857837677,0.1710122525691986,0.2944096624851227
the,0.33890387415885925,0.4335206151008606,0.2251449078321457,0.19830666482448578,0.26582178473472595,0.3906462490558624,0.2829846143722534,0.4739971458911896,0.5829201340675354,0.314380943775177,0.27631378173828125,0.22068053483963013
