,by,when,did,most,of,france,'s,colonies,gain,independence,?
nearly,0.2504696547985077,0.31576305627822876,0.2667127847671509,0.41269901394844055,0.3455437123775482,0.1888197958469391,0.03258245810866356,0.22416538000106812,0.16519036889076233,0.14030708372592926,0.11670064926147461
all,0.2944089472293854,0.35107192397117615,0.33943864703178406,0.5116150975227356,0.42798417806625366,0.23571501672267914,0.03181743621826172,0.23929573595523834,0.27688246965408325,0.1739528626203537,0.29575422406196594
of,0.3646814823150635,0.3757161796092987,0.2513895630836487,0.4178851246833801,1.0,0.3265724182128906,-0.03817026689648628,0.2890703082084656,0.27324017882347107,0.2965129017829895,0.1826142966747284
france,0.22743742167949677,0.24438227713108063,0.2138325721025467,0.19987869262695312,0.3265724182128906,1.0000001192092896,0.024341266602277756,0.23200248181819916,0.16554410755634308,0.2922744154930115,0.15069349110126495
's,-0.010884488001465797,-0.03368149697780609,0.05069678649306297,0.024445664137601852,-0.03817026689648628,0.024341266602277756,0.9999999403953552,0.06124969571828842,0.05691658332943916,0.02269889786839485,-0.023395681753754616
colonies,0.14753642678260803,0.25325432419776917,0.23126882314682007,0.21772967278957367,0.2890703082084656,0.23200248181819916,0.06124969571828842,1.0,0.17973250150680542,0.4038378894329071,0.07886616140604019
gained,0.22216583788394928,0.2222561240196228,0.2939504086971283,0.23630987107753754,0.29895761609077454,0.15377765893936157,0.021438589319586754,0.1834469735622406,0.6288602352142334,0.3369452953338623,0.11261032521724701
independence,0.14258520305156708,0.1640492081642151,0.19588761031627655,0.1453675776720047,0.2965129017829895,0.2922744154930115,0.02269889786839485,0.4038378894329071,0.31618088483810425,1.0000001192092896,0.12301119416952133
by,1.0000001192092896,0.4376842677593231,0.18574509024620056,0.270847886800766,0.3646814823150635,0.22743742167949677,-0.010884488001465797,0.14753642678260803,0.17495845258235931,0.14258520305156708,0.17966607213020325
1960,-0.020685482770204544,-0.11895739287137985,-0.14243990182876587,0.03312956914305687,0.05807475745677948,0.04637659713625908,0.05268033593893051,-0.02867494523525238,-0.08125726133584976,-0.013371273875236511,-0.02243652194738388
",",0.3680937886238098,0.36674630641937256,0.3015086054801941,0.3636029064655304,0.4946078956127167,0.28250643610954285,-0.0016132977325469255,0.23384660482406616,0.2041122019290924,0.26219290494918823,0.31091248989105225
but,0.3159136474132538,0.5599016547203064,0.49033689498901367,0.45211657881736755,0.39942997694015503,0.25404971837997437,0.04136733338236809,0.2723540663719177,0.3214209973812103,0.21089015901088715,0.27921953797340393
france,0.22743742167949677,0.24438227713108063,0.2138325721025467,0.19987869262695312,0.3265724182128906,1.0000001192092896,0.024341266602277756,0.23200248181819916,0.16554410755634308,0.2922744154930115,0.15069349110126495
retained,0.24140705168247223,0.22565682232379913,0.28948208689689636,0.1756816804409027,0.3240398168563843,0.13215966522693634,-0.04329646751284599,0.1939118653535843,0.3331850469112396,0.23242539167404175,0.0590956024825573
great,0.1775381863117218,0.2342798113822937,0.2083706259727478,0.21389809250831604,0.3168134391307831,0.18117497861385345,-0.014279589988291264,0.22359833121299744,0.25355321168899536,0.1466325968503952,0.13135133683681488
financial,0.19205018877983093,0.23070667684078217,0.2442471981048584,0.20496731996536255,0.30178552865982056,0.18771076202392578,0.06992136687040329,0.18127363920211792,0.24151016771793365,0.2648071050643921,0.06444920599460602
and,0.4289871156215668,0.4716290831565857,0.34479495882987976,0.4309377074241638,0.5116966962814331,0.2925812005996704,0.06895173341035843,0.311396062374115,0.2497105896472931,0.19334110617637634,0.20544172823429108
diplomatic,0.16975463926792145,0.23524054884910583,0.23294654488563538,0.15069426596164703,0.2457413524389267,0.26362231373786926,-0.09958066046237946,0.24188515543937683,0.18874523043632507,0.3302801251411438,0.17442072927951813
influence,0.29864758253097534,0.2472303807735443,0.2526049315929413,0.27658534049987793,0.3608979284763336,0.2046496719121933,0.0246872678399086,0.2068415880203247,0.3085763454437256,0.22562365233898163,0.14200882613658905
.,0.3936232924461365,0.475719153881073,0.35288307070732117,0.35404038429260254,0.5352458953857422,0.33719199895858765,-0.003708066651597619,0.27309566736221313,0.20901274681091309,0.2129606306552887,0.4130953550338745
