,how,many,cities,in,southern,california,have,over,"200,000",residents,?
in,0.2601168751716614,0.41474202275276184,0.32293570041656494,1.0,0.3190481662750244,0.2772824168205261,0.36843645572662354,0.3605569899082184,0.04889736324548721,0.27393898367881775,0.20430970191955566
southern,0.11308442056179047,0.18025599420070648,0.23386754095554352,0.3190481662750244,1.0,0.2983402609825134,0.15745104849338531,0.22880154848098755,-0.040048450231552124,0.26019537448883057,0.11225555837154388
california,0.15981262922286987,0.24571245908737183,0.10079557448625565,0.2772824168205261,0.2983402609825134,1.0,0.1807585507631302,0.14631660282611847,0.15065708756446838,0.20951759815216064,0.1409905105829239
there,0.3328511416912079,0.4993700683116913,0.28447988629341125,0.5361666083335876,0.25116652250289917,0.1433659940958023,0.5194604992866516,0.33811676502227783,-0.11763791739940643,0.2962673008441925,0.29405656456947327
are,0.311818927526474,0.5655534863471985,0.26694464683532715,0.3841303884983063,0.18306338787078857,0.17678135633468628,0.6577680706977844,0.2778770923614502,-0.09023331105709076,0.30285876989364624,0.24591213464736938
also,0.43506327271461487,0.6258217096328735,0.22708983719348907,0.5073733329772949,0.28076234459877014,0.2569578289985657,0.5252172946929932,0.35972511768341064,0.06274255365133286,0.2581409811973572,0.21848613023757935
twelve,0.18371286988258362,0.29723310470581055,0.13063746690750122,0.2552754878997803,0.09113157540559769,0.11300354450941086,0.2625714838504791,0.28269296884536743,0.11173677444458008,0.1244070902466774,0.06192852556705475
cities,0.10434838384389877,0.2867770195007324,1.0,0.32293570041656494,0.23386754095554352,0.10079557448625565,0.1965736299753189,0.19113869965076447,-0.14146924018859863,0.3945533335208893,0.13339310884475708
with,0.3525622487068176,0.35744401812553406,0.22294199466705322,0.4080928862094879,0.18574869632720947,0.1391957849264145,0.48046383261680603,0.34885337948799133,0.006848506163805723,0.21472220122814178,0.2433311939239502
more,0.4319567084312439,0.48608261346817017,0.18214066326618195,0.32563260197639465,0.13608552515506744,0.15166103839874268,0.49033403396606445,0.452426552772522,-0.03396623954176903,0.26707926392555237,0.27894994616508484
than,0.29763275384902954,0.39069414138793945,0.1976093351840973,0.3270052373409271,0.16775213181972504,0.17079950869083405,0.46517109870910645,0.4074564576148987,-0.04205603525042534,0.2291426956653595,0.24917294085025787
"200,000",0.025636112317442894,-0.05824293568730354,-0.14146924018859863,0.04889736324548721,-0.040048450231552124,0.15065708756446838,-0.03245656192302704,-0.053851328790187836,1.0,-0.11415788531303406,-0.020140642300248146
residents,0.1510731428861618,0.28597086668014526,0.3945533335208893,0.27393898367881775,0.26019537448883057,0.20951759815216064,0.2714991271495819,0.27332332730293274,-0.11415788531303406,0.9999998807907104,0.09602975845336914
and,0.33647966384887695,0.5296266674995422,0.292957067489624,0.4954058527946472,0.24232792854309082,0.2441616654396057,0.4711785912513733,0.4021143913269043,0.0814400240778923,0.3165581226348877,0.20544172823429108
34,0.02601894736289978,-0.062289293855428696,4.8046720621641725e-05,0.03443729504942894,0.02054370939731598,0.03547843545675278,0.00420949375256896,-0.040974557399749756,-0.07411593198776245,-0.007240618579089642,-0.004250505939126015
cities,0.10434838384389877,0.2867770195007324,1.0,0.32293570041656494,0.23386754095554352,0.10079557448625565,0.1965736299753189,0.19113869965076447,-0.14146924018859863,0.3945533335208893,0.13339310884475708
over,0.31446483731269836,0.47131630778312683,0.19113869965076447,0.3605569899082184,0.22880154848098755,0.14631660282611847,0.41283175349235535,1.0,-0.053851328790187836,0.27332332730293274,0.25742942094802856
"100,000",0.10288455337285995,0.007480822503566742,-0.11286260187625885,0.05864831805229187,-0.0736907348036766,0.11942815780639648,0.054898280650377274,-0.060774508863687515,0.8578782081604004,-0.1632445603609085,0.035472359508275986
in,0.2601168751716614,0.41474202275276184,0.32293570041656494,1.0,0.3190481662750244,0.2772824168205261,0.36843645572662354,0.3605569899082184,0.04889736324548721,0.27393898367881775,0.20430970191955566
population,0.1651063710451126,0.2201971709728241,0.3919509947299957,0.3268454372882843,0.2896978557109833,0.19116398692131042,0.19700278341770172,0.19324128329753876,-0.1291472166776657,0.45314475893974304,0.14449454843997955
.,0.3287222981452942,0.3974229395389557,0.2525215446949005,0.5591574311256409,0.26629969477653503,0.2870451807975769,0.41614407300949097,0.37877383828163147,0.09734544157981873,0.2494935691356659,0.4130953550338745
